competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
1396,Eliteserien (NO),970296,Edvard Sundbø Pettersen ,E. Pettersen,2006-07-07,82.71,24.93,23.45,14,14,0,409.0,29.21,19.86,67.97,2.64,0.14,5.27,1.44,258.0,18.43,13.79,74.81,2.5,0.93,37.14,13.14,86.0,6.14,4.36,3.79,2.43,1.79,1.57,0.79,50.0,70.93,64.15,1.29,2.29,0.29,0.29,0.14,0.14,100.0,4.21,0.43,10.17,5.36,1.14,21.33,0.36,6.67
1396,Eliteserien (NO),978632,Karl Linus Alperud,L. Alperud,2005-10-15,34.8,9.92,9.75,10,10,0,133.0,13.3,8.0,60.15,1.7,0.2,9.81,2.78,94.0,9.4,5.6,59.58,1.3,0.5,38.46,7.3,53.0,5.3,3.3,2.9,1.5,0.4,0.4,0.0,0.0,62.26,51.72,0.1,0.3,0.1,1.0,0.8,0.3,37.5,1.4,0.2,14.29,3.2,0.7,21.87,0.2,6.25
1396,Eliteserien (NO),979780,Syver Skeide,S. Skeide,2004-08-28,49.3,12.14,16.46,11,11,0,227.0,20.64,15.91,77.09,1.45,0.09,4.31,1.63,153.0,13.91,11.73,84.31,0.91,0.36,40.0,11.55,46.0,4.18,3.36,2.0,1.55,0.0,0.0,0.0,,80.43,77.27,0.73,0.27,0.09,0.0,0.18,0.18,100.0,1.36,0.36,26.67,2.0,0.18,9.09,0.27,13.64
1396,Eliteserien (NO),984131,Håkon Krogelien,H. Krogelien,2004-04-05,11.35,2.17,3.67,3,3,0,5.0,1.67,0.67,40.0,0.33,0.0,1.57,0.72,2.0,0.67,0.33,50.0,0.0,0.0,,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.33,0.0,0.0,0.0,,0.0,0.0,,0.33,0.0,0.0,0.33,100.0
1396,Eliteserien (NO),984140,Davíð Snær Jóhannsson,D. Jóhannsson,2002-06-15,52.92,12.69,16.43,10,10,0,120.0,12.0,5.3,44.17,2.6,0.1,6.8,1.7,85.0,8.5,4.1,48.24,1.8,0.6,33.33,5.0,34.0,3.4,1.2,1.9,0.8,0.8,0.7,0.3,42.86,35.29,42.11,0.6,1.3,0.5,0.6,0.2,0.2,100.0,2.8,0.2,7.14,4.2,0.7,16.67,0.7,16.67
1396,Eliteserien (NO),987615,Julian Lægreid,J. Lægreid,2007-03-08,4.6,1.97,0.96,1,1,0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,
1396,Eliteserien (NO),987718,Viktor Bender,V. Bender,2007-07-12,20.75,6.81,4.86,7,7,0,87.0,12.43,9.57,77.01,1.14,0.14,4.44,1.29,60.0,8.57,6.57,76.67,1.0,0.57,57.14,7.43,16.0,2.29,1.43,1.14,0.43,0.57,0.43,0.0,0.0,62.5,37.5,0.71,1.0,0.0,0.0,0.0,0.0,,1.14,0.0,0.0,1.71,0.43,25.0,0.14,8.33
1396,Eliteserien (NO),991849,Mostafa Najafzadeh,M. Najafzadeh,2008-01-26,7.96,4.14,0.39,1,1,0,5.0,5.0,2.0,40.0,0.0,0.0,5.15,1.88,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
1396,Eliteserien (NO),991860,Aleksander Lilletun Elvebu,A. Lilletun Elvebu,2009-03-22,4.08,0.78,0.85,1,1,0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,
1396,Eliteserien (NO),992894,Sigurd Jacobsen Prestmo,S. Prestmo,2006-10-06,15.25,4.19,4.18,3,3,0,15.0,5.0,4.0,80.0,0.33,0.0,4.6,1.53,9.0,3.0,2.67,88.89,0.0,0.0,,1.67,2.0,0.67,0.67,0.33,0.33,0.0,0.0,0.0,,100.0,100.0,0.0,0.67,0.0,0.0,0.33,0.33,100.0,0.33,0.0,0.0,0.67,0.0,0.0,0.0,0.0
