competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
1215,1. HNL (HR),433,Aleksandar Trajkovski,A. Trajkovski,1992-09-05,61.32,15.75,17.47,9,8,1,150.0,18.75,11.88,63.33,2.0,0.12,4.94,1.54,98.0,12.25,7.75,63.26,2.38,0.88,36.84,6.88,34.0,4.25,2.75,1.25,0.62,0.5,0.38,0.0,0.0,64.71,50.0,1.0,1.0,0.0,0.0,0.25,0.12,50.0,2.88,0.0,0.0,5.62,0.38,6.67,0.75,13.33
1215,1. HNL (HR),903,Ante Rebić,A. Rebić,1993-09-21,74.67,22.68,16.71,26,25,1,676.0,27.04,13.36,49.41,4.2,0.48,6.96,1.8,461.0,18.44,9.72,52.71,4.2,1.92,45.71,11.48,213.0,8.52,3.56,5.52,2.24,1.92,1.76,0.52,29.55,41.78,40.58,0.6,1.04,0.6,1.84,0.48,0.28,58.33,5.28,0.44,8.33,8.2,1.72,20.98,1.4,17.07
1215,1. HNL (HR),2343,Dario Melnjak,D. Melnjak,1992-10-31,45.14,13.96,10.39,22,20,2,405.0,20.25,14.55,71.85,1.65,0.05,3.64,1.16,293.0,14.65,10.9,74.4,0.85,0.25,29.41,12.75,58.0,2.9,2.05,1.65,1.15,0.95,0.55,0.3,54.55,70.69,69.7,0.1,2.0,0.15,0.2,0.2,0.1,50.0,1.4,0.1,7.14,2.35,0.35,14.89,0.5,21.28
1215,1. HNL (HR),2882,Duje Čop,D. Čop,1990-02-01,41.79,11.1,10.15,25,25,0,218.0,8.72,4.8,55.05,1.6,0.16,3.87,1.05,118.0,4.72,2.96,62.71,1.36,0.6,44.12,2.4,36.0,1.44,0.92,0.8,0.32,0.48,0.4,0.16,40.0,63.89,40.0,0.28,1.28,0.4,0.0,0.04,0.0,0.0,1.64,0.24,14.63,2.68,0.56,20.9,0.68,25.37
1215,1. HNL (HR),3442,Filip Krovinović,F. Krovinović,1995-08-29,79.95,24.43,17.84,29,27,2,1121.0,41.52,33.78,81.36,4.0,0.3,4.46,1.52,784.0,29.04,24.96,85.97,1.22,0.56,45.45,23.44,220.0,8.15,6.7,3.74,2.89,0.59,0.41,0.22,54.55,82.27,77.23,0.78,2.7,0.19,0.37,0.37,0.3,80.0,1.93,0.15,7.69,3.56,0.63,17.71,0.78,21.87
1215,1. HNL (HR),5483,Josip Posavec,J. Posavec,1996-03-10,98.09,26.7,25.42,32,31,1,958.0,30.9,22.29,72.13,0.03,0.0,5.21,2.93,609.0,19.65,15.35,78.16,0.29,0.06,22.22,18.84,231.0,7.45,5.45,2.9,2.29,0.03,0.0,0.0,,73.16,78.89,0.03,0.0,0.0,0.0,0.45,0.23,50.0,0.65,0.16,25.0,0.77,0.13,16.67,0.0,0.0
1215,1. HNL (HR),5484,Josip Radošević,J. Radošević,1994-04-03,96.41,25.15,26.82,32,32,0,1384.0,43.25,33.78,78.11,2.25,0.25,4.22,1.6,865.0,27.03,22.94,84.86,0.69,0.38,54.55,21.34,244.0,7.62,6.0,3.09,2.38,0.5,0.22,0.12,57.14,78.69,76.77,0.72,1.0,0.12,0.25,0.25,0.09,37.5,1.47,0.31,21.28,3.16,0.66,20.79,0.31,9.9
1215,1. HNL (HR),6908,Mario Tičinović,M. Tičinović,1991-08-20,78.22,18.11,22.31,24,22,2,640.0,29.09,18.41,63.28,1.91,0.23,5.9,1.8,414.0,18.82,12.64,67.15,0.64,0.27,42.86,17.09,165.0,7.5,4.55,3.45,2.05,1.23,0.59,0.32,53.85,60.61,59.21,0.09,1.55,0.18,0.18,0.73,0.27,37.5,1.23,0.18,14.81,2.18,0.36,16.67,0.23,10.42
1215,1. HNL (HR),6975,Marko Livaja,M. Livaja,1993-08-26,73.07,22.28,17.44,26,25,1,525.0,21.0,10.64,50.67,4.44,0.64,5.47,1.67,389.0,15.56,8.08,51.93,3.96,1.28,32.32,8.52,133.0,5.32,2.48,2.32,0.52,0.72,0.6,0.08,13.33,46.62,22.41,0.88,0.92,0.92,0.8,0.4,0.2,50.0,4.84,0.36,7.44,7.24,1.2,16.57,1.84,25.41
1215,1. HNL (HR),9610,Scott McKenna,S. McKenna,1996-11-12,94.91,29.26,22.93,30,30,0,1908.0,63.6,56.73,89.2,1.9,0.37,4.22,1.55,1437.0,47.9,45.43,94.85,0.1,0.03,33.33,46.4,293.0,9.77,8.27,5.63,4.77,1.1,0.13,0.13,100.0,84.64,84.61,0.0,0.37,0.03,0.03,0.53,0.2,37.5,0.2,0.0,0.0,0.5,0.13,26.67,0.07,13.33
