competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,onballengagement_count_total,onballengagement_count,onballengagement_count_directregain,onballengagement_pct_directregain,onballengagement_count_indirectregain,onballengagement_pct_indirectregain,onballengagement_count_directdisruption,onballengagement_pct_directdisruption,onballengagement_count_indirectdisruption,onballengagement_pct_indirectdisruption,onballengagement_count_abovehsr,onballengagement_count_forcedbackward,onballengagement_pct_forcedbackward,onballengagement_count_beatenbymovement,onballengagement_pct_beatenbymovement,onballengagement_count_beatenbypossession,onballengagement_pct_beatenbypossession,onballengagement_count_pressingchain,onballengagement_count_consecutive,onballengagement_count_forwardtrajectory,onballengagement_count_dangeroussituation,onballengagement_count_dangeroussituation_dangermitigated,onballengagement_pct_dangermitigated,onballengagement_count_linebreakaffected,onballengagement_pct_linebreakaffected
1196,Super League (CH),390,Albian Ajeti,A. Ajeti,1997-02-26,52.82,15.36,12.51,32,32,0,848.0,26.5,0.38,1.41,4.34,16.39,0.03,0.12,0.91,3.42,6.03,1.38,5.19,0.0,0.0,0.09,0.35,13.09,4.03,8.09,1.69,0.22,1.08,2.25,8.49
1196,Super League (CH),535,Alexander Hack,A. Hack,1993-09-08,93.59,21.14,22.9,13,13,0,235.0,18.08,1.31,7.23,3.62,20.0,0.31,1.7,0.77,4.26,2.62,0.31,1.7,1.15,6.38,0.62,3.4,1.92,2.0,3.54,11.69,2.54,15.25,0.0,0.0
1196,Super League (CH),673,Amir Abrashi,A. Abrashi,1990-03-27,50.02,10.89,15.01,11,11,0,348.0,31.64,1.36,4.31,4.82,15.23,0.27,0.86,1.09,3.45,3.09,1.64,5.17,0.18,0.57,0.45,1.44,8.45,6.36,8.64,12.91,1.55,5.28,1.55,4.89
1196,Super League (CH),943,Anto Grgić,A. Grgić,1996-11-28,95.69,28.24,23.0,36,36,0,1235.0,34.31,0.97,2.83,5.78,16.84,0.31,0.89,0.72,2.11,2.78,1.97,5.75,0.39,1.13,0.44,1.3,7.36,4.53,9.94,12.22,1.86,5.97,2.53,7.37
1196,Super League (CH),1287,Benjamin Kololli,B. Kololli,1992-05-15,50.78,13.51,13.58,28,28,0,678.0,24.21,0.46,1.92,2.93,12.09,0.14,0.59,0.79,3.24,2.64,2.21,9.14,0.04,0.15,0.11,0.44,9.61,3.32,7.18,2.43,0.29,2.98,2.86,11.8
1196,Super League (CH),2509,David von Ballmoos,D. von Ballmoos,1994-12-30,98.54,28.89,24.33,15,15,0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
1196,Super League (CH),3228,Ezgjan Alioski,E. Alioski,1992-02-12,49.23,14.49,11.06,20,20,0,273.0,13.65,0.5,3.66,2.55,18.68,0.05,0.37,0.75,5.49,2.4,0.85,6.23,0.1,0.73,0.75,5.5,3.2,1.7,3.9,4.9,0.45,3.93,0.65,4.76
1196,Super League (CH),4090,Gregory Wüthrich,G. Wüthrich,1994-12-04,83.06,24.48,19.72,25,25,0,403.0,16.12,0.88,5.46,3.64,22.58,0.12,0.74,0.4,2.48,3.12,0.36,2.23,0.68,4.22,0.64,3.97,3.0,1.56,3.72,8.44,1.96,12.91,0.28,1.74
1196,Super League (CH),4521,Ivan Ricardo Neves Abreu Cavaleiro,I. Cavaleiro,1993-10-18,70.61,16.18,17.73,13,13,0,400.0,30.77,0.77,2.5,4.38,14.25,0.23,0.75,2.08,6.75,5.23,1.62,5.25,0.08,0.25,0.46,1.5,10.08,4.54,9.69,6.23,0.54,3.44,2.69,8.75
1196,Super League (CH),4702,Jan Bamert,J. Bamert,1998-03-09,86.03,18.84,22.23,33,31,2,536.0,17.29,0.61,3.54,3.39,19.59,0.32,1.87,0.77,4.48,2.23,0.35,2.05,1.0,5.78,0.58,3.36,2.81,1.84,4.03,10.1,2.19,14.01,0.42,2.43
1196,Super League (CH),5123,Joël Mall,J. Mall,1991-04-05,93.72,27.25,24.15,28,28,0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
1196,Super League (CH),6166,Leonardo Bertone,L. Bertone,1994-03-14,97.09,21.46,24.63,33,31,2,1125.0,36.29,1.52,4.18,5.32,14.67,0.29,0.8,1.0,2.75,5.84,1.16,3.2,0.19,0.53,0.71,1.96,10.13,5.19,10.52,12.45,1.23,3.56,2.06,5.69
1196,Super League (CH),6241,Linus Obexer,L. Obexer,1997-06-05,91.77,22.57,24.07,2,2,0,56.0,28.0,1.5,5.36,5.0,17.86,0.5,1.78,0.5,1.78,2.5,1.5,5.36,0.5,1.78,0.5,1.78,4.0,3.5,7.0,10.0,3.0,12.98,0.5,1.78
1196,Super League (CH),6296,Loris Benito,L. Benito,1992-01-07,94.44,28.15,22.12,33,33,0,648.0,19.64,1.12,5.71,4.33,22.07,0.27,1.39,0.94,4.78,3.36,0.48,2.47,0.45,2.31,0.61,3.09,4.36,2.61,4.39,9.42,1.76,10.31,0.52,2.62
1196,Super League (CH),6343,Luca Zuffi,L. Zuffi,1990-03-27,80.96,19.01,24.41,27,27,0,975.0,36.11,0.85,2.36,5.11,14.15,0.19,0.51,0.89,2.46,2.44,2.0,5.54,0.41,1.13,0.7,1.95,6.74,5.11,9.48,16.19,2.19,6.33,3.56,9.85
