competition_edition,league,player_name,player_short_name,player_id,player_birthdate,minutes_full_all,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,psv99,psv99_top5,peak_velocity,peak_velocity_top3,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,timetohsrpostcod_top3,explacceltosprint_count_full_all,timetosprint_top3,timetosprintpostcod_top3,cod_count_full_all,timeto505around90_top3,timeto505around180_top3
1208,1. SNL (SI),Damjan Vukliševič,D. Vukliševič,64424,1995-06-28,75.75,18,0,7495.67,98.95,793.5,256.06,25.28,96.67,4.83,352.72,30.11,28.52,30.72,29.53,31.97,74.56,3.06,60.11,8.22,1.28,0.8,0.8,0.33,1.71,,13.06,2.34,
1208,1. SNL (SI),Žiga Repas,Z. Repas,64434,2001-05-29,41.22,15,0,5125.27,124.35,891.47,351.2,28.47,77.53,4.47,428.73,32.93,27.46,28.94,28.88,30.67,53.87,1.87,46.27,5.67,1.07,0.81,0.83,0.27,1.78,,22.67,2.06,2.78
1208,1. SNL (SI),Emir Saitoski,E. Saitoski,64435,2003-05-08,58.66,26,2,6804.19,116.0,971.81,431.81,42.42,148.0,8.81,579.81,51.23,28.82,31.02,30.3,32.47,66.85,5.35,56.85,10.04,3.81,0.63,0.66,1.04,1.25,1.41,28.35,1.92,2.67
1208,1. SNL (SI),Nick Perc,N. Perc,65385,2003-05-27,74.06,4,0,8498.0,114.74,1154.0,561.5,58.0,265.0,11.75,826.5,69.75,31.52,31.52,32.88,33.07,94.0,8.5,76.75,18.5,7.0,0.67,0.89,1.75,1.3,,40.0,2.13,
1208,1. SNL (SI),Danijel Šturm,D. Šturm,66238,1999-01-04,74.0,18,0,8092.17,109.35,1154.61,603.33,62.22,304.56,14.94,907.89,77.17,30.83,32.5,32.04,34.1,93.39,10.22,75.06,21.72,8.17,0.59,0.6,3.28,1.14,1.18,41.72,1.87,2.63
1208,1. SNL (SI),Vid Koderman,V. Koderman,66248,2003-04-18,76.63,27,3,8500.85,110.93,1182.78,525.41,53.52,216.26,11.63,741.67,65.15,29.97,31.72,31.39,33.6,92.81,7.48,79.04,15.67,5.22,0.58,0.59,1.63,1.12,1.14,32.81,1.83,2.54
1208,1. SNL (SI),Mirko Mutavčić,M. Mutavčić,66252,2001-01-29,52.1,15,1,5814.2,111.6,853.53,338.87,30.93,95.53,5.53,434.4,36.47,27.58,29.3,29.01,31.6,59.6,3.6,49.53,9.0,2.4,0.75,0.75,0.93,1.52,1.6,20.73,1.93,2.73
1208,1. SNL (SI),Rok Maher,R. Maher,66253,2001-07-20,37.2,11,2,4416.27,118.73,705.18,232.27,21.91,63.18,3.09,295.45,25.0,27.82,29.6,28.84,30.87,48.64,2.55,42.55,6.27,2.09,0.77,0.81,0.73,1.36,,16.82,2.08,2.75
1208,1. SNL (SI),Andrej Kotnik,A. Kotnik,66293,1995-08-04,47.76,22,0,5004.09,104.78,698.59,265.64,25.73,63.27,4.27,328.91,30.0,27.01,28.84,28.33,30.73,59.23,3.14,48.55,8.14,2.0,0.76,0.85,0.45,1.45,,19.91,2.01,2.82
1208,1. SNL (SI),Roger Andretty Murillo Soto,R. Murillo,66402,2002-03-17,54.5,31,0,6098.97,111.91,909.29,379.77,37.9,121.61,7.58,501.39,45.48,29.23,31.1,30.75,33.3,64.77,5.29,54.58,9.9,3.61,0.6,0.61,0.94,1.3,1.32,26.32,1.83,2.82
1208,1. SNL (SI),Franck Ahmed Sidibé,F. Sidibé,67910,2002-02-10,92.74,5,0,8939.4,96.39,911.6,327.6,33.0,115.6,7.0,443.2,40.0,29.58,29.58,31.48,32.23,95.8,5.2,71.6,12.4,2.4,0.77,,0.4,,,25.2,2.29,
1208,1. SNL (SI),Óscar Steven Zambrano Preciado,Ó. Zambrano,71089,2004-04-20,66.67,7,0,7557.14,113.35,1121.14,369.57,38.29,121.86,6.57,491.43,44.86,28.13,28.42,29.69,30.23,79.86,3.86,69.29,9.57,2.86,0.68,0.77,0.71,1.51,,25.0,2.3,2.85
1208,1. SNL (SI),Denis Bošnjak,D. Bošnjak,71648,1997-04-10,63.33,9,0,7328.44,115.72,1081.56,450.33,41.56,149.11,8.67,599.44,50.22,28.38,29.8,29.94,31.93,86.11,4.67,74.11,13.11,3.33,0.66,0.72,1.11,1.45,1.57,29.67,1.93,2.77
1208,1. SNL (SI),Veljko Mijailović,V. Mijailović,73089,2000-12-29,91.84,26,2,10566.88,115.05,1503.15,722.92,68.23,328.73,16.42,1051.65,84.65,30.19,32.72,31.87,34.53,108.58,6.35,92.12,16.46,4.88,0.58,0.58,1.88,1.35,1.39,38.54,1.92,2.64
1208,1. SNL (SI),Armandas Kučys,A. Kučys,91243,2003-02-27,61.57,13,0,6811.77,110.63,943.85,470.62,43.0,152.46,9.38,623.08,52.38,29.13,30.8,30.58,32.5,72.92,5.85,60.38,13.85,3.85,0.73,0.74,1.46,1.36,1.52,29.77,1.81,2.92
1208,1. SNL (SI),Nemanja Motika,Nem. Motika,99672,2003-03-20,44.3,16,0,5021.94,113.36,754.69,323.75,32.12,116.0,6.38,439.75,38.5,29.13,31.1,30.29,32.23,55.56,3.19,45.69,10.06,1.75,0.72,1.0,0.69,1.68,,23.94,2.04,2.65
1208,1. SNL (SI),Ivica Vidović,I. Vidović,109874,2002-02-15,53.69,21,0,6520.52,121.44,1073.19,384.1,31.86,80.62,4.19,464.71,36.05,26.79,28.52,28.18,30.4,71.0,3.38,60.19,9.19,2.0,0.69,0.82,0.38,1.62,,25.62,1.99,2.71
1208,1. SNL (SI),Admir Bristrić,A. Bristrić,110327,2003-04-28,43.82,23,1,4607.09,105.13,543.17,278.52,30.87,155.04,7.48,433.57,38.35,30.26,32.4,31.17,33.5,52.35,3.87,41.39,9.39,3.0,0.66,0.76,1.35,1.16,1.46,18.13,1.96,2.7
1208,1. SNL (SI),Christalino Atemona,C. Atemona,120302,2002-04-26,91.02,26,1,9845.77,108.17,1172.62,440.38,44.5,137.62,8.96,578.0,53.46,29.19,31.58,30.9,32.9,102.04,4.85,77.58,12.27,3.38,0.66,0.72,1.58,1.23,1.43,27.62,1.98,2.97
1208,1. SNL (SI),Martin Pečar,M. Pečar,145567,2002-07-05,75.89,32,1,8789.53,115.82,1136.94,512.72,52.41,191.53,11.03,704.25,63.44,29.41,31.22,30.95,33.0,85.56,7.09,69.03,12.5,5.91,0.58,0.64,2.38,1.12,1.29,38.44,1.81,2.57
1208,1. SNL (SI),Eric Taylor,E. Taylor,159665,2001-04-14,45.12,21,2,5414.43,120.0,951.9,329.33,29.67,76.62,4.76,405.95,34.43,27.94,30.68,29.37,32.23,59.52,3.24,49.62,8.76,1.67,0.7,0.71,0.19,1.51,1.54,23.9,1.96,2.71
1208,1. SNL (SI),Karol Borys,K. Borys,162543,2006-09-28,33.89,11,0,4167.82,122.98,742.36,286.27,25.0,105.09,4.73,391.36,29.73,29.57,30.16,30.39,31.17,37.55,2.64,32.09,6.27,1.55,0.64,0.64,0.27,,,18.36,2.11,2.91
1208,1. SNL (SI),Ishaq Kayode Rafiu,I. Kayode Rafiu,163291,2000-12-16,34.28,28,1,3608.93,105.28,477.0,225.0,23.5,79.71,4.96,304.71,28.46,28.41,31.28,29.44,32.17,39.82,3.71,32.82,6.79,2.61,0.67,0.72,0.93,1.27,1.54,15.64,1.8,2.49
1208,1. SNL (SI),Nikola Jojić,N. Jojić,167212,2003-09-15,56.35,29,1,6209.66,110.2,789.28,355.59,38.03,160.97,8.34,516.55,46.38,29.53,31.46,30.8,32.67,63.38,4.48,51.93,11.52,2.83,0.59,0.64,0.83,1.44,1.61,25.97,1.78,2.56
1208,1. SNL (SI),Aljaž Antolin,A. Antolin,170486,2002-08-02,50.32,19,2,5681.58,112.92,830.32,255.89,23.47,45.37,2.58,301.26,26.05,26.69,28.88,28.06,30.37,62.74,2.84,54.63,7.63,1.74,0.68,0.68,0.21,1.62,1.62,17.0,2.08,2.89
1208,1. SNL (SI),Niko  Kasalo ,N. Kasalo,172043,2005-12-31,42.08,23,3,4866.61,115.65,761.39,350.26,32.13,111.7,6.3,461.96,38.43,28.0,30.08,29.46,31.8,54.35,4.04,44.35,9.3,3.0,0.68,0.69,0.7,1.37,1.39,25.48,1.95,2.77
1208,1. SNL (SI),Luka Božičković,L. Božičković,173956,2003-09-02,28.84,2,0,3622.5,125.6,818.5,285.5,21.5,6.5,0.5,292.0,22.0,23.1,23.1,24.6,,45.5,1.0,38.5,6.5,0.5,,,0.0,,,16.0,,
1208,1. SNL (SI),Agustín Doffo,A. Doffo,174302,1995-05-25,77.89,24,0,9330.67,119.79,1497.21,433.33,39.17,84.46,5.42,517.79,44.58,26.96,29.18,29.31,31.9,87.83,3.38,75.88,11.12,2.17,0.69,0.71,0.62,1.32,1.43,38.58,1.88,2.67
1208,1. SNL (SI),Marcel Lorber,M. Lorber,175469,2004-04-26,94.28,6,0,11532.67,122.33,2140.67,636.33,53.83,132.83,6.83,769.17,60.67,27.72,27.98,30.2,31.17,124.0,3.67,117.17,10.67,2.33,0.75,0.84,0.67,1.55,,50.83,1.9,2.75
1208,1. SNL (SI),Maj Mittendorfer,M. Mittendorfer,180835,2000-05-11,95.7,22,2,10345.68,108.1,1375.82,457.95,42.23,127.73,7.59,585.68,49.82,28.42,30.52,30.2,32.5,111.5,6.18,88.45,12.64,4.73,0.57,0.57,1.23,1.13,1.27,37.68,1.86,2.57
1208,1. SNL (SI),Luka Kambič,L. Kambič,180840,1998-12-20,71.83,11,0,7743.27,107.79,929.0,421.18,43.91,201.36,10.0,622.55,53.91,30.48,31.58,31.65,33.2,80.73,4.91,66.82,11.55,3.82,0.74,0.82,1.55,1.35,1.39,27.91,1.89,2.65
1208,1. SNL (SI),Dimitar Mitrovski,D. Mitrovski,180908,1999-01-28,61.36,26,0,6670.08,108.7,858.27,330.27,31.81,83.69,4.96,413.96,36.77,27.74,30.08,29.21,31.47,73.15,3.42,59.42,11.08,2.38,0.67,0.67,0.69,1.45,1.66,25.12,1.79,2.59
1208,1. SNL (SI),Tine Čuk,T. Čuk,186509,2005-02-15,26.0,7,0,3170.86,121.98,511.57,227.14,20.57,72.29,4.0,299.43,24.57,27.93,28.76,28.86,31.0,30.71,1.86,24.86,4.14,1.43,0.68,0.69,0.29,,,15.86,2.09,2.89
1208,1. SNL (SI),Luis Felipe Rabelo Costa,Pará,208441,2002-02-18,18.03,6,1,2151.67,119.32,426.33,133.17,11.67,21.17,1.67,154.33,13.33,25.47,25.98,26.42,27.6,26.83,1.5,21.33,3.33,0.67,0.76,,0.33,,,12.67,2.45,2.91
1208,1. SNL (SI),Fran Tomek,F. Tomek,220916,2002-06-25,80.88,26,2,9715.88,120.12,1579.12,485.0,42.96,107.08,6.27,592.08,49.23,27.38,28.92,29.2,31.0,90.12,3.23,78.35,11.88,1.54,0.73,0.74,0.31,1.36,1.68,36.42,1.77,2.6
