competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_run_ahead_of_the_ball
1230,Eredivisie (NL),14346,6.56,Sydney van Hooijdonk,S. van Hooijdonk,4.5
1230,Eredivisie (NL),14384,2.0,Thomas Buitink,T. Buitink,0.75
1230,Eredivisie (NL),14403,0.0,Calvin Verdonk,C. Verdonk,1.33
1230,Eredivisie (NL),14405,9.67,Dylan Vente,D. Vente,5.29
1230,Eredivisie (NL),14420,2.08,Finn Stokkers,F. Stokkers,1.08
1230,Eredivisie (NL),14432,2.0,Odysseus Velanas,O. Velanas,2.33
1230,Eredivisie (NL),14477,2.38,Vito van Crooij,V. van Crooij,2.12
1230,Eredivisie (NL),14478,0.45,Clint Leemans,C. Leemans,2.14
1230,Eredivisie (NL),14483,1.96,Thomas van den Belt,T. van den Belt,5.12
1230,Eredivisie (NL),14520,0.1,Evert Linthorst,E. Linthorst,1.55
1230,Eredivisie (NL),14524,0.9,Simon Janssen,S. Janssen,5.0
1230,Eredivisie (NL),14525,6.94,Sem  Steijn,S. Steijn,6.44
1230,Eredivisie (NL),14601,0.5,Takehiro Tomiyasu,T. Tomiyasu,1.5
1230,Eredivisie (NL),14919,1.38,Cyle Christopher Larin,C. Larin,1.62
1230,Eredivisie (NL),16481,3.72,Ibrahim Sadiq,I. Sadiq,2.61
1230,Eredivisie (NL),16552,0.21,Darko Nejašmić,D. Nejašmić,2.68
1230,Eredivisie (NL),16997,1.0,Paweł Bochniewicz,P. Bochniewicz,0.0
1230,Eredivisie (NL),17116,5.44,Dennis Man,D. Man,6.89
1230,Eredivisie (NL),17462,1.88,Elazar Dasa,E. Dasa,5.0
1230,Eredivisie (NL),17674,0.0,Enes Mahmutovic,E. Mahmutovic,0.22
1230,Eredivisie (NL),18767,1.5,Pelle Clement,P. Clement,3.67
1230,Eredivisie (NL),19021,0.79,Siebe Horemans,S. Horemans,2.47
1230,Eredivisie (NL),19024,0.22,Jerdy Schouten,J. Schouten,3.3
1230,Eredivisie (NL),19212,0.33,Gerrit Nauber,G. Nauber,0.44
1230,Eredivisie (NL),20103,0.04,Iván Márquez Álvarez,Iván Márquez,0.12
1230,Eredivisie (NL),22142,0.14,Anel Ahmedhodžić,A. Ahmedhodžić,0.82
1230,Eredivisie (NL),22254,0.67,Arthur Zagré,A. Zagré,3.86
1230,Eredivisie (NL),23105,11.58,Troy Parrott,T. Parrott,5.21
1230,Eredivisie (NL),23110,2.41,Sergiño Dest,S. Dest,6.45
1230,Eredivisie (NL),23721,2.45,Robert Mühren,R. Mühren,1.4
1230,Eredivisie (NL),23972,1.67,Mohamed Amine Ihattaren,M. Ihattaren,8.86
1230,Eredivisie (NL),24162,0.78,Ozan Can Kökcü,O. Kökcü,4.13
1230,Eredivisie (NL),24221,0.91,Ivan Mesík,I. Mesík,3.68
1230,Eredivisie (NL),24559,0.21,Jan Žambůrek,J. Žambůrek,1.79
1230,Eredivisie (NL),24674,4.04,Maxence Rivera,M. Rivera,9.04
1230,Eredivisie (NL),24874,2.0,Danilo Pereira da Silva,Danilo,2.33
1230,Eredivisie (NL),24880,0.8,Emil Hansson,E. Hansson,5.6
1230,Eredivisie (NL),24885,1.13,Melle Meulensteen,M. Meulensteen,3.87
