competition_edition,league,player_name,player_short_name,player_id,player_birthdate,minutes_full_all,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,psv99,psv99_top5,peak_velocity,peak_velocity_top3,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,timetohsrpostcod_top3,explacceltosprint_count_full_all,timetosprint_top3,timetosprintpostcod_top3,cod_count_full_all,timeto505around90_top3,timeto505around180_top3
1191,Czech Liga (CZ),Alexis Alégué Elandi,A. Alégué,574,1996-12-23,66.51,27,2,7125.67,107.14,853.26,408.63,46.48,234.26,11.67,642.89,58.15,31.18,32.94,32.17,34.03,74.0,6.93,59.85,13.74,5.37,0.57,0.58,1.93,1.03,1.14,31.59,1.78,2.62
1191,Czech Liga (CZ),Kamil Vacek,K. Vacek,5690,1987-05-18,46.27,4,0,5907.25,127.67,1145.25,287.75,25.25,36.25,2.5,324.0,27.75,25.82,25.82,27.4,27.8,61.0,2.0,54.5,6.5,0.75,,,0.0,,,19.25,2.32,3.18
1191,Czech Liga (CZ),Lukáš Haraslín,L. Haraslín,6467,1996-05-26,71.63,27,0,7641.93,106.69,1043.44,446.7,40.04,140.37,7.26,587.07,47.3,28.5,30.44,29.89,32.03,72.04,5.33,56.96,11.81,3.89,0.64,0.65,1.41,1.42,1.45,28.67,1.92,2.58
1191,Czech Liga (CZ),Lukáš Mareček,L. Mareček,6472,1990-04-17,77.04,17,0,9046.41,117.43,1584.12,409.53,32.18,44.94,2.76,454.47,34.94,25.52,27.2,27.33,29.33,89.82,3.41,73.29,9.82,1.47,0.79,0.9,0.24,,,27.06,1.93,2.7
1191,Czech Liga (CZ),Matěj Vydra,M. Vydra,7118,1992-05-01,57.31,22,1,6253.14,109.12,807.77,362.5,38.23,167.77,8.18,530.27,46.41,29.74,31.76,30.88,33.07,64.36,4.18,53.18,10.09,2.91,0.66,0.7,1.5,1.34,1.35,23.41,1.87,2.75
1191,Czech Liga (CZ),Mick van Buren,M. van Buren,7534,1992-08-24,70.75,23,0,8678.65,122.67,1342.52,612.52,55.04,198.35,10.96,810.87,66.0,29.05,30.84,30.98,33.07,87.57,7.61,69.3,13.43,5.78,0.63,0.67,1.39,1.27,1.44,38.26,1.93,2.74
1191,Czech Liga (CZ),Pavel Kadeřábek,P. Kadeřábek,8523,1992-04-25,67.99,22,0,7520.32,110.61,1084.27,474.86,43.36,172.18,8.95,647.05,52.32,29.07,30.72,30.33,32.43,81.95,5.86,68.14,12.18,3.95,0.63,0.68,1.18,1.27,1.43,23.14,1.9,2.73
1191,Czech Liga (CZ),Václav Pilař,V. Pilař,10603,1988-10-13,54.94,24,0,6382.04,116.15,879.71,324.54,30.33,80.17,4.62,404.71,34.96,27.64,30.2,29.07,31.93,60.71,3.67,50.08,8.5,2.75,0.66,0.75,0.71,1.28,1.5,22.67,1.94,2.72
1191,Czech Liga (CZ),Vladimír Darida,V. Darida,10762,1990-08-08,92.69,32,0,11990.22,129.36,2383.22,797.09,63.34,142.06,8.72,939.16,72.06,27.06,28.72,29.34,31.17,113.31,3.84,94.25,15.69,2.47,0.61,0.68,0.59,1.3,1.54,61.41,1.9,2.61
1191,Czech Liga (CZ),Michal Sadílek,M. Sadílek,12651,1999-05-31,79.71,29,0,9720.55,121.96,1878.0,684.83,57.21,149.79,8.93,834.62,66.14,27.33,28.92,28.97,30.5,99.07,4.93,81.21,13.52,3.07,0.61,0.74,0.9,1.46,1.53,39.28,1.85,2.71
1191,Czech Liga (CZ),Giannis-Fivos Botos,G. Botos,12704,2000-12-20,55.0,20,0,6576.15,119.58,1040.85,437.95,44.3,175.75,9.9,613.7,54.2,29.18,30.24,30.62,31.9,68.25,5.5,53.2,14.0,4.15,0.58,0.59,1.55,1.2,1.29,33.3,1.99,2.74
1191,Czech Liga (CZ),David Lischka,D. Lischka,12715,1997-08-15,93.22,22,0,9451.82,101.39,1109.68,386.32,37.77,136.0,7.14,522.32,44.91,28.41,30.32,30.03,31.87,100.77,5.23,82.27,11.36,3.86,0.63,0.66,0.82,1.22,1.3,19.23,1.88,2.84
1191,Czech Liga (CZ),Eduard Sobol,E. Sobol,12716,1995-04-20,80.5,12,0,8873.33,110.22,1338.58,531.67,46.33,170.92,8.33,702.58,54.67,28.48,30.26,30.02,31.73,95.42,7.5,80.42,15.58,5.5,0.61,0.66,2.17,1.3,1.35,28.33,2.09,2.74
1191,Czech Liga (CZ),Tomáš Holeš,T. Holeš,12719,1993-03-31,92.36,25,0,9765.2,105.73,1413.92,464.2,41.44,133.8,7.36,598.0,48.8,28.63,30.74,30.62,32.9,103.84,6.88,80.92,13.48,4.2,0.6,0.62,1.28,1.29,1.29,30.48,1.83,2.55
1191,Czech Liga (CZ),Lukáš Masopust,L. Masopust,12723,1993-02-12,66.78,25,1,8208.52,122.91,1604.16,516.44,43.84,112.2,7.08,628.64,50.92,27.49,29.44,29.32,31.9,83.96,4.52,71.68,10.2,2.52,0.63,0.69,0.76,1.29,1.37,31.16,1.89,2.64
1191,Czech Liga (CZ),Michal Trávník,M. Trávník,12724,1994-05-17,89.66,24,2,10552.79,117.7,1742.04,606.46,52.08,142.58,7.83,749.04,59.92,27.47,29.26,29.36,31.13,110.25,4.17,93.83,14.08,2.5,0.64,0.64,0.25,1.63,,37.29,1.98,2.73
