competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_run_ahead_of_the_ball
1189,Superliga (DK),173,4.0,Adam Buksa,A. Buksa,4.0
1189,Superliga (DK),2217,0.05,Daniel Mathias Høegh,D. Høegh,0.2
1189,Superliga (DK),2252,0.6,Daniel Wass,D. Wass,3.0
1189,Superliga (DK),4286,0.0,Henrik Dalsgaard,H. Dalsgaard,0.38
1189,Superliga (DK),4830,9.5,Jay-Roy Grot,J. Grot,5.2
1189,Superliga (DK),5334,0.67,Jordi Vanlerberghe,J. Vanlerberghe,1.0
1189,Superliga (DK),5843,0.17,Kevin Mbabu,K. Mbabu,2.67
1189,Superliga (DK),5899,0.0,Kian Hansen,K. Hansen,0.2
1189,Superliga (DK),6058,0.0,Lasse Nielsen,L. Nielsen,0.21
1189,Superliga (DK),7429,2.55,Michael Gregoritsch,M. Gregoritsch,2.09
1189,Superliga (DK),8352,0.05,Pantelis Hatzidiakos,P. Hatzidiakos,0.25
1189,Superliga (DK),9624,1.31,Sean Klaiber,S. Klaiber,3.54
1189,Superliga (DK),10839,0.0,Wessel Dammers,W. Dammers,0.24
1189,Superliga (DK),11192,0.0,Thomas Delaney,T. Delaney,1.38
1189,Superliga (DK),11193,7.7,Andreas Cornelius,A. Cornelius,2.5
1189,Superliga (DK),11491,6.6,Viktor Claesson,V. Claesson,6.0
1189,Superliga (DK),11509,2.71,Lukas Lerager,L. Lerager,3.47
1189,Superliga (DK),11640,1.58,Philip Billing,P. Billing,3.42
1189,Superliga (DK),12026,0.77,Birger Solberg Meling,B. Meling,3.31
1189,Superliga (DK),12642,6.58,Mohamed Amine Elyounoussi,M. Elyounoussi,7.95
1189,Superliga (DK),12675,7.33,Emmanuel Bonaventure Dennis,E. Dennis,6.0
1189,Superliga (DK),12881,0.9,Peter Ankersen,P. Ankersen,4.65
1189,Superliga (DK),12885,0.06,Rasmus Falk Jensen,R. Falk,3.33
1189,Superliga (DK),13292,2.88,Mikkel Duelund,M. Duelund,9.76
1189,Superliga (DK),13547,0.88,Oliver Olsen,O. Olsen,5.82
1189,Superliga (DK),13923,3.57,Andrew Hjulsager,A. Hjulsager,8.57
1189,Superliga (DK),14272,8.0,Tim Freriks,T. Freriks,3.0
1189,Superliga (DK),14294,1.0,Leeroy Owusu,L. Owusu,3.71
1189,Superliga (DK),14314,0.18,Mees Hoedemakers,M. Hoedemakers,0.91
1189,Superliga (DK),14628,1.67,Aurélio Gabriel Ulineia Buta,Aurélio Buta,4.67
1189,Superliga (DK),14729,0.0,Tobias Salquist Nielsen,T. Salquist,0.06
1189,Superliga (DK),15863,1.0,German Onugkha,G. Onugkha,0.0
1189,Superliga (DK),16274,2.0,Stephen Odey,S. Odey,2.17
1189,Superliga (DK),16383,6.81,Patrick Mortensen,P. Mortensen,3.48
1189,Superliga (DK),16436,1.35,Jens Martin Gammelby,J. Gammelby,6.75
1189,Superliga (DK),16441,3.5,Mikael Uhre,M. Uhre,4.5
1189,Superliga (DK),16473,1.38,Jonathan Amon,J. Amon,2.75
1189,Superliga (DK),16499,3.5,Edward Chilufya,E. Chilufya,3.0
1189,Superliga (DK),16519,0.81,Kevin Enkido Yakob,K. Yakob,4.31
1189,Superliga (DK),17310,3.0,Marko Divković,M. Divković,6.0
1189,Superliga (DK),17412,0.62,Alexi Pitu,A. Pitu,1.25
1189,Superliga (DK),18579,0.0,Ben Godfrey,B. Godfrey,0.0
1189,Superliga (DK),18662,0.0,Kristian Pedersen,K. Pedersen,0.4
1189,Superliga (DK),18956,0.0,Mads Bech Sørensen,M. Bech,0.37
1189,Superliga (DK),19068,1.14,Felix Beijmo,F. Beijmo,4.05
1189,Superliga (DK),19077,0.95,Jean-Manuel Mbom,J. Mbom,4.89
1189,Superliga (DK),19132,1.56,Andreas Poulsen,A. Poulsen,8.62
1189,Superliga (DK),19366,3.21,Jann-Fiete Arp,J. Arp,6.21
1189,Superliga (DK),19485,1.78,Janni Serra,J. Serra,2.0
1189,Superliga (DK),19888,0.0,Martin Erlić,M. Erlić,0.0
1189,Superliga (DK),20040,0.0,Bartosz Slisz,B. Slisz,2.67
1189,Superliga (DK),23178,0.05,Nicolas Bürgy,N. Bürgy,0.9
1189,Superliga (DK),23507,0.39,Daníel Leó Grétarsson,D. Grétarsson,3.56
1189,Superliga (DK),24884,0.16,Stefan Velkov,S. Velkov,0.47
1189,Superliga (DK),25041,2.07,Mats Köhlert,M. Köhlert,9.13
1189,Superliga (DK),26175,0.0,Lucas Lissens,L. Lissens,0.33
1189,Superliga (DK),26221,6.76,Jordan Larsson,J. Larsson,9.05
1189,Superliga (DK),26781,0.84,Rami Al Hajj,R. Al Hajj,6.58
1189,Superliga (DK),27343,0.0,Nicolai Poulsen,N. Poulsen,1.88
1189,Superliga (DK),27344,0.0,Frederik Tingager,F. Tingager,0.5
1189,Superliga (DK),27347,2.24,Gift Links,G. Links,9.81
1189,Superliga (DK),27375,0.05,Daniel Anyembe,D. Anyembe,0.35
1189,Superliga (DK),27377,4.29,Nicklas Røjkjær,N. Røjkjær,18.24
1189,Superliga (DK),27378,1.5,Mads Larsen,M. Larsen,14.55
1189,Superliga (DK),27380,5.0,Patrick Hessellund Egelund,P. Egelund,4.0
1189,Superliga (DK),27408,0.0,James Gomez,J. Gomez,0.0
1189,Superliga (DK),27420,3.43,Gustav Ølsted Marcussen,G. Marcussen,7.9
1189,Superliga (DK),27424,1.71,Adam Sørensen,A. Sørensen,6.14
1189,Superliga (DK),27435,0.9,Nikolas Langberg Dyhr,N. Dyhr,4.76
1189,Superliga (DK),27436,1.1,Oliver Villadsen,O. Villadsen,4.3
1189,Superliga (DK),27449,1.75,Moses Opondo,M. Opondo,5.75
1189,Superliga (DK),27450,2.33,Mads Frøkjær-Jensen,M. Frøkjær-Jensen,5.67
1189,Superliga (DK),27456,0.0,André Römer,A. Rømer,1.81
1189,Superliga (DK),27462,1.06,Mathias Peter Greve Petersen,M. Greve,7.78
1189,Superliga (DK),27463,0.13,Frederik Lauenborg,F. Lauenborg,1.07
1189,Superliga (DK),27472,0.44,Mark Brink Christensen,M. Brink,3.06
1189,Superliga (DK),27473,1.19,Svenn Crone,S. Crone,8.24
1189,Superliga (DK),27478,1.89,Mads Emil Madsen,M. Emil Madsen,4.58
1189,Superliga (DK),27482,2.29,Rasmus Carstensen,R. Carstensen,5.62
1189,Superliga (DK),27483,6.11,Nicolai Vallys,N. Vallys,8.05
1189,Superliga (DK),27493,0.19,Rasmus Hjorth Vinderslev,R. Vinderslev,1.19
1189,Superliga (DK),27494,4.14,Anders Kvindebjerg Jacobsen,A. Jacobsen,4.0
