competition_edition,league,player_name,player_short_name,player_id,player_birthdate,minutes_full_all,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,psv99,psv99_top5,peak_velocity,peak_velocity_top3,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,timetohsrpostcod_top3,explacceltosprint_count_full_all,timetosprint_top3,timetosprintpostcod_top3,cod_count_full_all,timeto505around90_top3,timeto505around180_top3
1189,Superliga (DK),Adam Buksa,A. Buksa,173,1996-07-12,80.04,3,0,8491.33,106.08,1154.0,449.33,38.33,80.67,6.67,530.0,45.0,26.7,26.7,28.97,28.97,81.67,5.67,68.33,7.67,5.0,0.79,,1.33,,,29.0,2.49,
1189,Superliga (DK),Daniel Mathias Høegh,D. Høegh,2217,1991-01-06,95.18,30,0,9998.93,105.05,1079.03,338.97,32.37,91.7,5.1,430.67,37.47,28.26,30.54,29.94,32.6,109.07,4.57,85.3,12.63,2.6,0.64,0.78,0.4,1.62,1.84,23.0,1.88,2.86
1189,Superliga (DK),Daniel Wass,D. Wass,2252,1989-05-31,61.88,26,0,7362.12,118.98,1370.19,517.85,41.0,124.23,6.04,642.08,47.04,27.99,30.1,29.59,32.23,80.04,2.65,70.35,9.77,1.62,0.62,0.63,0.38,1.45,,21.15,1.91,2.75
1189,Superliga (DK),Henrik Dalsgaard,H. Dalsgaard,4286,1989-07-27,82.46,31,1,8780.55,106.48,1100.39,332.65,31.26,99.77,5.1,432.42,36.35,28.69,31.72,30.3,33.57,93.32,4.35,73.77,8.94,2.45,0.64,0.73,0.58,1.26,1.41,15.61,2.1,2.99
1189,Superliga (DK),Jay-Roy Grot,J. Grot,4830,1998-03-13,77.08,27,2,8395.22,108.92,1010.7,451.89,48.15,211.41,10.7,663.3,58.85,30.6,32.6,32.3,34.7,84.93,5.74,70.26,11.22,4.3,0.68,0.73,1.15,1.34,1.42,32.74,1.88,2.85
1189,Superliga (DK),Jordi Vanlerberghe,J. Vanlerberghe,5334,1996-06-27,60.9,14,1,6858.29,112.61,909.0,342.5,32.5,137.5,6.36,480.0,38.86,29.46,30.74,30.79,32.63,70.0,4.21,59.93,8.14,2.57,0.71,0.75,0.79,1.57,1.57,17.14,2.12,3.05
1189,Superliga (DK),Kevin Mbabu,K. Mbabu,5843,1995-04-19,54.61,25,0,5819.4,106.57,854.0,366.28,35.24,139.76,7.8,506.04,43.04,28.63,30.74,29.82,32.63,65.52,4.96,54.8,11.44,3.76,0.57,0.62,1.28,1.14,1.22,17.48,1.87,2.57
1189,Superliga (DK),Kian Hansen,K. Hansen,5899,1989-03-03,41.07,5,0,4343.4,105.76,583.0,169.4,15.8,33.6,1.8,203.0,17.6,26.94,26.94,27.82,29.33,53.2,1.8,44.4,4.6,1.0,,,0.0,,,8.8,2.93,
1189,Superliga (DK),Lasse Nielsen,L. Nielsen,6058,1988-01-08,97.08,26,1,10446.12,107.61,1335.69,435.65,41.04,136.35,7.31,572.0,48.35,28.75,30.42,30.54,32.0,109.65,5.31,87.69,12.38,2.85,0.62,0.69,0.81,1.27,1.33,26.85,1.78,2.78
1189,Superliga (DK),Mathias Jattah-Njie Jørgensen,M. Jørgensen,7157,1990-04-23,98.91,12,0,9694.33,98.01,1055.58,338.5,31.17,83.67,5.42,422.17,36.58,27.77,28.76,29.31,30.47,102.92,4.75,82.83,11.0,2.58,0.57,0.65,0.67,1.41,,16.33,2.16,
