competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,onballengagement_count_total,onballengagement_count,onballengagement_count_directregain,onballengagement_pct_directregain,onballengagement_count_indirectregain,onballengagement_pct_indirectregain,onballengagement_count_directdisruption,onballengagement_pct_directdisruption,onballengagement_count_indirectdisruption,onballengagement_pct_indirectdisruption,onballengagement_count_abovehsr,onballengagement_count_forcedbackward,onballengagement_pct_forcedbackward,onballengagement_count_beatenbymovement,onballengagement_pct_beatenbymovement,onballengagement_count_beatenbypossession,onballengagement_pct_beatenbypossession,onballengagement_count_pressingchain,onballengagement_count_consecutive,onballengagement_count_forwardtrajectory,onballengagement_count_dangeroussituation,onballengagement_count_dangeroussituation_dangermitigated,onballengagement_pct_dangermitigated,onballengagement_count_linebreakaffected,onballengagement_pct_linebreakaffected
1265,Primeira Liga (PT),223,Aderllan Leandro de Jesus Santos,A. Santos,1989-04-09,65.9,12.72,20.48,17,16,1,152.0,9.5,0.38,3.95,1.75,18.42,0.19,1.97,0.62,6.58,1.56,0.25,2.63,0.62,6.58,0.25,2.63,1.5,0.81,1.88,6.06,1.19,13.73,0.12,1.32
1265,Primeira Liga (PT),728,André Geraldes de Barros,André Geraldes,1991-05-02,85.07,17.6,23.04,26,25,1,456.0,18.24,0.52,2.85,3.2,17.54,0.28,1.54,1.36,7.46,2.24,0.28,1.54,0.48,2.63,0.76,4.17,3.36,1.64,4.56,8.72,1.56,10.76,0.56,3.07
1265,Primeira Liga (PT),751,André Alexandre Carreira Sousa,André Sousa,1990-07-09,17.24,3.15,4.22,12,12,0,129.0,10.75,0.42,3.88,1.67,15.51,0.0,0.0,0.5,4.65,1.0,0.83,7.75,0.08,0.77,0.0,0.0,3.92,1.83,2.83,2.17,0.08,0.81,1.08,10.08
1265,Primeira Liga (PT),1223,Bas Kuipers,B. Kuipers,1994-08-17,86.8,23.25,22.06,17,17,0,361.0,21.24,0.41,1.94,4.06,19.11,0.41,1.94,0.88,4.15,3.06,0.59,2.77,0.94,4.43,0.59,2.77,6.06,3.53,6.06,7.94,1.18,6.96,0.94,4.43
1265,Primeira Liga (PT),1484,Armindo Tué Na Bangna,Bruma,1994-10-24,11.5,2.89,2.49,3,3,0,12.0,4.0,0.33,8.33,1.0,25.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.33,0.67,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),1652,Carlos dos Santos Rodrigues,Ponck,1995-01-13,67.99,12.91,21.19,16,15,1,184.0,12.27,0.87,7.07,2.6,21.19,0.0,0.0,0.8,6.52,2.13,0.33,2.72,0.53,4.35,0.53,4.35,1.53,1.13,2.07,7.6,2.2,19.72,0.4,3.26
1265,Primeira Liga (PT),1946,Cláudio Pires Morais Ramos,Cláudio Ramos,1991-11-16,72.18,25.17,13.5,2,2,0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
1265,Primeira Liga (PT),2492,David  Martins Simão,David Simão,1990-05-15,56.78,13.87,14.95,12,11,1,268.0,24.36,0.82,3.36,2.73,11.19,0.09,0.37,0.64,2.61,3.0,1.55,6.35,0.27,1.12,0.45,1.86,7.64,3.27,8.09,8.18,0.82,3.43,2.09,8.58
1265,Primeira Liga (PT),2803,Dodi Lukébakio,D. Lukébakio,1997-09-24,48.89,14.55,10.59,17,17,0,271.0,15.94,0.82,5.17,2.59,16.24,0.0,0.0,0.41,2.58,2.82,1.29,8.12,0.06,0.37,0.29,1.85,6.41,2.24,5.0,2.65,0.18,2.84,1.65,10.33
1265,Primeira Liga (PT),3493,Florian Grillitsch,F. Grillitsch,1995-08-07,62.54,20.93,14.11,20,20,0,467.0,23.35,0.7,3.0,4.25,18.2,0.1,0.43,0.95,4.07,3.3,1.6,6.85,0.2,0.86,0.45,1.93,8.1,3.05,7.05,6.0,0.85,4.81,2.0,8.57
1265,Primeira Liga (PT),3665,Frederico André Ferrão Venâncio,Frederico Venâncio,1993-02-04,89.89,21.62,24.18,22,21,1,278.0,13.24,0.71,5.4,3.1,23.38,0.33,2.52,0.9,6.83,1.9,0.24,1.8,0.76,5.76,0.57,4.32,1.62,1.33,2.67,7.48,1.95,16.92,0.52,3.96
1265,Primeira Liga (PT),4261,Hélder Luís Lopes Vieira Tavares,Hélder Tavares,1989-12-26,35.16,7.34,10.29,20,20,0,297.0,14.85,0.25,1.68,2.6,17.51,0.05,0.34,0.4,2.69,2.3,0.65,4.38,0.05,0.34,0.05,0.34,4.7,2.25,4.15,4.9,0.7,6.85,0.95,6.4
1265,Primeira Liga (PT),4521,Ivan Ricardo Neves Abreu Cavaleiro,I. Cavaleiro,1993-10-18,70.95,16.11,18.33,13,13,0,412.0,31.69,0.69,2.18,3.69,11.65,0.08,0.24,1.15,3.64,4.31,2.69,8.49,0.0,0.0,0.15,0.49,14.69,5.85,11.92,4.15,0.23,1.34,4.0,12.62
1265,Primeira Liga (PT),4703,Jan Bednarek,J. Bednarek,1996-04-12,93.65,27.35,21.81,32,29,3,316.0,10.9,0.52,4.75,1.93,17.72,0.07,0.63,0.48,4.43,1.83,0.34,3.16,0.31,2.85,0.28,2.53,2.79,0.93,2.48,4.97,0.93,9.19,0.28,2.53
1265,Primeira Liga (PT),5049,João Ricardo Silva Afonso,João Afonso,1990-05-28,53.59,11.18,16.59,13,13,0,153.0,11.77,0.38,3.27,2.54,21.57,0.15,1.31,0.85,7.19,1.69,0.38,3.27,0.69,5.88,0.54,4.58,2.46,1.15,2.69,6.08,1.38,13.66,0.08,0.65
1265,Primeira Liga (PT),5053,João Miguel Coimbra Aurélio,João Aurélio,1988-08-17,69.8,14.42,18.08,21,20,1,483.0,24.15,0.8,3.31,4.9,20.29,0.45,1.86,1.3,5.38,2.55,1.45,6.0,0.3,1.24,1.2,4.97,5.55,3.35,7.3,10.1,1.7,8.2,1.2,4.97
1265,Primeira Liga (PT),5071,João Filipe Iria Santos Moutinho,João Moutinho,1986-09-08,76.21,26.22,16.83,31,31,0,1033.0,33.32,1.35,4.07,5.55,16.65,0.26,0.77,1.35,4.07,2.52,1.61,4.84,0.1,0.29,0.68,2.03,11.42,5.55,9.29,8.26,1.23,4.33,1.94,5.81
1265,Primeira Liga (PT),5072,João Pedro Barradas Novais,João Novais,1993-07-10,30.16,6.02,7.37,2,2,0,31.0,15.5,1.0,6.45,2.0,12.9,0.0,0.0,0.5,3.23,2.0,1.5,9.68,0.0,0.0,0.0,0.0,2.0,4.0,4.5,5.0,0.0,0.0,0.5,3.23
1265,Primeira Liga (PT),5126,Joel Robles Blázquez,Joel Robles,1990-06-17,98.71,26.29,25.22,31,31,0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
1265,Primeira Liga (PT),5241,Jonathan Buatu Mananga,Jonathan Buatu,1993-09-27,98.13,24.63,24.13,31,30,1,354.0,11.8,0.63,5.37,2.8,23.73,0.17,1.41,0.77,6.5,2.6,0.13,1.13,0.5,4.24,0.23,1.98,1.97,1.07,2.13,6.47,1.6,13.99,0.17,1.41
1265,Primeira Liga (PT),5396,José Miguel da Rocha Fonte,José Fonte,1983-12-22,88.46,18.85,22.65,18,18,0,210.0,11.67,0.44,3.81,2.33,20.0,0.28,2.38,0.44,3.81,1.56,0.06,0.48,0.44,3.81,0.78,6.67,1.83,1.0,2.39,7.72,1.56,13.78,0.28,2.38
1265,Primeira Liga (PT),6359,Lucas Eduardo dos Santos João,Lucas João,1993-09-04,20.68,4.74,5.0,19,18,1,158.0,8.78,0.17,1.9,1.11,12.66,0.06,0.63,0.39,4.43,1.5,0.28,3.16,0.0,0.0,0.0,0.0,2.94,1.11,2.44,1.39,0.06,2.45,0.78,8.86
1265,Primeira Liga (PT),6512,Luuk de Jong,L. de Jong,1990-08-27,67.03,21.38,16.47,5,3,2,134.0,44.67,0.33,0.75,4.0,8.96,0.0,0.0,1.0,2.24,7.0,3.33,7.46,0.0,0.0,0.0,0.0,26.0,7.67,11.0,3.33,0.0,0.0,5.67,12.68
1265,Primeira Liga (PT),7902,Nélson Miguel Castro Oliveira,Nélson Oliveira,1991-08-08,55.92,14.49,13.48,26,24,2,727.0,30.29,0.33,1.1,3.92,12.93,0.12,0.41,1.12,3.71,6.83,1.79,5.91,0.0,0.0,0.0,0.0,18.62,5.04,9.58,1.42,0.04,0.18,2.46,8.11
1265,Primeira Liga (PT),8029,Nicolás Hernán Otamendi,N. Otamendi,1988-02-12,95.62,28.09,21.25,30,29,1,348.0,12.0,0.79,6.61,2.9,24.14,0.14,1.15,0.41,3.45,1.69,0.21,1.72,0.28,2.3,0.52,4.31,2.14,1.17,3.28,6.52,1.76,16.63,0.1,0.86
1265,Primeira Liga (PT),8598,Pedro José  da Silva Trigueira,P. Trigueira,1988-01-04,12.56,1.56,3.9,1,1,0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
