competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count,pass_count_goalwithin10s,pass_count_shotwithin10s,pass_count_attempted_total,pass_count_attempted,pass_count_completed,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted,pass_count_onetouch_attempted,pass_count_quickpass_attempted,pass_count_onetouch_dangerous_attempted,pass_count_quickpass_dangerous_attempted,passopportunity_count_linebreak,pass_count_linebreak_attempted,pass_count_linebreak_completed,passopportunity_count_torun,pass_count_torun_attempted,pass_count_torun_completed,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s,pass_count_torun_goalwithin10s,passopportunity_count_dangerous,pass_count_dangerous_attempted,pass_pct_dangerous_completed,pass_count_dangerous_completed,pass_count_difficultpass_attempted
1196,Super League (CH),390,Albian Ajeti,A. Ajeti,1997-02-26,52.82,15.36,12.51,32,32,0,868.0,27.12,0.06,0.88,237.0,7.41,5.59,75.53,82.82,12.16,0.25,2.19,1.0,0.38,0.25,0.53,0.16,0.12,10.59,3.41,2.38,69.73,79.75,0.5,0.0,9.25,2.16,63.77,1.38,1.06
1196,Super League (CH),535,Alexander Hack,A. Hack,1993-09-08,93.59,21.14,22.9,13,13,0,1316.0,101.23,0.0,1.0,457.0,35.15,26.85,76.37,80.34,18.81,3.62,11.85,4.62,0.15,0.08,31.62,9.15,6.77,15.31,5.62,4.46,79.45,77.16,0.15,0.0,4.85,1.38,44.44,0.62,8.77
1196,Super League (CH),673,Amir Abrashi,A. Abrashi,1990-03-27,50.02,10.89,15.01,11,11,0,464.0,42.18,0.09,0.82,177.0,16.09,13.0,80.79,82.99,13.63,0.27,6.73,4.64,0.27,0.27,3.73,1.09,0.91,5.18,2.27,2.0,88.0,80.9,0.18,0.0,4.91,1.27,71.43,0.91,2.73
1196,Super League (CH),943,Anto Grgić,A. Grgić,1996-11-28,95.69,28.24,23.0,36,36,0,5455.0,151.53,0.28,2.53,1880.0,52.22,46.67,89.36,88.59,17.43,5.42,17.56,11.94,0.89,0.53,27.14,8.36,6.78,20.56,9.56,8.06,84.3,77.54,1.03,0.06,12.67,3.11,59.82,1.86,6.22
1196,Super League (CH),1287,Benjamin Kololli,B. Kololli,1992-05-15,50.78,13.51,13.58,28,28,0,1291.0,46.11,0.07,1.29,377.0,13.46,11.0,81.7,77.35,14.68,0.86,3.46,1.93,0.79,0.36,3.07,0.89,0.64,17.5,5.89,4.64,78.79,71.51,0.86,0.04,12.07,3.14,64.77,2.04,4.0
1196,Super League (CH),2509,David von Ballmoos,D. von Ballmoos,1994-12-30,98.54,28.89,24.33,15,15,0,1560.0,104.0,0.0,0.0,558.0,37.2,30.73,82.62,85.78,24.08,7.6,4.8,4.6,0.0,0.0,40.2,10.47,5.8,17.4,6.93,6.67,96.15,95.15,0.0,0.0,0.07,0.0,,0.0,5.6
1196,Super League (CH),3228,Ezgjan Alioski,E. Alioski,1992-02-12,49.23,14.49,11.06,20,20,0,1489.0,74.45,0.15,1.8,517.0,25.85,20.45,79.11,79.8,16.34,1.6,6.1,5.5,1.05,0.75,15.55,4.55,3.5,20.2,8.25,5.9,71.52,68.18,0.65,0.05,16.8,5.0,49.0,2.45,6.65
1196,Super League (CH),4090,Gregory Wüthrich,G. Wüthrich,1994-12-04,83.06,24.48,19.72,25,25,0,2535.0,101.4,0.08,0.52,988.0,39.52,34.28,86.74,91.33,19.37,2.56,6.12,6.92,0.12,0.0,29.96,8.64,6.56,16.64,6.52,5.48,84.05,86.29,0.12,0.0,2.36,0.56,57.14,0.32,4.24
1196,Super League (CH),4521,Ivan Ricardo Neves Abreu Cavaleiro,I. Cavaleiro,1993-10-18,70.61,16.18,17.73,13,13,0,928.0,71.38,0.15,1.08,263.0,20.23,15.46,76.43,77.71,13.78,1.08,6.54,3.08,0.69,0.54,4.69,1.31,1.15,25.31,6.85,5.54,80.9,78.41,0.62,0.0,19.54,4.0,50.0,2.0,5.15
1196,Super League (CH),4702,Jan Bamert,J. Bamert,1998-03-09,86.03,18.84,22.23,33,31,2,2446.0,78.9,0.13,0.77,888.0,28.65,23.52,82.09,87.27,20.21,3.1,6.13,5.55,0.23,0.06,21.55,5.84,4.26,12.58,4.06,2.97,73.02,75.05,0.32,0.03,2.81,0.9,46.43,0.42,4.87
1196,Super League (CH),5123,Joël Mall,J. Mall,1991-04-05,93.72,27.25,24.15,28,28,0,1986.0,70.93,0.0,0.0,624.0,22.29,16.93,75.96,83.18,25.32,4.86,3.93,1.43,0.0,0.0,31.93,8.29,4.61,11.57,3.43,3.25,94.79,94.31,0.0,0.0,0.0,0.0,,0.0,2.86
1196,Super League (CH),6166,Leonardo Bertone,L. Bertone,1994-03-14,97.09,21.46,24.63,33,31,2,3178.0,102.52,0.19,2.0,1107.0,35.71,26.13,73.17,74.7,18.63,3.52,15.23,5.94,2.06,1.06,17.1,4.68,2.94,19.42,7.0,5.32,76.04,66.55,0.58,0.1,17.77,4.84,51.33,2.48,12.55
1196,Super League (CH),6241,Linus Obexer,L. Obexer,1997-06-05,91.77,22.57,24.07,2,2,0,222.0,111.0,0.0,1.5,71.0,35.5,20.5,57.75,68.68,16.17,2.0,10.5,7.0,1.0,1.5,11.0,4.5,2.5,31.0,12.0,5.5,45.83,57.08,0.5,0.0,26.5,9.0,22.22,2.0,18.0
1196,Super League (CH),6296,Loris Benito,L. Benito,1992-01-07,94.44,28.15,22.12,33,33,0,4944.0,149.82,0.39,2.15,1841.0,55.79,49.52,88.76,89.07,17.91,3.58,9.06,11.09,0.52,0.36,43.18,12.42,10.24,26.09,9.58,8.24,86.08,81.53,0.82,0.09,9.15,2.24,56.76,1.27,7.91
1196,Super League (CH),6343,Luca Zuffi,L. Zuffi,1990-03-27,80.96,19.01,24.41,27,27,0,2122.0,78.59,0.04,0.89,796.0,29.48,26.26,89.07,86.2,15.37,1.48,12.67,6.78,0.37,0.19,11.7,3.56,2.96,8.3,3.78,3.19,84.31,73.12,0.22,0.04,5.22,1.52,65.85,1.0,4.56
1196,Super League (CH),6758,Marco Bürki,M. Bürki,1993-07-10,90.24,20.11,23.28,32,31,1,2797.0,90.23,0.19,0.97,958.0,30.9,25.16,81.42,84.08,21.63,4.55,6.65,6.29,0.45,0.13,24.81,6.52,4.71,15.42,5.74,4.71,82.02,72.21,0.45,0.1,5.65,1.29,42.5,0.55,6.94
1196,Super League (CH),7090,Marwin Hitz,M. Hitz,1987-09-18,97.79,28.25,23.92,31,31,0,1849.0,59.65,0.0,0.0,692.0,22.32,19.81,88.73,90.07,26.38,5.39,3.55,1.45,0.0,0.0,20.26,5.77,3.87,14.32,4.94,4.87,98.69,96.09,0.0,0.0,0.0,0.0,,0.0,1.9
1196,Super League (CH),7274,Mattia Bottani,M. Bottani,1991-05-24,28.15,7.75,6.47,21,21,0,649.0,30.9,0.0,0.57,187.0,8.9,6.95,78.08,82.51,13.78,0.33,1.14,1.48,0.24,0.19,2.48,0.57,0.29,10.14,2.9,1.86,63.93,70.71,0.24,0.0,9.67,2.0,50.0,1.0,1.9
1196,Super League (CH),7426,Michael Frey,M. Frey,1994-07-19,80.52,18.89,23.34,14,14,0,762.0,54.43,0.14,1.36,193.0,13.79,10.21,74.09,73.75,12.89,0.93,4.93,2.64,1.14,0.5,0.86,0.21,0.07,22.86,6.5,4.5,69.23,72.37,0.93,0.07,15.86,3.64,64.71,2.36,4.43
1196,Super League (CH),7679,Mirko Salvi,M. Salvi,1994-02-14,97.23,25.93,24.16,5,5,0,299.0,59.8,0.0,0.0,106.0,21.2,17.8,83.96,85.41,26.35,5.4,4.0,3.2,0.0,0.0,22.8,7.0,4.6,15.2,4.2,4.0,95.24,93.76,0.0,0.0,0.0,0.0,,0.0,2.6
1196,Super League (CH),8109,Noë Dussenne,N. Dussenne,1992-04-07,98.02,25.26,19.57,3,3,0,372.0,124.0,0.0,1.33,124.0,41.33,33.33,80.64,84.19,21.06,5.67,10.67,5.33,0.33,0.33,28.0,9.33,7.0,12.33,4.67,4.0,85.71,76.61,0.33,0.0,11.67,1.67,40.0,0.67,8.33
1196,Super League (CH),8126,Numa Lavanchy,N. Lavanchy,1993-08-25,97.38,26.19,25.69,37,37,0,3765.0,101.76,0.3,1.89,1444.0,39.03,31.05,79.57,78.94,15.78,2.24,10.16,9.35,1.11,0.51,18.32,6.27,4.41,29.95,12.14,9.54,78.62,72.09,1.14,0.14,13.51,4.46,46.06,2.05,10.86
1196,Super League (CH),8893,Raúl Marcelo Bobadilla,R. Bobadilla,1987-06-18,31.23,9.12,5.75,2,2,0,26.0,13.0,0.0,0.5,8.0,4.0,1.5,37.5,49.47,6.73,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,50.0,56.22,0.5,0.0,4.0,2.0,25.0,0.5,3.0
1196,Super League (CH),8918,Remo Arnold,R. Arnold,1997-01-17,81.3,18.34,24.06,29,29,0,2208.0,76.14,0.03,0.38,851.0,29.34,23.93,81.55,85.97,21.23,3.69,7.45,5.41,0.1,0.03,24.17,7.38,4.97,11.21,4.69,4.0,85.29,82.52,0.14,0.03,2.45,0.55,68.75,0.38,5.97
1196,Super League (CH),8939,Renato Steffen,R. Steffen,1991-11-03,74.12,22.68,16.83,29,29,0,2488.0,85.79,0.24,2.31,792.0,27.31,22.41,82.07,80.4,16.34,2.17,10.41,4.28,1.28,0.72,7.59,1.9,1.48,27.69,8.76,6.55,74.8,71.33,1.17,0.1,21.76,5.21,54.97,2.86,6.45
1196,Super League (CH),9253,Roman Buess,R. Buess,1992-09-21,43.2,9.54,12.41,24,24,0,476.0,19.83,0.04,0.5,159.0,6.62,4.54,68.55,72.41,13.18,0.29,2.96,0.92,0.71,0.38,0.75,0.33,0.21,7.5,2.75,1.62,59.09,67.33,0.33,0.04,5.96,2.08,58.0,1.21,2.04
1196,Super League (CH),9447,Saidy Janko,S. Janko,1995-10-22,69.54,20.36,16.11,26,26,0,2743.0,105.5,0.27,1.62,859.0,33.04,26.0,78.7,82.54,16.66,2.35,5.08,5.92,0.73,0.35,18.88,4.31,3.15,32.77,9.77,7.42,75.99,75.31,0.65,0.15,15.19,4.0,34.61,1.38,7.42
1196,Super League (CH),9540,Sandro Lauper,S. Lauper,1996-10-25,76.12,22.77,18.57,33,33,0,3770.0,114.24,0.21,1.52,1392.0,42.18,37.58,89.08,91.26,19.97,4.58,9.06,9.91,0.15,0.24,29.45,8.45,6.91,15.97,6.64,5.67,85.39,87.29,0.36,0.06,3.85,0.82,66.67,0.55,4.09
1196,Super League (CH),10007,Stefanos Kapino,S. Kapino,1994-03-18,97.11,21.91,28.91,36,36,0,2466.0,68.5,0.0,0.14,725.0,20.14,14.89,73.93,83.98,26.82,4.47,2.83,1.14,0.0,0.0,29.44,6.56,3.11,13.86,3.11,2.97,95.54,92.83,0.0,0.0,0.0,0.0,,0.0,2.0
1196,Super League (CH),10124,Steven Zuber,S. Zuber,1991-08-17,97.88,25.95,21.1,17,17,0,1608.0,94.59,0.41,2.65,487.0,28.65,23.12,80.7,78.12,13.76,0.71,10.06,4.59,1.24,0.82,7.94,2.18,1.59,26.0,8.65,6.94,80.27,71.34,1.41,0.24,27.41,6.71,61.4,4.12,7.41
1196,Super League (CH),10936,Xherdan Shaqiri,X. Shaqiri,1991-10-10,78.11,22.19,19.31,32,32,0,3371.0,105.34,0.28,3.88,1032.0,32.25,25.5,79.07,77.23,15.96,2.09,9.53,7.97,1.81,2.41,11.53,4.62,3.25,33.81,12.25,9.0,73.47,68.09,2.44,0.09,31.31,9.34,61.54,5.75,9.34
1196,Super League (CH),10950,Yanick Brecher,Y. Brecher,1993-05-25,97.86,25.58,22.11,22,22,0,2049.0,93.14,0.0,0.14,712.0,32.36,23.59,72.89,83.8,28.3,7.32,8.14,4.18,0.0,0.0,40.59,10.95,5.23,15.64,5.91,5.27,89.23,91.5,0.0,0.0,0.0,0.0,,0.0,4.59
1196,Super League (CH),11218,Ablie Jallow,A. Jallow,1998-11-14,46.95,13.41,13.08,11,11,0,713.0,64.82,0.27,2.0,197.0,17.91,15.18,84.77,84.86,14.27,0.64,3.45,4.09,0.36,0.45,5.64,1.09,1.09,19.73,5.64,4.27,75.81,75.46,0.64,0.0,15.91,2.91,59.38,1.73,2.82
1196,Super League (CH),11299,Valon Berisha,V. Berisha,1993-02-07,60.75,13.46,14.89,12,12,0,1053.0,87.75,0.25,1.08,311.0,25.92,20.83,80.39,80.84,15.54,1.42,9.67,4.5,0.67,0.33,16.58,4.33,2.83,11.58,4.08,2.75,67.35,64.87,0.0,0.0,9.75,2.5,60.0,1.5,6.5
1196,Super League (CH),11333,David Douline,D. Douline,1993-05-28,83.66,23.43,22.03,28,28,0,2135.0,76.25,0.18,0.89,682.0,24.36,19.64,80.65,84.86,16.4,1.39,8.79,4.89,0.54,0.32,10.14,2.46,1.79,10.89,4.21,3.11,73.73,75.13,0.43,0.04,7.79,1.71,52.08,0.89,4.39
1196,Super League (CH),11476,Morgan Poaty,M. Poaty,1997-07-15,65.63,16.87,16.16,33,33,0,2436.0,73.82,0.06,1.3,859.0,26.03,20.61,79.16,82.0,15.54,1.24,4.94,7.03,0.42,0.45,16.55,4.76,3.42,18.91,7.27,5.55,76.25,76.55,0.39,0.03,9.3,2.33,41.56,0.97,6.15
1196,Super League (CH),11650,Anton Miranchuk,A. Miranchuk,1995-10-17,64.9,13.03,21.26,1,1,0,48.0,48.0,0.0,0.0,16.0,16.0,13.0,81.25,80.02,16.95,1.0,3.0,6.0,1.0,0.0,5.0,2.0,2.0,11.0,5.0,5.0,100.0,85.35,0.0,0.0,7.0,2.0,50.0,1.0,5.0
1196,Super League (CH),11769,Anthony Racioppi,A. Racioppi,1998-12-31,97.31,26.19,25.7,38,38,0,3519.0,92.61,0.05,0.21,1121.0,29.5,22.5,76.27,84.2,27.3,7.05,3.66,4.45,0.0,0.0,36.84,10.84,5.84,17.05,5.45,4.68,85.99,90.86,0.11,0.03,0.0,0.0,,0.0,4.05
1196,Super League (CH),11815,Milan Rodić,M. Rodić,1991-04-02,67.75,19.93,14.91,8,8,0,572.0,71.5,0.0,1.25,235.0,29.38,24.62,83.83,83.75,17.69,2.25,5.62,6.5,0.5,0.12,26.5,10.38,8.5,16.38,6.12,4.75,77.55,71.84,0.38,0.0,5.12,1.38,45.45,0.62,6.5
