competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,onballengagement_count_total,onballengagement_count,onballengagement_count_directregain,onballengagement_pct_directregain,onballengagement_count_indirectregain,onballengagement_pct_indirectregain,onballengagement_count_directdisruption,onballengagement_pct_directdisruption,onballengagement_count_indirectdisruption,onballengagement_pct_indirectdisruption,onballengagement_count_abovehsr,onballengagement_count_forcedbackward,onballengagement_pct_forcedbackward,onballengagement_count_beatenbymovement,onballengagement_pct_beatenbymovement,onballengagement_count_beatenbypossession,onballengagement_pct_beatenbypossession,onballengagement_count_pressingchain,onballengagement_count_consecutive,onballengagement_count_forwardtrajectory,onballengagement_count_dangeroussituation,onballengagement_count_dangeroussituation_dangermitigated,onballengagement_pct_dangermitigated,onballengagement_count_linebreakaffected,onballengagement_pct_linebreakaffected
1207,Liga I (RO),78,Alexandru Chipciu,A. Chipciu,1989-05-18,90.27,25.13,23.81,33,31,2,851.0,27.45,1.68,6.11,5.16,18.8,0.48,1.76,1.23,4.46,2.81,1.29,4.7,0.35,1.29,0.71,2.59,4.84,3.65,7.35,11.65,2.13,8.92,0.48,1.76
1207,Liga I (RO),2049,Cristian Manea,C. Manea,1997-08-09,65.22,17.83,16.52,21,20,1,431.0,21.55,0.85,3.95,3.7,17.17,0.25,1.16,1.4,6.5,2.4,0.8,3.71,0.15,0.7,0.45,2.09,4.4,2.7,6.3,6.95,1.0,5.89,0.7,3.25
1207,Liga I (RO),2149,Damjan Djoković,D. Djoković,1990-04-18,73.12,17.65,21.03,29,29,0,1083.0,37.34,0.79,2.12,5.79,15.51,0.34,0.92,1.59,4.25,3.17,1.83,4.9,0.24,0.65,0.62,1.66,10.97,6.07,9.97,11.31,1.76,5.54,3.76,10.06
1207,Liga I (RO),2153,Dan Nistor,D. Nistor,1988-05-06,63.2,19.03,15.02,28,27,1,949.0,35.15,0.81,2.32,4.81,13.7,0.19,0.53,1.26,3.58,5.81,2.07,5.9,0.04,0.11,0.3,0.84,14.67,6.07,9.85,6.07,0.63,5.57,4.22,12.01
1207,Liga I (RO),2609,Denis Alibec,D. Alibec,1991-01-05,64.03,19.28,15.39,19,18,1,363.0,20.17,0.28,1.38,3.22,15.98,0.17,0.83,0.61,3.03,3.72,0.89,4.41,0.06,0.28,0.06,0.28,7.89,2.61,6.89,1.06,0.17,1.51,1.39,6.89
1207,Liga I (RO),3514,Florin Bejan,F. Bejan,1991-03-28,62.13,12.63,21.68,11,10,1,126.0,12.6,0.5,3.97,2.7,21.43,0.3,2.38,0.4,3.18,0.2,0.8,6.35,0.3,2.38,0.6,4.76,3.4,1.0,4.3,6.4,1.2,11.91,0.3,2.38
1207,Liga I (RO),3830,George Pușcaș,G. Pușcaș,1996-04-08,58.07,14.99,14.2,7,7,0,117.0,16.71,0.0,0.0,3.57,21.37,0.0,0.0,0.14,0.85,3.57,1.0,5.98,0.0,0.0,0.14,0.85,6.86,2.0,6.43,0.86,0.0,0.0,1.71,10.26
1207,Liga I (RO),3836,Georgi Milanov,G. Milanov,1992-02-19,33.47,9.69,7.33,32,31,1,392.0,12.65,0.42,3.32,2.06,16.33,0.06,0.51,0.55,4.34,1.81,0.87,6.89,0.03,0.26,0.16,1.28,4.03,2.0,2.84,2.29,0.29,3.5,1.0,7.91
1207,Liga I (RO),3876,Gheorghe Grozav,G. Grozav,1990-09-29,81.62,20.28,21.63,37,35,2,1379.0,39.4,0.89,2.25,5.66,14.36,0.29,0.73,1.63,4.13,6.51,2.43,6.16,0.11,0.29,0.34,0.87,15.06,7.89,11.66,5.49,0.69,2.49,3.63,9.21
1207,Liga I (RO),4491,Islam Slimani,I. Slimani,1988-06-18,40.02,10.18,10.33,13,13,0,212.0,16.31,0.0,0.0,2.08,12.74,0.0,0.0,0.23,1.41,2.77,0.62,3.77,0.0,0.0,0.0,0.0,8.0,2.62,5.15,1.15,0.0,0.0,1.23,7.55
1207,Liga I (RO),6012,Kurt Zouma,K. Zouma,1994-10-27,41.61,9.77,9.07,3,3,0,15.0,5.0,0.33,6.67,1.33,26.67,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.33,6.67,0.0,0.0,0.0,0.0,1.0,3.33,0.67,13.81,0.0,0.0
1207,Liga I (RO),6063,László Kleinheisler,L. Kleinheisler,1994-04-08,66.73,16.93,20.12,8,8,0,301.0,37.62,1.88,4.98,4.62,12.29,0.38,1.0,1.5,3.99,4.12,3.0,7.97,0.0,0.0,0.62,1.66,16.0,5.5,13.0,6.75,1.0,4.1,4.12,10.96
1207,Liga I (RO),6848,Marcus Coco,M. Coco,1996-06-24,79.33,22.71,19.76,8,8,0,188.0,23.5,1.12,4.79,4.12,17.55,0.25,1.06,1.0,4.25,5.0,0.88,3.72,0.5,2.13,0.5,2.13,5.62,3.12,6.12,7.5,2.38,12.77,0.38,1.6
1207,Liga I (RO),7584,Mihai Roman,M. Roman,1992-05-31,24.7,6.35,4.63,1,1,0,12.0,12.0,1.0,8.33,1.0,8.33,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,,0.0,0.0
1207,Liga I (RO),8475,Paul Papp,P. Papp,1989-11-11,89.46,22.07,24.31,34,32,2,443.0,13.84,0.56,4.06,3.28,23.7,0.31,2.26,0.56,4.06,1.75,0.34,2.48,0.5,3.61,0.62,4.52,2.38,1.06,3.72,7.34,1.25,9.72,0.22,1.58
1207,Liga I (RO),8582,Pedro Nuno Fernandes Ferreira,Pedro Nuno,1995-01-13,71.82,19.35,16.19,21,19,2,652.0,34.32,0.79,2.3,5.42,15.8,0.32,0.92,1.32,3.83,3.68,2.16,6.29,0.05,0.15,0.42,1.23,12.89,6.26,9.58,6.42,0.79,3.29,3.74,10.89
1207,Liga I (RO),10140,Stipe Perica,S. Perica,1995-07-07,33.82,9.65,7.27,15,14,1,211.0,15.07,0.14,0.95,2.0,13.27,0.0,0.0,0.79,5.21,3.57,0.64,4.27,0.0,0.0,0.07,0.47,7.86,3.0,4.93,0.57,0.07,0.93,1.29,8.53
1207,Liga I (RO),10756,Vlad Iulian  Chiricheș,V. Chiricheș,1989-11-14,47.1,14.19,9.87,12,12,0,203.0,16.92,0.5,2.96,4.08,24.14,0.08,0.49,0.75,4.43,1.58,0.75,4.43,0.08,0.49,0.17,0.99,4.58,2.67,3.92,4.67,1.08,10.79,1.0,5.91
1207,Liga I (RO),11177,Ionuț Larie,I. Larie,1987-01-16,96.43,27.37,23.39,34,32,2,574.0,17.94,1.0,5.57,4.25,23.69,0.09,0.52,0.84,4.7,2.72,0.41,2.27,0.59,3.31,0.59,3.31,2.53,1.53,3.94,9.47,2.12,12.29,0.19,1.05
1207,Liga I (RO),11179,Ovidiu Popescu,O. Popescu,1994-02-27,54.65,12.8,15.94,14,14,0,441.0,31.5,0.93,2.95,5.21,16.55,0.14,0.45,1.21,3.86,2.86,0.86,2.72,0.14,0.45,0.71,2.27,8.43,6.21,8.57,10.93,1.64,5.16,3.71,11.79
1207,Liga I (RO),11181,Florin Tănase,F. Tănase,1994-12-30,94.86,28.26,20.24,36,35,1,1515.0,43.29,1.71,3.96,6.97,16.11,0.31,0.73,1.31,3.04,5.34,2.91,6.73,0.14,0.33,0.29,0.66,15.66,6.77,12.46,4.97,0.69,1.94,3.91,9.04
1207,Liga I (RO),11229,Jordan Ikoko,J. Ikoko,1994-02-03,51.23,16.57,10.64,21,20,1,272.0,13.6,0.45,3.31,3.15,23.16,0.15,1.1,0.6,4.41,1.65,0.55,4.04,0.15,1.1,0.45,3.31,3.05,1.4,3.65,4.2,0.75,7.48,0.2,1.47
1207,Liga I (RO),12208,Eddy Gnahoré,E. Gnahoré,1993-11-14,94.38,28.86,20.97,38,36,2,1376.0,38.22,1.89,4.94,6.72,17.59,0.47,1.24,1.39,3.63,4.11,2.31,6.03,0.11,0.29,0.44,1.16,10.78,6.72,9.39,9.83,1.44,4.51,2.83,7.41
1207,Liga I (RO),12638,Antoine Baroan,A. Baroan,2000-06-24,40.73,10.73,10.55,13,13,0,229.0,17.62,0.23,1.31,2.31,13.1,0.0,0.0,0.54,3.06,4.69,0.69,3.93,0.0,0.0,0.15,0.87,6.38,2.85,4.69,2.23,0.46,5.29,2.0,11.35
