competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
1194,Jupiler Pro League (BE),26162,Thierry Lutonda,T. Lutonda,2000-10-27,71.89,15.45,22.26,26,26,0,459.0,17.65,9.88,55.99,1.46,0.15,7.11,2.02,269.0,10.35,6.38,61.71,1.27,0.5,39.39,8.15,138.0,5.31,2.58,2.69,0.85,0.77,0.58,0.27,46.67,48.55,31.43,0.38,1.23,0.19,1.12,0.23,0.04,16.67,1.96,0.15,7.84,3.5,0.92,26.37,0.62,17.58
1194,Jupiler Pro League (BE),26169,Killian Sardella,K. Sardella,2002-05-02,70.45,18.62,17.4,32,30,2,1039.0,34.63,26.53,76.61,2.13,0.17,5.85,2.0,721.0,24.03,18.8,78.22,1.1,0.43,39.39,22.23,256.0,8.53,6.37,4.4,3.23,1.53,0.97,0.53,55.17,74.61,73.49,0.2,1.9,0.1,0.57,0.6,0.23,38.89,1.43,0.33,23.26,2.53,0.5,19.74,0.3,11.84
1194,Jupiler Pro League (BE),26170,Marco Kana,M. Kana,2002-08-08,85.86,23.74,21.32,26,25,1,1179.0,47.16,41.56,88.12,0.84,0.04,4.07,1.6,792.0,31.68,29.48,93.06,0.28,0.16,57.14,30.12,169.0,6.76,5.96,2.36,2.16,0.52,0.04,0.04,100.0,88.17,91.52,0.04,0.04,0.0,0.12,0.08,0.04,50.0,0.48,0.04,8.33,0.56,0.08,14.29,0.04,7.14
1194,Jupiler Pro League (BE),26172,Antoine Colassin,A. Colassin,2001-02-26,26.55,7.05,6.6,29,29,0,207.0,7.14,3.69,51.69,1.31,0.1,5.9,1.68,122.0,4.21,2.34,55.74,0.93,0.41,44.44,2.55,49.0,1.69,0.86,1.0,0.41,0.55,0.48,0.1,21.43,51.02,41.38,0.17,0.69,0.14,0.17,0.03,0.0,0.0,1.34,0.28,20.51,2.03,0.34,16.95,0.66,32.2
1194,Jupiler Pro League (BE),26253,Marcos Hernán Peano,M. Peano,1998-10-15,99.61,22.2,29.43,34,34,0,810.0,23.82,12.59,52.84,0.12,0.0,5.41,3.52,385.0,11.32,7.24,63.9,0.12,0.06,50.0,11.03,190.0,5.59,2.88,3.35,1.74,0.03,0.0,0.0,,51.58,51.75,0.0,0.0,0.0,0.0,0.09,0.09,100.0,0.24,0.03,12.5,0.35,0.09,25.0,0.0,0.0
1194,Jupiler Pro League (BE),26646,Ibrahim Karamoko,I. Karamoko,2001-07-23,78.22,18.0,23.43,31,31,0,816.0,26.32,20.19,76.72,1.35,0.06,4.67,1.44,492.0,15.87,13.45,84.76,0.48,0.1,20.0,13.1,149.0,4.81,3.65,1.77,1.26,1.0,0.45,0.26,57.14,75.84,70.91,0.32,0.9,0.16,0.06,0.1,0.03,33.33,0.81,0.16,20.0,1.61,0.48,30.0,0.16,10.0
1194,Jupiler Pro League (BE),26894,Shogo Taniguchi,S. Taniguchi,1991-07-15,85.94,25.5,22.01,38,36,2,1929.0,53.58,46.28,86.37,1.31,0.17,4.1,1.62,1347.0,37.42,34.25,91.54,0.28,0.14,50.0,35.89,300.0,8.33,7.42,5.44,4.97,0.81,0.36,0.31,84.62,89.0,91.33,0.17,0.11,0.03,0.03,0.36,0.11,30.77,0.47,0.11,23.53,0.81,0.33,41.38,0.03,3.45
1194,Jupiler Pro League (BE),27005,Daiki Hashioka,D. Hashioka,1999-05-17,87.29,21.55,27.12,17,16,1,557.0,34.81,25.12,72.17,1.75,0.0,3.26,1.19,376.0,23.5,18.5,78.72,1.31,0.56,42.86,21.06,64.0,4.0,2.69,1.5,0.88,0.25,0.0,0.0,,67.19,58.33,0.12,1.31,0.19,0.12,0.31,0.12,40.0,1.75,0.31,17.86,2.5,0.31,12.5,0.38,15.0
1194,Jupiler Pro League (BE),27108,Griffin Yow,G. Yow,2002-09-25,45.13,11.82,12.46,16,16,0,251.0,15.69,7.19,45.82,2.25,0.25,9.14,2.3,162.0,10.12,4.88,48.15,2.44,1.06,43.59,7.19,105.0,6.56,3.0,3.19,1.38,1.38,1.12,0.38,33.33,45.71,43.14,0.88,1.38,0.62,1.0,0.38,0.06,16.67,3.0,0.31,10.42,4.38,1.56,35.71,0.69,15.71
1194,Jupiler Pro League (BE),27114,Bryan Reynolds,B. Reynolds,2001-06-28,98.31,25.74,26.41,38,36,2,1556.0,43.22,30.58,70.76,3.47,0.25,5.88,1.82,1094.0,30.39,22.78,74.95,2.36,1.03,43.53,26.86,362.0,10.06,6.58,5.75,3.36,3.06,2.03,0.94,46.58,65.47,58.45,0.31,4.67,1.0,0.78,0.56,0.22,40.0,3.53,0.44,12.6,5.61,1.58,28.22,0.89,15.84
