competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1265,Primeira Liga (PT),223,Aderllan Leandro de Jesus Santos,A. Santos,1989-04-09,65.9,12.72,20.48,17,16,1,608.0,38.0,13.88,13.12,0.25,0.0,0.19,1.19,13.44,2.81,3.12,34.88,0.88,0.12,0.06,0.0
1265,Primeira Liga (PT),728,André Geraldes de Barros,André Geraldes,1991-05-02,85.07,17.6,23.04,26,25,1,1512.0,60.48,17.44,16.0,0.24,0.0,4.8,2.4,15.08,29.4,4.64,55.84,1.0,0.16,0.08,0.0
1265,Primeira Liga (PT),751,André Alexandre Carreira Sousa,André Sousa,1990-07-09,17.24,3.15,4.22,12,12,0,178.0,14.83,3.67,3.0,0.08,0.08,2.17,1.75,2.33,4.67,10.67,4.17,0.75,0.08,0.0,0.0
1265,Primeira Liga (PT),1223,Bas Kuipers,B. Kuipers,1994-08-17,86.8,23.25,22.06,17,17,0,1600.0,94.12,23.71,20.76,1.18,0.29,27.41,10.88,19.24,67.06,15.0,79.12,3.0,0.24,0.18,0.06
1265,Primeira Liga (PT),1484,Armindo Tué Na Bangna,Bruma,1994-10-24,11.5,2.89,2.49,3,3,0,35.0,11.67,3.67,3.67,0.0,0.0,2.67,3.0,2.67,7.0,2.67,9.0,1.0,0.0,0.0,0.0
1265,Primeira Liga (PT),1652,Carlos dos Santos Rodrigues,Ponck,1995-01-13,67.99,12.91,21.19,16,15,1,512.0,34.13,10.0,9.33,0.07,0.0,1.0,0.93,9.47,9.4,4.6,29.53,0.53,0.0,0.0,0.0
1265,Primeira Liga (PT),1946,Cláudio Pires Morais Ramos,Cláudio Ramos,1991-11-16,72.18,25.17,13.5,2,2,0,51.0,25.5,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),2492,David  Martins Simão,David Simão,1990-05-15,56.78,13.87,14.95,12,11,1,741.0,67.36,23.73,23.0,0.36,0.0,8.73,1.0,21.27,14.36,37.55,29.82,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),2803,Dodi Lukébakio,D. Lukébakio,1997-09-24,48.89,14.55,10.59,17,17,0,1122.0,66.0,23.29,18.82,2.53,0.18,24.76,10.53,15.18,38.0,24.47,41.53,4.35,0.41,0.18,0.0
1265,Primeira Liga (PT),3493,Florian Grillitsch,F. Grillitsch,1995-08-07,62.54,20.93,14.11,20,20,0,2336.0,116.8,38.5,36.95,0.7,0.1,10.7,5.05,33.9,32.15,59.2,57.6,2.75,0.3,0.1,0.05
1265,Primeira Liga (PT),3665,Frederico André Ferrão Venâncio,Frederico Venâncio,1993-02-04,89.89,21.62,24.18,22,21,1,1712.0,81.52,31.24,30.57,0.43,0.1,0.43,1.19,31.67,12.05,4.05,77.48,0.9,0.1,0.05,0.05
1265,Primeira Liga (PT),4261,Hélder Luís Lopes Vieira Tavares,Hélder Tavares,1989-12-26,35.16,7.34,10.29,20,20,0,593.0,29.65,7.1,6.0,0.3,0.05,3.8,2.6,5.2,7.4,19.2,10.45,0.7,0.0,0.0,0.0
1265,Primeira Liga (PT),4521,Ivan Ricardo Neves Abreu Cavaleiro,I. Cavaleiro,1993-10-18,70.95,16.11,18.33,13,13,0,951.0,73.15,23.92,17.31,1.69,0.08,23.15,14.15,11.62,37.54,34.23,38.92,5.08,0.38,0.15,0.0
1265,Primeira Liga (PT),4703,Jan Bednarek,J. Bednarek,1996-04-12,93.65,27.35,21.81,32,29,3,3402.0,117.31,51.66,50.79,0.59,0.1,0.86,1.17,54.52,6.86,5.69,111.62,1.1,0.07,0.03,0.0
1265,Primeira Liga (PT),5049,João Ricardo Silva Afonso,João Afonso,1990-05-28,53.59,11.18,16.59,13,13,0,453.0,34.85,13.23,12.69,0.0,0.0,0.62,2.08,12.38,4.92,3.23,31.62,1.31,0.31,0.0,0.0
1265,Primeira Liga (PT),5053,João Miguel Coimbra Aurélio,João Aurélio,1988-08-17,69.8,14.42,18.08,21,20,1,1022.0,51.1,14.0,12.25,0.55,0.05,8.55,2.7,10.85,36.3,10.65,40.45,1.65,0.0,0.0,0.0
1265,Primeira Liga (PT),5071,João Filipe Iria Santos Moutinho,João Moutinho,1986-09-08,76.21,26.22,16.83,31,31,0,4149.0,133.84,52.65,50.35,1.61,0.23,13.19,3.94,44.0,33.03,72.03,61.81,1.9,0.19,0.06,0.0
1265,Primeira Liga (PT),5072,João Pedro Barradas Novais,João Novais,1993-07-10,30.16,6.02,7.37,2,2,0,60.0,30.0,9.5,7.5,0.5,0.0,4.0,2.5,7.0,6.5,16.5,13.5,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),5126,Joel Robles Blázquez,Joel Robles,1990-06-17,98.71,26.29,25.22,31,31,0,1046.0,33.74,7.65,7.52,0.03,0.03,0.0,0.0,7.58,0.0,0.03,33.71,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),5241,Jonathan Buatu Mananga,Jonathan Buatu,1993-09-27,98.13,24.63,24.13,31,30,1,2539.0,84.63,31.1,29.97,0.1,0.03,0.67,4.13,30.8,10.67,6.63,78.0,4.57,0.2,0.1,0.03
1265,Primeira Liga (PT),5396,José Miguel da Rocha Fonte,José Fonte,1983-12-22,88.46,18.85,22.65,18,18,0,1064.0,59.11,20.61,19.89,0.17,0.0,1.72,1.44,19.0,4.0,9.89,49.22,1.67,0.39,0.17,0.0
