competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_run_ahead_of_the_ball
1227,Bundesliga (AT),528,0.0,Aleksandar Dragović,A. Dragović,0.0
1227,Bundesliga (AT),813,12.33,Andreas Weimann,A. Weimann,8.33
1227,Bundesliga (AT),5718,4.2,Karim Onisiwo,K. Onisiwo,4.0
1227,Bundesliga (AT),6468,2.12,Lukas Hinterseer,L. Hinterseer,1.44
1227,Bundesliga (AT),11298,0.61,Stefan Lainer,S. Lainer,5.17
1227,Bundesliga (AT),11299,1.6,Valon Berisha,V. Berisha,3.9
1227,Bundesliga (AT),11536,0.36,Jannes Horn,J. Horn,3.57
1227,Bundesliga (AT),11546,0.77,Dominik Prokop,D. Prokop,1.92
1227,Bundesliga (AT),12051,1.71,Alessandro Schöpf,A. Schöpf,10.47
1227,Bundesliga (AT),12053,0.38,Stefan Hierländer,S. Hierländer,2.12
1227,Bundesliga (AT),12150,0.16,Jon Gorenc- tankovič,J. Gorenc Stankovič,1.47
1227,Bundesliga (AT),12351,1.27,Aleksa Terzić,A. Terzić,6.55
1227,Bundesliga (AT),12820,0.5,Lenny Pintor,L. Pintor,0.5
1227,Bundesliga (AT),13344,0.0,Jean Harisson Marcelin,J. Marcelin,0.0
1227,Bundesliga (AT),13597,2.65,Otar Kiteishvili,O. Kiteishvili,10.82
1227,Bundesliga (AT),13599,5.88,Markus Pink,M. Pink,2.75
1227,Bundesliga (AT),13603,1.06,Tobias Koch,T. Koch,4.72
1227,Bundesliga (AT),13604,0.0,Lukas  Spendlhofer,L. Spendlhofer,0.42
1227,Bundesliga (AT),14132,0.0,Jacob Rasmussen,J. Rasmussen,0.5
1227,Bundesliga (AT),14360,3.92,Donis Avdijaj,D. Avdijaj,5.46
1227,Bundesliga (AT),16271,0.5,Hakim Guenouche,H. Guenouche,1.75
1227,Bundesliga (AT),16477,3.15,Nikolai Baden Frederiksen,N. Baden Frederiksen,4.69
1227,Bundesliga (AT),16588,1.5,Alexander Gorgon,A. Gorgon,2.0
1227,Bundesliga (AT),16632,0.0,Fabio Strauss,F. Strauß,0.6
1227,Bundesliga (AT),16637,3.18,Sasa Kalajdžić,S. Kalajdžić,2.82
1227,Bundesliga (AT),16644,0.14,Jonathan Scherzer,J. Scherzer,1.57
1227,Bundesliga (AT),16652,0.0,Emanuel Aiwu,E. Aiwu,0.08
1227,Bundesliga (AT),16659,0.0,Philipp Wiesinger,P. Wiesinger,0.88
1227,Bundesliga (AT),16670,1.25,Reinhold Ranftl,R. Ranftl,3.95
1227,Bundesliga (AT),16671,4.0,Thomas Goiginger,T. Goiginger,6.44
1227,Bundesliga (AT),16672,1.24,Dominik Frieser,D. Frieser,3.65
1227,Bundesliga (AT),17449,2.75,Louis Schaub,L. Schaub,4.62
1227,Bundesliga (AT),19075,9.15,Johannes Eggestein,J. Eggestein,8.95
1227,Bundesliga (AT),19140,0.0,Lukas Jäger,L. Jäger,0.8
1227,Bundesliga (AT),19251,0.2,Lukas Gugganig,L. Gugganig,0.2
1227,Bundesliga (AT),19259,4.36,David Atanga,D. Atanga,6.45
1227,Bundesliga (AT),19398,1.74,Sascha Horvath,S. Horvath,9.47
1227,Bundesliga (AT),19494,0.1,Oliver Steurer,O. Steurer,0.65
1227,Bundesliga (AT),22186,0.0,Albert Vallci,A. Vallci,0.0
1227,Bundesliga (AT),22886,0.4,Emir Karic,E. Karic,4.1
1227,Bundesliga (AT),22892,1.06,Sandro Ingolitsch,S. Ingolitsch,3.28
1227,Bundesliga (AT),23183,1.28,René Renner,R. Renner,6.94
1227,Bundesliga (AT),23184,0.15,Valentino Müller,V. Müller,1.55
1227,Bundesliga (AT),23185,3.47,Thomas Sabitzer,T. Sabitzer,5.35
1227,Bundesliga (AT),23186,0.75,Marko Raguž,M. Raguž,0.88
1227,Bundesliga (AT),23456,7.0,Shon Weissman,S. Weissman,8.67
1227,Bundesliga (AT),24000,0.05,Michael  Sollbauer,M. Sollbauer,0.05
1227,Bundesliga (AT),24005,0.06,Dominik Baumgartner,D. Baumgartner,0.69
1227,Bundesliga (AT),24006,1.0,Christopher Wernitznig,C. Wernitznig,1.62
1227,Bundesliga (AT),24079,1.0,Florian Flecker,F. Flecker,3.69
