competition_edition,league,player_name,player_short_name,player_id,player_birthdate,minutes_full_all,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,psv99,psv99_top5,peak_velocity,peak_velocity_top3,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,timetohsrpostcod_top3,explacceltosprint_count_full_all,timetosprint_top3,timetosprintpostcod_top3,cod_count_full_all,timeto505around90_top3,timeto505around180_top3
1396,Eliteserien (NO),Iver Tobias Rørvik Fossum,I. Fossum,4560,1996-07-15,70.82,13,0,9210.08,130.05,1846.54,697.69,54.69,78.62,5.62,776.31,60.31,26.35,27.34,28.18,29.33,103.85,2.62,86.46,12.23,1.46,0.73,0.94,0.23,1.63,,44.46,2.03,2.72
1396,Eliteserien (NO),Jo Inge Berget,J. Berget,5035,1990-09-11,26.05,8,0,3105.5,119.23,521.5,201.38,18.12,35.12,2.38,236.5,20.5,27.24,28.6,27.84,29.47,32.25,2.12,25.5,4.75,1.0,0.65,,0.12,,,12.38,2.45,
1396,Eliteserien (NO),Magnus  Wolff Eikrem,M. Wolff Eikrem,6545,1990-08-08,47.49,12,0,5338.83,112.41,874.75,317.33,27.33,62.67,3.25,380.0,30.58,26.76,28.38,28.18,30.7,59.08,3.58,48.42,8.83,1.92,0.76,0.89,0.33,1.91,,18.67,2.16,3.09
1396,Eliteserien (NO),Mats  Møller Dæhli,M. Møller Dæhli,7208,1995-03-02,83.48,8,0,10885.75,130.4,2186.0,681.38,57.12,127.25,7.5,808.62,64.62,27.48,28.14,29.71,30.7,115.12,3.12,97.38,13.38,2.5,0.78,0.82,0.62,1.65,,49.38,1.94,2.83
1396,Eliteserien (NO),Menno Koch,M. Koch,7389,1994-07-02,62.12,9,0,6487.11,104.43,748.78,225.44,20.11,63.44,3.56,288.89,23.67,26.43,28.02,27.96,30.87,70.11,2.67,55.56,6.11,1.22,0.75,0.84,0.11,,,13.11,2.15,3.02
1396,Eliteserien (NO),Ole Kristian Selnæs,O. Selnæs,8175,1994-07-07,75.15,13,0,9028.62,120.15,1332.54,349.31,29.54,73.54,3.92,422.85,33.46,28.01,29.52,29.52,31.77,90.46,2.69,71.0,9.46,1.46,0.75,0.78,0.38,1.44,,22.38,1.94,2.85
1396,Eliteserien (NO),Fredrik Gulbrandsen,F. Gulbrandsen,11774,1992-09-10,51.42,15,0,5988.93,116.47,913.47,414.67,42.13,166.93,9.73,581.6,51.87,29.86,31.2,31.19,32.47,65.2,5.4,52.53,11.87,3.67,0.63,0.64,1.33,1.29,1.4,28.8,1.79,2.78
1396,Eliteserien (NO),Jonas Svensson,J. Svensson,12011,1993-03-06,55.35,11,0,6672.18,120.54,1035.82,393.27,36.27,107.27,6.64,500.55,42.91,28.67,29.72,29.75,30.5,69.55,3.82,57.91,10.09,2.64,0.78,0.79,0.91,1.67,1.85,25.45,2.11,2.83
1396,Eliteserien (NO),Sigurd Rosted,S. Rosted,12028,1994-07-22,96.47,6,0,10622.5,110.11,1538.17,493.17,41.5,115.5,6.67,608.67,48.17,27.37,27.74,29.28,30.17,125.5,4.83,104.83,13.33,2.67,0.75,0.78,0.5,,,22.67,2.13,3.04
1396,Eliteserien (NO),Jón Dagur Thorsteinsson,J. Thorsteinsson,13029,1998-11-26,73.39,12,0,9076.17,123.67,1564.0,640.0,56.5,160.33,9.67,800.33,66.17,28.16,29.78,30.04,31.9,97.25,6.0,75.25,14.5,4.0,0.65,0.65,1.17,1.32,1.59,38.08,2.05,2.68
