competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_cross_receiver_run,runtype_overlap_run,runtype_underlap_run,runtype_coming_short_run,runtype_pulling_half_space_run,runtype_run_ahead_of_the_ball,runtype_pulling_wide_run,runtype_support_run,runtype_dropping_off_run
1196,Super League (CH),390,8.22,Albian Ajeti,A. Ajeti,7.39,0.11,0.11,2.61,0.83,4.06,0.22,0.89,0.0
1196,Super League (CH),535,0.0,Alexander Hack,A. Hack,0.0,0.0,0.0,0.67,0.0,0.0,0.0,1.67,4.0
1196,Super League (CH),673,0.0,Amir Abrashi,A. Abrashi,1.67,0.0,0.0,0.67,0.0,0.33,0.33,1.0,0.0
1196,Super League (CH),943,0.12,Anto Grgić,A. Grgić,0.32,0.12,0.08,9.24,0.72,3.04,0.76,4.24,2.56
1196,Super League (CH),1287,2.67,Benjamin Kololli,B. Kololli,4.78,0.39,0.67,1.83,1.0,4.67,0.61,2.44,0.11
1196,Super League (CH),3228,0.75,Ezgjan Alioski,E. Alioski,0.83,2.67,0.83,0.75,0.08,4.92,2.08,6.17,1.92
1196,Super League (CH),4090,0.0,Gregory Wüthrich,G. Wüthrich,0.14,0.07,0.07,1.0,0.0,0.36,0.0,0.71,5.07
1196,Super League (CH),4521,1.0,Ivan Ricardo Neves Abreu Cavaleiro,I. Cavaleiro,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
1196,Super League (CH),4702,0.0,Jan Bamert,J. Bamert,0.09,0.09,0.0,0.22,0.04,0.13,0.3,0.83,2.57
1196,Super League (CH),6166,0.35,Leonardo Bertone,L. Bertone,0.74,0.26,0.57,1.43,0.48,4.39,0.57,6.39,1.57
1196,Super League (CH),6296,0.0,Loris Benito,L. Benito,0.0,1.09,0.17,0.3,0.09,0.96,1.57,2.3,5.3
1196,Super League (CH),6343,0.0,Luca Zuffi,L. Zuffi,0.0,0.06,0.12,5.41,0.18,1.29,0.47,4.0,1.29
1196,Super League (CH),6758,0.0,Marco Bürki,M. Bürki,0.17,0.33,0.42,0.46,0.08,0.71,0.5,2.0,2.0
1196,Super League (CH),7274,1.91,Mattia Bottani,M. Bottani,2.18,0.36,0.18,1.55,0.55,5.55,0.91,1.0,0.36
1196,Super League (CH),7426,4.0,Michael Frey,M. Frey,2.0,0.0,0.0,1.67,0.0,4.67,0.0,0.67,0.0
1196,Super League (CH),8109,0.33,Noë Dussenne,N. Dussenne,1.33,0.0,1.0,0.33,0.33,0.0,0.0,1.0,1.0
1196,Super League (CH),8126,1.38,Numa Lavanchy,N. Lavanchy,0.17,4.42,0.54,0.33,0.0,5.21,2.71,5.21,2.29
1196,Super League (CH),8918,0.0,Remo Arnold,R. Arnold,0.05,0.0,0.0,0.37,0.05,0.26,0.11,0.42,5.74
1196,Super League (CH),8939,4.22,Renato Steffen,R. Steffen,3.44,0.17,0.22,1.44,0.89,3.61,1.56,2.0,0.39
1196,Super League (CH),9253,3.46,Roman Buess,R. Buess,2.69,0.08,0.0,1.15,0.23,3.23,0.08,1.31,0.0
1196,Super League (CH),9447,0.35,Saidy Janko,S. Janko,0.0,2.15,0.8,0.35,0.05,3.25,3.3,5.3,2.7
1196,Super League (CH),9540,0.0,Sandro Lauper,S. Lauper,0.0,0.0,0.05,2.23,0.0,0.59,0.32,1.95,4.45
1196,Super League (CH),10124,4.18,Steven Zuber,S. Zuber,5.47,1.18,0.82,2.65,1.18,9.06,2.0,6.18,0.59
1196,Super League (CH),10936,3.23,Xherdan Shaqiri,X. Shaqiri,4.09,0.32,0.68,2.59,1.27,4.77,0.59,3.59,0.32
1196,Super League (CH),11218,1.44,Ablie Jallow,A. Jallow,2.11,0.56,0.89,2.11,1.11,6.78,1.44,2.78,0.44
