competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count,offballrun_count_shotwithin10s,offballrun_count_goalwithin10s,offballrun_count_targeted,offballrun_count_received,offballrun_avgdistance,offballrun_count_abovehsr,offballrun_count_penaltyarea,offballrun_count_dangerous,offballrun_count_dangerous_targeted,offballrun_count_dangerous_received
1230,Eredivisie (NL),90,Aaron Meijers,A. Meijers,1987-10-28,53.22,13.79,16.33,11,10,1,111.0,11.1,0.2,0.0,4.1,3.8,12.83,2.1,0.5,1.5,0.3,0.2
1230,Eredivisie (NL),348,Alassane Pléa,A. Pléa,1993-03-10,59.09,22.74,12.96,2,2,0,59.0,29.5,1.0,0.5,8.0,5.0,17.28,11.5,14.0,22.0,5.0,2.5
1230,Eredivisie (NL),442,Alen Halilović,A. Halilović,1996-06-18,10.83,3.29,2.16,5,5,0,18.0,3.6,0.6,0.2,2.0,1.8,14.04,0.2,0.6,1.2,0.4,0.4
1230,Eredivisie (NL),715,André Ayew,A. Ayew,1989-12-17,54.36,14.68,14.01,17,16,1,307.0,19.19,1.0,0.06,6.38,4.0,14.34,4.44,5.75,11.12,3.62,1.75
1230,Eredivisie (NL),1197,Bart Nieuwkoop,B. Nieuwkoop,1996-03-07,37.02,10.56,9.22,17,16,1,156.0,9.75,0.12,0.0,3.19,2.19,14.63,3.0,2.19,3.25,1.19,0.44
1230,Eredivisie (NL),1223,Bas Kuipers,B. Kuipers,1994-08-17,22.11,5.86,5.58,7,7,0,39.0,5.57,0.29,0.0,1.29,0.86,16.07,2.0,1.0,2.71,0.86,0.57
1230,Eredivisie (NL),1337,Bertrand Isidore Traoré,B. Traoré,1995-09-06,62.76,22.3,17.98,1,1,0,23.0,23.0,1.0,0.0,11.0,8.0,18.42,12.0,8.0,13.0,4.0,1.0
1230,Eredivisie (NL),1435,Bram Nuytinck,B. Nuytinck,1990-05-04,49.67,13.92,10.99,7,6,1,18.0,3.0,0.0,0.0,0.33,0.33,10.52,0.33,0.0,0.17,0.0,0.0
1230,Eredivisie (NL),1440,Brandley Kuwas,B. Kuwas,1992-09-19,68.87,17.99,21.13,31,30,1,425.0,14.17,0.63,0.13,5.13,3.43,15.08,4.03,3.1,7.27,2.23,1.07
1230,Eredivisie (NL),1509,Bruno Martins Indi,B. Martins Indi,1992-02-08,87.97,23.71,27.06,25,25,0,189.0,7.56,0.04,0.0,2.64,2.64,10.31,0.36,0.2,0.48,0.08,0.08
