competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count,offballrun_count_shotwithin10s,offballrun_count_goalwithin10s,offballrun_count_targeted,offballrun_count_received,offballrun_avgdistance,offballrun_count_abovehsr,offballrun_count_penaltyarea,offballrun_count_dangerous,offballrun_count_dangerous_targeted,offballrun_count_dangerous_received
1207,Liga I (RO),78,Alexandru Chipciu,A. Chipciu,1989-05-18,90.27,25.13,23.81,33,31,2,428.0,13.81,0.39,0.03,5.81,5.26,14.62,4.0,0.97,3.13,0.94,0.77
1207,Liga I (RO),2049,Cristian Manea,C. Manea,1997-08-09,65.22,17.83,16.52,21,20,1,414.0,20.7,0.45,0.15,6.15,5.05,15.63,8.25,2.65,4.45,0.95,0.65
1207,Liga I (RO),2149,Damjan Djoković,D. Djoković,1990-04-18,73.12,17.65,21.03,29,29,0,378.0,13.03,0.24,0.0,4.24,3.9,12.06,1.31,0.38,1.21,0.28,0.17
1207,Liga I (RO),2153,Dan Nistor,D. Nistor,1988-05-06,63.2,19.03,15.02,28,27,1,613.0,22.7,1.04,0.3,8.22,6.89,12.79,3.96,1.93,5.3,1.67,1.26
1207,Liga I (RO),2609,Denis Alibec,D. Alibec,1991-01-05,64.03,19.28,15.39,19,18,1,319.0,17.72,1.33,0.11,7.22,4.17,13.38,4.89,3.89,9.33,3.56,1.56
1207,Liga I (RO),3514,Florin Bejan,F. Bejan,1991-03-28,62.13,12.63,21.68,11,10,1,19.0,1.9,0.0,0.0,0.5,0.2,11.48,0.2,0.2,0.3,0.2,0.0
1207,Liga I (RO),3830,George Pușcaș,G. Pușcaș,1996-04-08,58.07,14.99,14.2,7,7,0,137.0,19.57,0.43,0.0,6.43,3.57,13.54,4.86,5.29,12.86,3.71,1.14
1207,Liga I (RO),3836,Georgi Milanov,G. Milanov,1992-02-19,33.47,9.69,7.33,32,31,1,310.0,10.0,0.26,0.1,3.42,2.81,12.81,2.35,0.71,2.29,0.58,0.26
1207,Liga I (RO),3876,Gheorghe Grozav,G. Grozav,1990-09-29,81.62,20.28,21.63,37,35,2,599.0,17.11,0.86,0.11,6.2,4.2,13.3,3.69,3.03,8.23,2.57,1.4
1207,Liga I (RO),4491,Islam Slimani,I. Slimani,1988-06-18,40.02,10.18,10.33,13,13,0,175.0,13.46,1.0,0.08,5.38,3.62,12.97,3.23,4.46,8.23,3.0,1.62
1207,Liga I (RO),6012,Kurt Zouma,K. Zouma,1994-10-27,41.61,9.77,9.07,3,3,0,8.0,2.67,0.0,0.0,1.0,1.0,7.87,0.33,0.0,0.0,0.0,0.0
1207,Liga I (RO),6063,László Kleinheisler,L. Kleinheisler,1994-04-08,66.73,16.93,20.12,8,8,0,141.0,17.62,0.38,0.0,5.12,3.75,12.54,3.25,1.25,5.5,1.38,0.75
1207,Liga I (RO),6848,Marcus Coco,M. Coco,1996-06-24,79.33,22.71,19.76,8,8,0,126.0,15.75,0.12,0.0,7.0,6.62,15.11,4.12,0.12,0.88,0.12,0.12
1207,Liga I (RO),7584,Mihai Roman,M. Roman,1992-05-31,24.7,6.35,4.63,1,1,0,5.0,5.0,1.0,0.0,2.0,2.0,13.29,1.0,1.0,2.0,0.0,0.0
1207,Liga I (RO),8475,Paul Papp,P. Papp,1989-11-11,89.46,22.07,24.31,34,32,2,228.0,7.12,0.06,0.0,2.72,2.53,11.44,0.81,0.25,0.56,0.16,0.06
1207,Liga I (RO),8582,Pedro Nuno Fernandes Ferreira,Pedro Nuno,1995-01-13,71.82,19.35,16.19,21,19,2,472.0,24.84,0.79,0.16,7.37,5.89,12.66,4.37,2.68,7.05,2.21,1.11
1207,Liga I (RO),10140,Stipe Perica,S. Perica,1995-07-07,33.82,9.65,7.27,15,14,1,118.0,8.43,0.64,0.14,2.86,1.36,13.58,2.36,2.79,6.5,1.93,0.5
1207,Liga I (RO),10756,Vlad Iulian  Chiricheș,V. Chiricheș,1989-11-14,47.1,14.19,9.87,12,12,0,116.0,9.67,0.0,0.0,3.33,3.17,11.75,1.67,0.25,1.08,0.08,0.08
1207,Liga I (RO),11177,Ionuț Larie,I. Larie,1987-01-16,96.43,27.37,23.39,34,32,2,300.0,9.38,0.06,0.0,3.22,3.09,12.61,0.69,0.31,0.25,0.09,0.03
1207,Liga I (RO),11179,Ovidiu Popescu,O. Popescu,1994-02-27,54.65,12.8,15.94,14,14,0,143.0,10.21,0.14,0.0,2.64,2.5,13.49,1.0,0.14,0.93,0.21,0.14
1207,Liga I (RO),11181,Florin Tănase,F. Tănase,1994-12-30,94.86,28.26,20.24,36,35,1,1103.0,31.51,1.31,0.14,10.94,8.2,13.5,8.43,5.11,11.6,3.66,2.26
1207,Liga I (RO),11229,Jordan Ikoko,J. Ikoko,1994-02-03,51.23,16.57,10.64,21,20,1,301.0,15.05,0.35,0.0,5.45,4.55,13.85,4.3,1.4,3.35,1.0,0.8
1207,Liga I (RO),12208,Eddy Gnahoré,E. Gnahoré,1993-11-14,94.38,28.86,20.97,38,36,2,1143.0,31.75,0.5,0.03,10.44,9.33,11.81,4.56,3.36,6.67,1.58,0.86
1207,Liga I (RO),12638,Antoine Baroan,A. Baroan,2000-06-24,40.73,10.73,10.55,13,13,0,186.0,14.31,0.62,0.23,4.85,2.92,13.14,4.38,3.23,9.0,3.0,1.69
1207,Liga I (RO),12933,Boban Nikolov,B. Nikolov,1994-07-28,38.9,11.86,9.08,5,5,0,40.0,8.0,0.2,0.2,3.6,3.4,13.13,1.2,0.6,1.2,0.2,0.2
1207,Liga I (RO),13046,Luka Zahovič,L. Zahovič,1995-11-15,33.65,7.66,9.77,13,13,0,149.0,11.46,0.15,0.0,4.38,2.23,15.49,4.54,3.0,6.85,2.77,0.92
1207,Liga I (RO),13054,Alin Toșca,A. Toșca,1992-03-14,60.05,14.64,19.01,1,1,0,2.0,2.0,0.0,0.0,1.0,1.0,8.57,0.0,0.0,0.0,0.0,0.0
