competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
1207,Liga I (RO),78,Alexandru Chipciu,A. Chipciu,1989-05-18,90.27,25.13,23.81,33,31,2,1503.0,48.48,35.45,73.12,2.71,0.29,5.2,1.65,1046.0,33.74,26.48,78.49,1.32,0.71,53.66,31.39,316.0,10.19,7.03,6.65,4.58,1.9,1.61,0.94,58.0,68.99,68.93,0.13,1.81,0.19,0.61,1.0,0.39,38.71,2.1,0.29,13.85,3.52,1.0,28.44,0.39,11.01
1207,Liga I (RO),2049,Cristian Manea,C. Manea,1997-08-09,65.22,17.83,16.52,21,20,1,623.0,31.15,21.55,69.18,1.9,0.35,4.1,1.34,437.0,21.85,16.45,75.28,1.6,0.85,53.12,20.3,90.0,4.5,3.0,3.1,2.05,1.35,1.1,0.45,40.91,66.67,66.13,0.1,3.6,0.25,0.15,0.15,0.1,66.67,2.15,0.25,11.63,3.55,0.75,21.13,0.3,8.45
1207,Liga I (RO),2149,Damjan Djoković,D. Djoković,1990-04-18,73.12,17.65,21.03,29,29,0,923.0,31.83,25.38,79.74,1.62,0.14,2.97,1.15,592.0,20.41,17.38,85.14,0.48,0.28,57.14,18.52,98.0,3.38,2.86,1.38,1.14,0.31,0.14,0.07,50.0,84.69,82.5,0.24,0.69,0.0,0.0,0.28,0.14,50.0,0.79,0.1,13.04,1.55,0.41,26.67,0.1,6.67
1207,Liga I (RO),2153,Dan Nistor,D. Nistor,1988-05-06,63.2,19.03,15.02,28,27,1,967.0,35.81,28.59,79.83,3.04,0.59,3.19,1.12,730.0,27.04,22.59,83.56,2.0,1.22,61.11,21.3,111.0,4.11,3.15,2.0,1.37,0.74,0.56,0.37,66.67,76.58,68.52,0.85,1.59,0.19,0.26,0.26,0.07,28.57,3.59,0.52,14.43,5.52,0.74,13.42,0.81,14.76
1207,Liga I (RO),2609,Denis Alibec,D. Alibec,1991-01-05,64.03,19.28,15.39,19,18,1,396.0,22.0,11.89,54.04,4.67,0.39,5.04,1.62,263.0,14.61,8.28,56.65,2.0,1.17,58.33,9.83,75.0,4.17,2.72,1.56,0.89,0.61,0.61,0.22,36.36,65.33,57.14,0.89,1.61,0.56,0.56,0.22,0.0,0.0,2.89,0.22,7.69,5.17,1.06,20.43,1.56,30.11
1207,Liga I (RO),3514,Florin Bejan,F. Bejan,1991-03-28,62.13,12.63,21.68,11,10,1,177.0,17.7,12.6,71.19,0.3,0.0,3.65,1.25,90.0,9.0,7.6,84.45,0.1,0.0,0.0,8.3,25.0,2.5,1.7,0.9,0.7,0.2,0.1,0.1,100.0,68.0,77.78,0.0,0.0,0.0,0.0,0.1,0.1,100.0,0.4,0.0,0.0,0.5,0.1,20.0,0.1,20.0
1207,Liga I (RO),3830,George Pușcaș,G. Pușcaș,1996-04-08,58.07,14.99,14.2,7,7,0,90.0,12.86,6.71,52.22,2.29,0.14,5.54,1.44,61.0,8.71,5.14,59.02,2.86,1.71,60.0,3.43,20.0,2.86,1.86,1.86,1.0,1.0,0.86,0.29,33.33,65.0,53.84,0.29,1.0,0.57,0.43,0.0,0.0,,3.57,0.57,16.0,5.29,0.86,16.22,1.0,18.92
1207,Liga I (RO),3836,Georgi Milanov,G. Milanov,1992-02-19,33.47,9.69,7.33,32,31,1,598.0,19.29,14.87,77.09,1.32,0.16,4.13,1.42,441.0,14.23,11.68,82.09,1.16,0.61,52.78,12.06,91.0,2.94,2.06,1.55,0.94,0.45,0.35,0.13,36.36,70.33,60.42,0.19,1.74,0.03,0.06,0.16,0.06,40.0,2.23,0.65,28.99,2.77,0.65,23.26,0.29,10.47
1207,Liga I (RO),3876,Gheorghe Grozav,G. Grozav,1990-09-29,81.62,20.28,21.63,37,35,2,858.0,24.51,15.2,62.01,3.54,0.17,5.13,1.43,572.0,16.34,10.8,66.08,2.23,1.11,50.0,11.23,184.0,5.26,3.09,2.89,1.29,1.23,0.89,0.29,32.26,58.7,44.55,0.71,1.46,0.46,0.51,0.37,0.14,38.46,3.03,0.49,16.04,4.83,0.94,19.53,0.86,17.75
1207,Liga I (RO),4491,Islam Slimani,I. Slimani,1988-06-18,40.02,10.18,10.33,13,13,0,164.0,12.62,7.92,62.8,2.46,0.15,3.41,1.01,116.0,8.92,6.23,69.83,1.69,1.0,59.09,5.46,22.0,1.69,0.85,1.0,0.62,0.38,0.38,0.15,40.0,50.0,61.54,0.46,0.69,0.54,0.15,0.08,0.08,100.0,2.15,0.31,14.29,3.31,0.08,2.33,0.77,23.25
