competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count,offballrun_count_shotwithin10s,offballrun_count_goalwithin10s,offballrun_count_targeted,offballrun_count_received,offballrun_avgdistance,offballrun_count_abovehsr,offballrun_count_penaltyarea,offballrun_count_dangerous,offballrun_count_dangerous_targeted,offballrun_count_dangerous_received
1194,Jupiler Pro League (BE),609,Alireza Jahanbakhsh,A. Jahanbakhsh,1993-08-11,48.71,12.7,12.39,21,21,0,394.0,18.76,0.76,0.0,7.33,5.76,13.05,5.05,1.86,5.14,1.62,1.0
1194,Jupiler Pro League (BE),1266,Benito Raman,B. Raman,1994-11-07,41.8,10.83,10.16,28,28,0,508.0,18.14,0.61,0.11,5.96,3.54,14.1,6.96,4.11,9.89,2.61,1.11
1194,Jupiler Pro League (BE),1353,Birger Verstraete,B. Verstraete,1994-04-16,74.44,17.77,19.49,26,25,1,175.0,7.0,0.16,0.04,2.28,2.16,9.96,0.6,0.0,0.16,0.12,0.08
1194,Jupiler Pro League (BE),1386,Boli Bolingoli-Mbombo,B. Bolingoli-Mbombo,1995-07-01,42.62,8.75,14.19,3,3,0,41.0,13.67,0.0,0.0,4.33,3.67,12.79,5.67,2.0,3.0,0.67,0.0
1194,Jupiler Pro League (BE),1441,Brandon Mechele,B. Mechele,1993-01-28,97.66,30.95,22.84,39,38,1,503.0,13.24,0.08,0.0,4.45,4.16,11.46,1.26,0.34,0.76,0.18,0.11
1194,Jupiler Pro League (BE),1539,Bryan Heynen,B. Heynen,1997-02-06,98.38,31.26,24.29,40,39,1,1024.0,26.26,0.85,0.03,10.26,8.44,10.77,2.87,2.36,4.59,1.54,0.85
1194,Jupiler Pro League (BE),1971,Colin Coosemans,C. Coosemans,1992-08-03,100.1,26.89,24.94,38,36,2,15.0,0.42,0.0,0.0,0.14,0.14,8.01,0.0,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),2550,Davy Roef,D. Roef,1994-02-06,99.78,26.49,28.42,41,39,2,35.0,0.9,0.0,0.0,0.59,0.56,8.19,0.03,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),2645,Dennis Praet,D. Praet,1994-05-14,89.58,23.78,23.16,31,30,1,570.0,19.0,0.3,0.0,5.63,5.07,12.28,3.7,0.8,2.5,0.5,0.5
1194,Jupiler Pro League (BE),4167,Gyrano Kerk,G. Kerk,1995-12-02,82.67,21.13,22.38,27,26,1,673.0,25.88,0.88,0.08,9.77,5.96,13.59,9.77,5.5,12.73,4.5,1.96
1194,Jupiler Pro League (BE),4193,Hannes Van der Bruggen,H. Van der Bruggen,1993-04-01,86.2,20.02,22.96,32,32,0,405.0,12.66,0.25,0.0,3.5,3.12,10.45,0.56,0.44,1.44,0.31,0.22
1194,Jupiler Pro League (BE),4202,Hans Vanaken,H. Vanaken,1992-08-24,96.27,30.92,22.47,39,38,1,1277.0,33.61,1.29,0.34,12.03,10.68,13.1,5.24,4.53,8.37,2.18,1.5
1194,Jupiler Pro League (BE),4271,Hendrik Van Crombrugge,H. Van Crombrugge,1993-04-30,101.5,33.17,23.14,12,12,0,3.0,0.25,0.0,0.0,0.17,0.17,5.44,0.0,0.0,0.0,0.0,0.0
