competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,onballengagement_count_total,onballengagement_count,onballengagement_count_directregain,onballengagement_pct_directregain,onballengagement_count_indirectregain,onballengagement_pct_indirectregain,onballengagement_count_directdisruption,onballengagement_pct_directdisruption,onballengagement_count_indirectdisruption,onballengagement_pct_indirectdisruption,onballengagement_count_abovehsr,onballengagement_count_forcedbackward,onballengagement_pct_forcedbackward,onballengagement_count_beatenbymovement,onballengagement_pct_beatenbymovement,onballengagement_count_beatenbypossession,onballengagement_pct_beatenbypossession,onballengagement_count_pressingchain,onballengagement_count_consecutive,onballengagement_count_forwardtrajectory,onballengagement_count_dangeroussituation,onballengagement_count_dangeroussituation_dangermitigated,onballengagement_pct_dangermitigated,onballengagement_count_linebreakaffected,onballengagement_pct_linebreakaffected
1396,Eliteserien (NO),516077,Alexander Figuereido Gurendal,A. Gurendal,2005-03-02,17.97,4.46,5.04,5,5,0,57.0,11.4,0.0,0.0,1.2,10.53,0.0,0.0,0.2,1.75,2.4,1.0,8.77,0.0,0.0,0.0,0.0,3.0,2.4,5.0,1.8,0.6,6.34,0.6,5.26
1396,Eliteserien (NO),590872,Jakob Vester Nielsen,J. Vester,2004-12-28,62.03,19.68,16.57,11,11,0,300.0,27.27,0.82,3.0,4.55,16.67,0.09,0.33,0.36,1.33,2.45,3.36,12.33,0.27,1.0,0.18,0.67,8.18,3.64,9.55,8.64,1.45,6.77,2.45,9.0
1396,Eliteserien (NO),624592,Samuel Ruben Leach Holm,S. Leach Holm,1997-10-09,68.38,20.04,19.24,12,12,0,381.0,31.75,1.08,3.41,4.42,13.91,0.08,0.26,0.92,2.89,3.67,2.5,7.87,0.5,1.57,0.5,1.58,7.67,4.83,8.42,10.5,1.67,6.23,2.42,7.61
1396,Eliteserien (NO),626472,Danilo Al Saed,Danilo Al Saed,1999-02-24,17.19,8.04,3.06,2,2,0,5.0,2.5,0.0,0.0,1.5,60.0,0.0,0.0,0.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,,0.0,0.0
1396,Eliteserien (NO),626474,Jakob Maslö Dunsby,J. Dunsby,2000-03-13,58.64,16.91,16.9,11,11,0,434.0,39.45,0.55,1.38,6.09,15.44,0.18,0.46,1.36,3.46,5.55,3.45,8.75,0.0,0.0,0.18,0.46,13.18,9.82,12.27,9.91,1.09,3.17,4.45,11.29
1396,Eliteserien (NO),626482, Winston Robin Yaw Paintsil,Yaw Paintsil,1999-08-19,60.8,17.95,17.26,10,10,0,294.0,29.4,0.9,3.06,4.8,16.32,0.2,0.68,1.8,6.12,5.1,2.4,8.16,0.7,2.38,0.3,1.02,6.6,4.8,8.2,10.2,1.0,4.69,1.9,6.46
1396,Eliteserien (NO),626798,Claus Babo Niyukuri,C. Niyukuri,2000-02-13,71.05,17.81,23.78,15,15,0,463.0,30.87,1.4,4.54,4.87,15.77,0.53,1.73,1.47,4.75,4.07,1.8,5.83,0.93,3.02,1.07,3.46,4.93,4.0,7.0,12.2,1.47,5.12,1.6,5.18
1396,Eliteserien (NO),632271,Uba Charles Nwokoma,U. Charles,2002-10-10,83.29,21.35,26.86,15,15,0,632.0,42.13,1.6,3.8,7.13,16.93,0.33,0.79,2.07,4.9,5.13,3.53,8.39,1.07,2.53,1.2,2.85,9.87,6.67,11.33,12.53,2.27,5.45,1.87,4.43
1396,Eliteserien (NO),633282,Jesper Reitan-Sunde,J. Reitan-Sunde,2006-01-31,18.23,3.66,4.79,7,6,1,79.0,13.17,0.5,3.8,1.17,8.86,0.0,0.0,1.17,8.86,1.67,0.33,2.53,0.17,1.27,0.0,0.0,2.17,2.5,4.33,3.33,0.67,10.92,0.5,3.8
1396,Eliteserien (NO),647699,Filip Erik Thorvaldsen,F. Thorvaldsen,2006-04-15,73.37,21.08,20.64,13,13,0,538.0,41.38,1.0,2.42,4.69,11.34,0.15,0.37,1.62,3.9,8.85,3.15,7.62,0.0,0.0,0.31,0.74,14.77,6.85,16.15,7.23,0.46,2.03,4.15,10.04
1396,Eliteserien (NO),654152,Jesper Nerhus Eikrem,J. Eikrem,2007-07-02,12.28,2.92,4.56,1,1,0,13.0,13.0,1.0,7.69,1.0,7.69,0.0,0.0,0.0,0.0,1.0,1.0,7.69,0.0,0.0,0.0,0.0,2.0,3.0,4.0,6.0,1.0,7.69,1.0,7.69
1396,Eliteserien (NO),662291,Simen Vatne Haram,S. Haram,2005-01-26,78.97,18.91,26.49,12,12,0,274.0,22.83,0.58,2.56,4.5,19.71,0.0,0.0,1.33,5.84,3.08,0.75,3.29,0.92,4.01,1.17,5.11,4.08,2.17,5.25,11.25,2.08,10.45,1.0,4.38
1396,Eliteserien (NO),667470,Johan Meyer,J. Meyer,2004-01-05,5.68,1.62,0.95,1,1,0,2.0,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1396,Eliteserien (NO),673248,Oskar Spiten-Nysæter,O. Spiten-Nysæter,2007-08-29,48.67,15.74,12.42,11,11,0,289.0,26.27,1.0,3.81,4.82,18.34,0.0,0.0,1.0,3.81,3.82,1.91,7.27,0.0,0.0,0.64,2.42,6.91,5.18,8.82,6.18,1.09,4.38,1.82,6.92
1396,Eliteserien (NO),677009,Jonas Tviberg Torsvik,J. Torsvik,2005-05-24,19.7,6.41,3.87,4,4,0,18.0,4.5,0.5,11.11,1.5,33.33,0.25,5.56,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1.25,0.25,6.67,0.0,0.0
1396,Eliteserien (NO),691572,Gustav Kjølstad Nyheim,G. Nyheim,2006-02-13,65.82,18.65,18.79,16,16,0,645.0,40.31,1.06,2.64,5.06,12.56,0.12,0.31,1.31,3.26,5.31,1.88,4.65,0.31,0.78,0.38,0.93,12.75,6.56,15.81,9.88,1.75,5.28,4.25,10.54
1396,Eliteserien (NO),698170,Mamour Ndiaye,M. Ndiaye,2005-10-22,101.81,24.51,32.21,10,10,0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
1396,Eliteserien (NO),701629,Jalal Abdulai,J. Abdulai,2005-01-05,66.78,21.24,15.78,10,10,0,376.0,37.6,0.5,1.33,4.5,11.97,0.2,0.53,1.7,4.52,13.7,2.0,5.32,0.0,0.0,0.1,0.27,21.7,7.7,13.9,1.5,0.2,1.31,2.9,7.71
1396,Eliteserien (NO),711988,Hrannar Snaer Magnússon,H. Magnússon,2001-12-27,24.17,7.2,7.47,9,9,0,174.0,19.33,0.22,1.15,3.22,16.67,0.0,0.0,0.56,2.87,3.11,1.44,7.47,0.0,0.0,0.33,1.72,8.44,4.44,5.89,3.56,0.67,8.02,2.11,10.92
1396,Eliteserien (NO),714149,Camil Jebara,C. Jebara,2003-01-19,36.18,10.32,9.41,11,11,0,225.0,20.45,0.64,3.11,3.45,16.89,0.18,0.89,0.55,2.67,3.18,2.36,11.56,0.0,0.0,0.18,0.89,8.18,3.73,7.82,2.91,0.18,1.23,2.36,11.56
1396,Eliteserien (NO),737841,Rasmus Eggen Vinge,R. Vinge,2001-01-28,55.04,14.38,16.29,14,14,0,525.0,37.5,0.57,1.52,5.43,14.48,0.07,0.19,1.86,4.95,5.86,3.0,8.0,0.21,0.57,0.43,1.14,14.0,7.57,12.07,4.14,0.43,1.09,3.71,9.9
1396,Eliteserien (NO),738154,Zinedin Smajlović,Z. Smajlović,2003-12-20,98.63,30.44,27.06,10,10,0,260.0,26.0,2.0,7.69,5.9,22.69,0.2,0.77,1.1,4.23,3.0,0.4,1.54,0.5,1.92,1.4,5.38,3.1,3.7,4.8,15.0,3.1,12.5,0.6,2.31
1396,Eliteserien (NO),738186,Stian Kristiansen,S. Kristiansen,1999-01-06,59.2,15.22,17.61,9,9,0,108.0,12.0,0.44,3.7,2.0,16.67,0.11,0.93,0.67,5.56,2.33,0.22,1.85,0.67,5.56,0.22,1.85,0.89,1.56,1.89,8.89,1.44,12.18,0.0,0.0
1396,Eliteserien (NO),743307,Anders Hiim,A. Hiim,2002-09-13,100.56,25.35,32.31,16,16,0,642.0,40.12,1.94,4.83,4.69,11.68,0.62,1.56,2.0,4.98,4.19,2.88,7.17,1.0,2.49,1.06,2.65,5.31,5.69,9.19,16.31,2.94,8.29,1.5,3.74
1396,Eliteserien (NO),743998,Fredrik Carson Pedersen,F. Pedersen,2002-10-09,96.51,28.93,27.23,16,16,0,590.0,36.88,1.56,4.24,5.94,16.1,0.75,2.03,2.19,5.93,4.19,1.88,5.08,0.56,1.53,1.75,4.75,6.81,6.81,9.5,16.44,2.56,7.49,1.56,4.24
1396,Eliteserien (NO),759513,Isak Vådebu,I. Vådebu,2003-08-10,77.66,23.06,24.96,15,15,0,382.0,25.47,1.13,4.45,3.93,15.44,0.27,1.05,1.07,4.19,3.87,0.87,3.4,0.73,2.88,0.53,2.09,6.33,3.53,5.73,10.4,1.53,6.78,1.07,4.19
