competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
1227,Bundesliga (AT),528,Aleksandar Dragović,A. Dragović,1991-03-06,93.99,22.54,24.96,28,27,1,1240.0,45.93,38.3,83.39,0.93,0.22,3.68,1.66,755.0,27.96,25.63,91.66,0.11,0.04,33.33,25.89,165.0,6.11,5.41,3.78,3.52,0.41,0.04,0.04,100.0,88.48,93.14,0.0,0.07,0.0,0.04,0.11,0.07,66.67,0.15,0.0,0.0,0.41,0.04,9.09,0.04,9.09
1227,Bundesliga (AT),813,Andreas Weimann,A. Weimann,1991-08-05,81.85,23.48,19.17,16,16,0,257.0,16.06,9.56,59.53,1.81,0.06,4.73,1.19,178.0,11.12,6.94,62.36,1.62,0.5,30.77,7.06,55.0,3.44,1.94,2.0,1.0,1.19,0.81,0.31,38.46,56.36,50.0,1.0,1.94,0.88,0.25,0.19,0.06,33.33,2.0,0.31,15.63,3.44,0.56,16.36,0.69,20.0
1227,Bundesliga (AT),2594,Dejan Stojanović,D. Stojanović,1993-07-19,96.87,24.66,23.1,32,31,1,861.0,27.77,14.42,51.92,0.26,0.0,5.15,3.54,470.0,15.16,8.48,55.96,0.26,0.06,25.0,14.13,186.0,6.0,3.13,2.68,1.61,0.06,0.0,0.0,,52.15,60.24,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.32,0.06,20.0,0.48,0.16,33.33,0.0,0.0
1227,Bundesliga (AT),5718,Karim Onisiwo,K. Onisiwo,1992-03-17,32.81,8.75,7.36,21,20,1,148.0,7.4,3.75,50.67,1.3,0.2,4.87,1.26,89.0,4.45,2.1,47.19,1.95,0.75,38.46,1.3,24.0,1.2,0.4,0.85,0.25,0.45,0.35,0.05,14.28,33.33,29.41,0.4,0.4,0.4,0.3,0.0,0.0,,2.55,0.25,9.8,3.0,0.2,6.67,0.65,21.67
1227,Bundesliga (AT),6468,Lukas Hinterseer,L. Hinterseer,1991-03-28,32.53,7.0,8.08,28,27,1,220.0,8.15,4.07,50.0,1.11,0.07,3.38,1.15,128.0,4.74,2.63,55.47,1.3,0.48,37.14,2.44,24.0,0.89,0.3,0.44,0.07,0.22,0.19,0.0,0.0,33.33,16.67,0.26,0.33,0.3,0.11,0.04,0.04,100.0,1.67,0.04,2.22,2.59,0.26,10.0,0.3,11.43
1227,Bundesliga (AT),11298,Stefan Lainer,S. Lainer,1992-08-27,89.75,27.47,19.95,25,24,1,1296.0,54.0,38.71,71.68,3.75,0.54,5.39,1.8,959.0,39.96,30.08,75.29,1.58,0.54,34.21,36.33,294.0,12.25,9.0,7.46,4.88,2.0,1.42,0.58,41.18,73.47,65.36,0.21,4.08,0.08,0.46,1.5,0.58,38.89,2.38,0.38,15.79,3.88,0.88,22.58,0.42,10.75
1227,Bundesliga (AT),11299,Valon Berisha,V. Berisha,1993-02-07,61.43,16.17,15.84,8,8,0,243.0,30.38,25.25,83.13,1.0,0.0,3.42,1.24,187.0,23.38,19.62,83.96,1.25,0.88,70.0,19.75,29.0,3.62,2.88,1.62,1.12,0.62,0.5,0.38,75.0,79.31,69.23,0.38,1.12,0.12,0.12,0.38,0.25,66.67,2.25,0.38,16.67,4.0,0.62,15.63,0.5,12.5
1227,Bundesliga (AT),11536,Jannes Horn,J. Horn,1997-02-06,80.27,23.45,18.5,20,20,0,919.0,45.95,37.75,82.16,1.85,0.15,4.75,1.65,681.0,34.05,29.15,85.61,1.35,0.8,59.26,31.45,181.0,9.05,7.55,6.1,5.15,2.15,1.6,1.35,84.38,83.43,84.43,0.05,3.6,0.1,0.1,0.3,0.15,50.0,1.75,0.1,5.71,3.1,1.2,38.71,0.25,8.06
1227,Bundesliga (AT),11546,Dominik Prokop,D. Prokop,1997-06-02,27.23,5.94,8.74,14,14,0,143.0,10.21,6.64,65.04,1.14,0.14,6.41,1.69,87.0,6.21,4.21,67.82,0.36,0.14,40.0,4.29,42.0,3.0,1.93,2.07,1.29,0.57,0.5,0.07,14.29,64.29,62.07,0.43,1.21,0.07,0.29,0.57,0.29,50.0,0.64,0.07,11.11,1.43,0.07,5.0,0.07,5.0
1227,Bundesliga (AT),12051,Alessandro Schöpf,A. Schöpf,1994-02-07,78.15,21.16,19.94,25,25,0,1141.0,45.64,35.56,77.91,4.12,0.44,5.0,1.49,736.0,29.44,23.68,80.44,3.16,1.64,51.9,23.48,210.0,8.4,6.68,4.44,3.32,2.0,1.44,1.12,77.78,79.52,74.77,1.16,3.0,0.32,0.72,0.56,0.44,78.57,5.04,0.64,12.7,7.4,1.24,16.76,0.8,10.81
1227,Bundesliga (AT),12053,Stefan Hierländer,S. Hierländer,1991-02-03,22.33,5.56,4.29,13,13,0,92.0,7.08,4.85,68.48,0.77,0.0,5.26,1.55,57.0,4.38,3.46,78.95,0.15,0.15,100.0,3.23,17.0,1.31,1.15,0.62,0.46,0.15,0.0,0.0,,88.24,75.0,0.08,0.38,0.08,0.0,0.15,0.15,100.0,0.23,0.15,66.67,0.54,0.08,14.29,0.0,0.0
1227,Bundesliga (AT),12150,Jon Gorenc- tankovič,J. Gorenc Stankovič,1996-01-14,94.08,22.98,19.93,29,29,0,1142.0,39.38,29.69,75.39,3.28,0.34,2.68,1.12,635.0,21.9,18.21,83.15,1.28,0.69,54.05,17.66,99.0,3.41,2.66,1.9,1.52,0.14,0.07,0.03,50.0,77.78,80.0,0.52,0.34,0.14,0.14,0.17,0.14,80.0,1.97,0.28,14.03,3.21,0.72,22.58,0.55,17.2
