competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1230,Eredivisie (NL),62297,Amourricho van Axel Dongen ,A. van Axel Dongen,2004-09-29,21.8,5.5,5.54,7,7,0,171.0,24.43,7.57,4.14,0.29,0.0,8.14,8.43,1.43,6.71,12.43,12.0,3.86,0.29,0.29,0.0
1230,Eredivisie (NL),62300,Devon Koswal,D. Koswal,2003-08-21,72.25,17.29,22.02,25,22,3,1067.0,48.5,14.23,13.09,0.36,0.05,2.5,2.32,12.5,13.82,8.73,39.77,1.77,0.14,0.05,0.0
1230,Eredivisie (NL),62315,Mees De Wit,M. de Wit,1998-04-17,85.35,26.62,23.48,31,31,0,3336.0,107.61,32.74,30.19,1.58,0.26,13.0,12.26,28.55,58.26,20.32,87.29,5.77,0.81,0.39,0.06
1230,Eredivisie (NL),62318,Niek Schiks,N. Schiks,2004-02-03,95.17,34.44,22.32,2,2,0,124.0,62.0,27.0,27.0,0.0,0.0,0.0,0.0,29.5,0.0,0.5,61.5,0.0,0.0,0.0,0.0
1230,Eredivisie (NL),63199,Mathijs Tielemans,M. Tielemans,2002-04-26,69.91,21.85,18.68,2,2,0,208.0,104.0,31.5,29.5,1.0,0.0,16.0,4.5,25.5,26.5,70.5,33.5,0.0,0.0,0.0,0.0
1230,Eredivisie (NL),63322,Casper Terho,C. Terho,2003-06-24,30.49,7.76,8.72,9,9,0,339.0,37.67,10.44,8.22,1.33,0.22,12.33,6.11,6.44,24.44,8.22,29.44,3.67,0.33,0.33,0.0
1230,Eredivisie (NL),63370,Milan Zonneveld,M. Zonneveld,2003-10-08,39.49,9.79,11.93,31,29,2,1341.0,46.24,13.24,6.55,1.52,0.21,13.21,20.07,1.9,3.86,33.93,12.31,10.07,1.21,0.79,0.17
1230,Eredivisie (NL),63440,Mimeirhel  Benita ,M. Benita,2003-11-17,62.32,15.15,17.38,25,25,0,1370.0,54.8,17.12,15.6,0.88,0.04,10.8,2.6,14.48,35.64,8.52,46.28,1.12,0.2,0.08,0.0
1230,Eredivisie (NL),64211,Hristiyan Petrov,H. Petrov,2002-06-24,29.76,7.61,9.0,20,19,1,528.0,27.79,8.26,7.63,0.32,0.11,1.63,1.47,7.63,14.05,3.26,24.53,0.89,0.11,0.05,0.0
1230,Eredivisie (NL),65096,Jacob Trenskow,J. Trenskow,2000-11-26,87.63,25.73,24.36,33,32,1,3691.0,115.34,32.22,23.94,3.81,0.44,36.38,31.56,16.69,39.59,63.12,52.22,13.78,1.75,0.72,0.16
