competition_edition,league,player_name,player_short_name,player_id,player_birthdate,minutes_full_all,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,psv99,psv99_top5,peak_velocity,peak_velocity_top3,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,timetohsrpostcod_top3,explacceltosprint_count_full_all,timetosprint_top3,timetosprintpostcod_top3,cod_count_full_all,timeto505around90_top3,timeto505around180_top3
1209,Niké Liga (SK),Branislav Ňinaj,B. Ňinaj,1445,1994-05-17,76.23,16,0,8243.81,108.15,981.12,310.25,27.44,97.06,4.94,407.31,32.38,28.07,29.66,29.06,31.07,75.88,3.88,60.12,7.56,2.0,0.65,0.8,0.62,1.38,,15.5,1.92,2.92
1209,Niké Liga (SK),Guram Kashia,G. Kashia,4147,1987-07-04,77.26,15,0,7708.93,99.78,929.4,293.2,27.73,85.8,4.33,379.0,32.07,28.21,30.12,29.49,32.1,91.2,4.0,74.27,10.47,2.93,0.73,0.79,0.33,1.77,,16.33,2.13,2.88
1209,Niké Liga (SK),Kevin Wimmer,K. Wimmer,5882,1992-11-15,68.24,15,0,7322.33,107.3,911.6,330.4,29.53,106.0,5.33,436.4,34.87,28.58,29.92,29.87,31.87,78.73,3.73,57.13,8.87,2.6,0.69,,1.07,1.39,,18.93,2.1,2.88
1209,Niké Liga (SK),Róbert Mak,R. Mak,9107,1991-03-08,43.58,30,0,4906.73,112.59,772.87,320.97,31.0,110.8,6.03,431.77,37.03,28.57,31.42,29.77,32.8,56.13,3.97,47.33,10.2,2.77,0.67,0.76,0.67,1.38,1.74,18.27,1.93,2.58
1209,Niké Liga (SK),Samuel  Štefánik,S. Štefánik,9522,1991-11-16,79.75,29,3,9944.07,124.69,1642.14,482.76,39.31,104.66,5.48,587.41,44.79,27.22,28.9,28.97,30.9,91.83,3.45,79.28,12.1,1.79,0.66,0.66,0.31,1.21,1.21,35.72,1.86,2.86
1209,Niké Liga (SK),Vladimír Weiss,V. Weiss,10767,1989-11-30,55.51,27,0,5781.74,104.15,823.59,370.63,37.04,155.52,8.07,526.15,45.11,28.97,31.5,30.24,33.43,63.48,4.22,51.3,10.89,2.96,0.64,0.64,1.11,1.25,1.62,22.93,1.98,2.66
1209,Niké Liga (SK),Erik Sabo,E. Sabo,12567,1991-11-22,89.48,27,1,9506.56,106.24,1256.7,422.74,38.7,121.07,6.59,543.81,45.3,28.65,30.36,30.38,32.03,101.0,4.59,80.37,11.85,3.0,0.67,0.72,1.11,1.3,1.47,26.26,1.92,2.72
1209,Niké Liga (SK),Michal Ďuriš,M. Ďuriš,12570,1988-06-01,36.47,23,1,4041.39,110.83,544.48,253.7,23.17,75.74,4.26,329.43,27.43,27.96,29.42,28.83,30.67,38.96,2.3,33.04,5.35,1.57,0.73,0.78,0.48,1.45,1.46,15.17,1.9,2.86
1209,Niké Liga (SK),Miloš Kratochvíl,M. Kratochvíl,12721,1996-04-26,83.15,21,1,10100.38,121.47,1809.0,552.76,44.76,90.19,5.76,642.95,50.52,26.72,28.66,28.69,30.6,97.81,2.67,84.33,10.57,1.38,0.74,0.86,0.29,1.73,1.84,30.76,1.83,2.8
1209,Niké Liga (SK),Andraž Šporar,A. Šporar,13037,1994-02-27,91.47,10,3,9533.6,104.23,1031.7,527.5,58.3,254.3,14.3,781.8,72.6,30.39,31.08,32.13,33.13,99.8,7.5,81.1,19.1,5.2,0.66,0.82,1.0,1.76,,33.4,2.12,2.81
