competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_cross_receiver_run,runtype_overlap_run,runtype_underlap_run,runtype_coming_short_run,runtype_pulling_half_space_run,runtype_run_ahead_of_the_ball,runtype_pulling_wide_run,runtype_support_run,runtype_dropping_off_run
1194,Jupiler Pro League (BE),609,36,Alireza Jahanbakhsh,A. Jahanbakhsh,1.42,0.33,0.08,1.75,0.83,52,1.83,1.33,0.08
1194,Jupiler Pro League (BE),1266,110,Benito Raman,B. Raman,3.47,0.2,0.27,2.33,0.6,56,1.6,0.67,0.2
1194,Jupiler Pro League (BE),1353,1,Birger Verstraete,B. Verstraete,0.05,0.0,0.11,3.74,0.05,3,0.05,2.21,0.89
1194,Jupiler Pro League (BE),1386,0,Boli Bolingoli-Mbombo,B. Bolingoli-Mbombo,1.0,1.0,0.67,0.67,0.0,15,0.33,4.0,3.0
1194,Jupiler Pro League (BE),1441,6,Brandon Mechele,B. Mechele,0.38,0.04,0.19,0.85,0.15,28,0.46,1.73,6.27
1194,Jupiler Pro League (BE),1539,26,Bryan Heynen,B. Heynen,1.5,0.27,0.81,7.31,0.88,99,1.5,6.42,1.23
1194,Jupiler Pro League (BE),2645,17,Dennis Praet,D. Praet,0.24,0.18,0.94,3.41,0.41,38,1.59,3.65,1.24
1194,Jupiler Pro League (BE),4167,111,Gyrano Kerk,G. Kerk,2.79,0.57,0.36,1.07,1.0,52,0.64,1.36,0.14
1194,Jupiler Pro League (BE),4193,1,Hannes Van der Bruggen,H. Van der Bruggen,0.25,0.12,0.12,4.17,0.29,36,0.33,5.04,0.75
1194,Jupiler Pro League (BE),4202,24,Hans Vanaken,H. Vanaken,5.38,0.27,0.5,7.27,2.19,169,2.04,7.54,1.92
1194,Jupiler Pro League (BE),4899,40,Jelle Vossen,J. Vossen,2.31,0.0,0.15,0.54,0.69,23,0.08,0.31,0.0
1194,Jupiler Pro League (BE),5369,19,Joris Kayembe Ditu ,J. Kayembe,1.06,2.0,2.12,0.38,0.44,89,0.81,5.5,1.94
1194,Jupiler Pro League (BE),6777,0,Marco Ilaimaharitra,M. Ilaimaharitra,0.14,0.33,0.14,5.67,0.05,33,0.33,4.67,1.24
1194,Jupiler Pro League (BE),8109,3,Noë Dussenne,N. Dussenne,0.17,0.06,0.0,0.39,0.0,7,0.22,0.78,2.61
1194,Jupiler Pro League (BE),8701,99,Pieter Gerkens,P. Gerkens,4.72,0.52,0.76,3.36,1.12,96,0.8,4.68,0.6
1194,Jupiler Pro League (BE),9073,29,Rob Schoofs,R. Schoofs,1.32,0.16,0.6,5.72,1.32,98,1.24,5.84,0.56
1194,Jupiler Pro League (BE),9259,0,Roman Neustädter,R. Neustädter,0.0,0.0,0.0,1.29,0.0,2,0.0,0.29,2.14
1194,Jupiler Pro League (BE),9835,28,Siebe Schrijvers,S. Schrijvers,0.94,0.47,0.65,3.41,0.47,47,1.06,4.59,0.94
1194,Jupiler Pro League (BE),9924,5,Sofiane Boufal,S. Boufal,1.78,0.33,0.44,1.11,1.22,33,0.22,1.78,0.11
1194,Jupiler Pro League (BE),10326,127,Thorgan Hazard,T. Hazard,3.57,1.35,1.65,6.09,1.78,231,3.26,4.13,0.7
1194,Jupiler Pro League (BE),10709,97,Vincent Janssen,V. Janssen,4.65,0.09,0.09,2.35,1.09,61,1.22,1.48,0.09
1194,Jupiler Pro League (BE),11417,3,Jean-Kévin Duverne,J. Duverne,0.0,0.9,0.3,0.2,0.1,20,1.9,2.3,2.3
1194,Jupiler Pro League (BE),11435,9,Isaac Mbenza,I. Mbenza,2.5,0.5,0.25,0.5,0.25,20,2.75,1.75,1.0
1194,Jupiler Pro League (BE),11493,3,Ludwig Augustinsson,L. Augustinsson,0.4,1.87,2.4,0.2,0.07,35,1.07,4.27,2.27
1194,Jupiler Pro League (BE),11562,14,Kasper Dolberg,K. Dolberg,2.67,0.33,0.0,1.67,0.67,4,0.0,1.0,0.0
1194,Jupiler Pro League (BE),12396,1,Sergiy Sydorchuk,S. Sydorchuk,0.14,0.0,0.43,3.0,0.29,4,0.0,1.0,0.43
1194,Jupiler Pro League (BE),12449,257,Wilfried Kanga Aka,W. Kanga,7.4,0.05,0.0,2.55,0.85,98,0.1,0.95,0.0
1194,Jupiler Pro League (BE),12674,10,Thibault Vlietinck,T. Vlietinck,0.33,1.67,0.83,0.0,0.0,22,1.5,2.0,1.33
1194,Jupiler Pro League (BE),13229,30,Patrik Hrošovský,P. Hrošovský,1.88,0.12,0.56,6.44,0.56,61,0.62,5.62,1.12
1194,Jupiler Pro League (BE),13367,4,Abdoulaye Sissako,A. Sissako,0.08,0.28,0.44,5.04,0.56,86,0.72,3.84,0.84
1194,Jupiler Pro League (BE),13483,15,Boureima Hassane Bandé,H. Bandé,1.17,0.33,0.0,0.33,0.67,8,0.17,0.17,0.17
1194,Jupiler Pro League (BE),13757,8,William Balikwisha,W. Balikwisha,1.67,0.0,0.5,0.33,0.33,17,0.67,1.5,0.33
1194,Jupiler Pro League (BE),13928,134,Dennis Eckert Ayensa,D. Eckert Ayensa,4.0,0.13,0.48,1.39,0.96,140,0.83,1.52,0.09
1194,Jupiler Pro League (BE),14257,17,Ludovit Reis,L. Reis,1.86,0.14,1.43,1.57,1.43,37,0.71,2.57,0.14
1194,Jupiler Pro League (BE),14402,20,Mohammed El Hankouri,M. El Hankouri,1.83,0.08,0.67,1.83,0.92,48,1.58,2.5,0.08
1194,Jupiler Pro League (BE),14470,9,Glenn Bijl,G. Bijl,1.6,2.0,1.4,0.8,0.4,26,1.2,2.6,0.8
1194,Jupiler Pro League (BE),14552,19,Ken Nkuba Tshiend,K. Nkuba,0.8,2.0,0.9,0.3,0.4,61,1.5,2.9,1.1
1194,Jupiler Pro League (BE),14553,13,Nathan Rôdes,N. Rôdes,1.23,0.05,0.41,3.68,0.95,48,0.59,2.05,0.55
1194,Jupiler Pro League (BE),14618,15,Simen  Kristiansen Juklerød,S. Juklerød,0.42,2.25,1.25,0.17,0.0,56,0.67,2.92,0.67
