competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_cross_receiver_run,runtype_overlap_run,runtype_underlap_run,runtype_coming_short_run,runtype_pulling_half_space_run,runtype_run_ahead_of_the_ball,runtype_pulling_wide_run,runtype_support_run,runtype_dropping_off_run
1171,Ekstraklasa (PL),37626,0.0,Marek Hanousek,M. Hanousek,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.12
1171,Ekstraklasa (PL),37814,0.86,Antoni Kozubal,A. Kozubal,1.86,0.1,0.43,7.52,0.95,5.62,1.14,8.81,1.86
1171,Ekstraklasa (PL),37815,0.17,Krystian Palacz,K. Palacz,0.17,3.17,1.17,0.0,0.0,4.5,0.33,4.33,2.67
1171,Ekstraklasa (PL),37835,0.09,Jan Biegański,J. Biegański,0.0,0.0,0.36,5.45,0.82,2.36,0.18,4.0,0.64
1171,Ekstraklasa (PL),39772,2.64,Michalis Kosidis,M. Kosidis,2.68,0.0,0.18,0.77,0.45,3.68,0.23,0.77,0.0
1171,Ekstraklasa (PL),42121,0.06,Steve Kingue,S. Kingue,0.18,0.06,0.0,0.47,0.0,0.0,0.12,0.53,3.53
1171,Ekstraklasa (PL),42628,2.63,Francisco Javier Álvarez Rodríguez,Fran Álvarez,3.74,0.21,0.11,5.05,1.21,4.79,1.89,4.74,0.63
1171,Ekstraklasa (PL),42766,0.0,Brahim Traoré,B. Traoré,0.17,0.17,0.0,0.17,0.0,0.17,0.67,1.0,3.0
1171,Ekstraklasa (PL),43113,1.14,Sam Greenwood,S. Greenwood,2.14,0.86,1.14,4.29,1.64,5.29,3.36,4.29,0.86
1171,Ekstraklasa (PL),43248,1.0,Alejandro Cantero Sánchez,Alejandro Cantero,0.67,0.17,0.17,0.5,0.0,1.5,0.33,0.33,0.0
1171,Ekstraklasa (PL),46307,1.9,Juljan Shehu,J. Shehu,2.57,0.29,0.81,5.57,1.1,5.71,0.9,5.86,0.81
1171,Ekstraklasa (PL),49236,1.08,Matúš Kmet,M. Kmet,0.85,1.69,0.77,0.54,0.15,3.54,3.0,3.23,1.0
1171,Ekstraklasa (PL),49242,12.75,Tomáš Bobček,T. Bobček,8.1,0.2,0.35,1.5,2.4,6.2,0.8,1.15,0.2
1171,Ekstraklasa (PL),49256,5.26,Dawid Kurminowski,D. Kurminowski,3.58,0.11,0.11,0.79,0.47,2.68,0.16,0.53,0.0
1171,Ekstraklasa (PL),49305,0.83,Aziel Jackson,A. Jackson,1.17,0.33,0.17,0.67,0.33,4.17,0.17,2.0,0.17
1171,Ekstraklasa (PL),49327,0.08,Dušan Stojinovič,D. Stojinovič,0.31,0.15,0.31,0.31,0.0,0.69,0.54,1.15,5.38
1171,Ekstraklasa (PL),49585,0.0,Lucas Gabriel Masoero Masi,L. Masoero,0.0,0.0,0.0,0.45,0.0,0.09,0.64,1.18,0.91
1171,Ekstraklasa (PL),50064,1.69,Tornike Gaprindashvili,T. Gaprindashvili,0.75,0.56,0.44,0.56,0.19,3.69,1.0,2.0,0.5
1171,Ekstraklasa (PL),58998,1.0,Mihael Mlinarić,M. Mlinarić,2.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0
1171,Ekstraklasa (PL),59053,3.79,Kevin Custovic,K. Custovic,1.11,1.11,0.47,0.26,0.21,4.05,1.21,1.84,0.53
1171,Ekstraklasa (PL),60026,0.14,Stelios Andreou,S. Andreou,0.21,0.86,0.29,0.29,0.14,0.71,1.79,2.14,4.36
1171,Ekstraklasa (PL),60116,1.05,Konrad Matuszewski,K. Matuszewski,0.95,3.16,1.53,0.26,0.11,4.58,1.05,4.11,0.84
1171,Ekstraklasa (PL),60118,3.16,Michael Ameyaw,M. Ameyaw,2.21,1.53,0.58,1.58,0.42,5.95,2.16,3.95,2.42
1171,Ekstraklasa (PL),60123,3.46,Andrzej  Trubeha,A. Trubeha,2.46,0.23,0.23,1.38,1.08,4.54,0.85,1.15,0.15
1171,Ekstraklasa (PL),60135,1.0,Karol Knap,K. Knap,0.82,0.55,0.45,1.73,0.73,3.0,1.36,1.09,0.36
1171,Ekstraklasa (PL),60137,0.06,Michal Kaput,M. Kaput,0.12,0.06,0.47,5.76,0.29,1.65,0.53,3.53,0.59
1171,Ekstraklasa (PL),60141,0.0,Leândro Rossi Pereira,Leândro,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1171,Ekstraklasa (PL),60143,1.5,Adam Radwański,A. Radwański,1.5,0.45,0.4,1.15,0.45,4.65,1.3,2.65,0.35
1171,Ekstraklasa (PL),60145,0.5,Mateusz Grzybek,M. Grzybek,0.5,1.0,0.0,0.0,0.0,1.0,0.25,2.0,0.25
1171,Ekstraklasa (PL),60370,5.95,Morgan Faßbender,M. Faßbender,2.0,0.33,0.38,1.19,0.86,7.24,1.62,0.86,0.24
1171,Ekstraklasa (PL),60565,3.25,Migouel Alfarela,M. Alfarela,3.0,1.0,0.75,1.75,0.0,8.25,2.5,1.0,0.75
1171,Ekstraklasa (PL),60624,0.0,Marin Karamarko,M. Karamarko,0.0,0.5,0.0,0.0,0.0,1.5,0.5,0.5,1.0
1171,Ekstraklasa (PL),60705,0.38,Aleksandre Kalandadze,A. Kalandadze,0.5,0.5,0.38,0.12,0.0,2.0,0.25,0.62,0.38
1171,Ekstraklasa (PL),61158,0.23,Amir Al Ammari,Amir Al Ammari,0.27,0.18,0.41,5.82,0.77,3.18,0.73,2.86,2.18
1171,Ekstraklasa (PL),61338,0.0,Bernardo Maria Morais Cardoso Vital,Bernardo Vital,0.0,0.0,0.07,0.27,0.0,0.4,0.13,1.27,7.0
1171,Ekstraklasa (PL),61813,3.38,Maurides Roque Junior,Maurides,5.29,0.0,0.0,2.0,0.29,3.33,0.05,1.0,0.0
1171,Ekstraklasa (PL),61846,4.65,Bradly van Hoeven,B. van Hoeven,2.12,0.41,0.59,0.65,0.35,6.0,1.06,0.76,0.47
1171,Ekstraklasa (PL),62104,2.43,Noah Weißhaupt,N. Weißhaupt,1.0,1.0,0.43,1.0,0.71,3.86,2.57,1.0,1.14
1171,Ekstraklasa (PL),62368,2.0,Miguel Villar Alonso,Miki Villar,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
1171,Ekstraklasa (PL),63001,4.47,Tomasz Pieńko,T. Pieńko,2.16,0.37,0.74,4.0,0.79,7.0,1.89,1.63,0.74
1171,Ekstraklasa (PL),64231,1.75,Samed Baždar,S. Baždar,1.5,1.0,1.0,0.25,1.75,3.0,0.75,2.5,0.0
1171,Ekstraklasa (PL),67375,3.75,Levente Szabó,L. Szabó,1.5,0.0,0.0,1.0,0.25,3.25,0.0,1.75,0.0
1171,Ekstraklasa (PL),67578,4.5,Bryan Solhaug Fiabema,B. Fiabema,1.7,0.2,0.3,1.3,0.3,3.0,0.6,0.3,0.1
1171,Ekstraklasa (PL),67652,3.0,Camilo Andrés Mena Márquez,C. Mena,2.1,1.24,0.71,1.48,0.57,10.19,4.14,3.67,1.43
1171,Ekstraklasa (PL),67663,0.23,Tamar Svetlin,T. Svetlin,1.45,0.59,0.45,6.73,0.32,4.09,0.91,6.95,2.09
1171,Ekstraklasa (PL),68501,0.0,Matúš Vojtko,M. Vojtko,0.16,3.16,1.42,0.16,0.05,2.84,2.58,4.79,2.42
1171,Ekstraklasa (PL),68528,0.93,Bartłomiej Kłudka,B. Kłudka,0.21,1.64,0.86,0.07,0.0,2.07,2.43,2.93,2.93
1171,Ekstraklasa (PL),68550,0.0,Josh Wilson-Esbrand,J. Wilson-Esbrand,0.25,1.25,1.5,1.0,0.25,3.0,1.25,2.75,1.0
1171,Ekstraklasa (PL),69027,2.0,Ivan Correia Posser Lima,Ivan Lima,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
1171,Ekstraklasa (PL),70661,0.47,Alassane Sidibé,A. Sidibé,1.0,0.13,0.07,6.0,0.67,2.8,1.13,3.13,1.0
1171,Ekstraklasa (PL),71453,3.62,Yannick Agnero,Y. Agnero,2.19,0.0,0.0,0.12,0.31,2.25,0.06,0.12,0.0
1171,Ekstraklasa (PL),72020,6.15,Jonatan Braut Brunes,J. Braut Brunes,6.1,0.3,0.05,1.85,0.3,5.8,0.0,1.25,0.15
1171,Ekstraklasa (PL),72127,1.28,Mikkel Maigaard Jakobsen,M. Maigaard,2.17,0.78,1.33,7.83,0.78,7.33,2.28,7.33,1.89
1171,Ekstraklasa (PL),72167,5.89,Sondre Liseth,S. Liseth,8.78,0.06,0.17,0.94,1.0,3.22,0.06,0.72,0.0
1171,Ekstraklasa (PL),73536,2.11,Young-Jun Goh,Young-Jun Goh,1.67,0.11,0.44,2.67,0.44,3.11,1.11,2.56,0.22
1171,Ekstraklasa (PL),73572,0.75,Ryoya Morishita,R. Morishita,1.75,0.75,1.75,2.25,1.0,7.0,2.5,3.75,0.75
1171,Ekstraklasa (PL),79847,0.0,Igor Drapiński,I. Drapiński,0.18,0.12,0.59,0.24,0.0,0.71,0.53,1.71,4.88
1171,Ekstraklasa (PL),81008,5.59,Michal Król,M. Król,3.32,1.0,0.55,0.73,0.14,8.0,1.18,1.18,0.36
1171,Ekstraklasa (PL),84613,0.33,João Pedro Reginaldo,João Pedro,0.22,0.78,0.78,0.67,0.22,3.56,1.89,4.22,1.56
1171,Ekstraklasa (PL),103056,0.06,Dimitrios  Keramitsis,D. Keramitsis,0.25,0.0,0.0,1.0,0.0,0.25,0.31,1.19,6.25
1171,Ekstraklasa (PL),110462,3.5,Eman Marković,E. Marković,1.29,0.36,0.5,1.64,0.64,3.93,0.86,1.57,0.57
1171,Ekstraklasa (PL),111003,0.29,Davíd Kristján Ólafsson,D. Ólafsson,0.86,2.71,0.71,0.29,0.0,2.86,1.71,4.29,2.57
1171,Ekstraklasa (PL),111693,3.0,Luis Enrique Palma Oseguera,L. Palma,2.74,0.58,0.89,2.58,0.79,7.74,2.32,1.53,0.53
1171,Ekstraklasa (PL),116624,2.22,Laurindo Dilson Maria Aurélio,Depú,1.67,0.0,0.11,0.22,0.22,2.78,0.0,0.22,0.0
1171,Ekstraklasa (PL),121240,0.67,Mohamed Awadalla Hassan Ibrahim,Mohamed Awadalla,0.83,0.5,0.0,0.0,1.0,3.5,0.67,0.67,0.0
1171,Ekstraklasa (PL),125509,0.18,Kacper Łukasiak,K. Łukasiak,0.64,0.0,0.45,5.64,0.55,2.91,0.27,5.0,1.09
1171,Ekstraklasa (PL),125800,2.14,Tomasz Neugebauer,T. Neugebauer,2.38,0.33,0.29,2.9,1.76,4.24,1.43,3.0,0.43
1171,Ekstraklasa (PL),130340,0.0,Yuki Kobayashi,Y. Kobayashi,0.12,0.0,0.0,0.62,0.0,0.12,0.0,0.5,3.0
