id,name,coach,stadium.id,stadium.name,stadium.city,stadium.capacity,stadium
2715,FC Tulsa,,2376.0,ONEOK Field,Oklahoma,7800.0,
2716,Samsunspor,,2382.0,Samsun Yeni 19 Mayıs Stadyumu,Samsun,33900.0,
2732,Vancouver Whitecaps FC II,,2396.0,Swangard Stadium,Burnaby,5290.0,
2748,Pittsburgh Riverhounds FC,,2411.0,Highmark Stadium,Pittsburgh,5000.0,
4752,FC Kolkheti 1913 Poti,,6296.0,Fazisi Stadium,Poti,6000.0,
2749,Loudoun United FC,,2412.0,Segra Field,Leesburg,5000.0,
2491,Floresta Esporte Clube U20,,2168.0,Estádio Olímpico Horácio Domingos de Sousa,Ceará,,
2768,Rio Grande Valley FC Toros,,2429.0,H-E-B Park,Edinburg,9735.0,
2493,Grêmio Novorizontino,,2170.0,Estádio Jorge Ismael de Biasi,Novo Horizonte,,
3299,Calcio Lecco 1912,,2947.0,Stadio Rigamonti-Ceppi,Lecco,5000.0,
2496,Tarxien Rainbows FC,,2172.0,Victor Tedesco Stadium ,Hamrun,,
2800,Cavalry FC,,2570.0,ATCO Field,Foothills County,5000.0,
2501,Vila Nova FC,,2177.0,Estádio Onésio Brasileiro Alvarenga,Goiânia,,
4971,CS Metaloglobus Bucureşti,,6664.0,Metaloglobus Stadium,Bucharest,1000.0,
2504,Londrina EC,,2182.0,Estádio Municipal Jacy Scaff,Londrina,,
2798,IL Stjørdals-Blink,,3119.0,M.U.S Stadion Sandskogan,Stjørdal,960.0,
2506,FK Vitebsk,,2184.0,ZSK Vitebsk,Vitebsk,,
5427,SK Poltava Under 19,,7499.0,Kremin ,Poltava,1500.0,
2511,KFC Dessel Sport,,2187.0,Armand Melis Stadion,Dessel,,
2103,Manchester City U19,,1979.0,Ewen Fields,Tameside,,
1512,M. P. Tikva U19,,1290.0,Hamoshava Stadium,Petah Tikva,11500.0,
2515,U Craiova 1948 SA,,428.0,Stadionul Ion Oblemenco,Craiova,30944.0,
3554,Bangu AC,,3153.0,Batistão Arena,Aracaju,15.0,
2778,Seongnam FC,,2466.0,Seongnam Tancheon Sports Complex,Seongnam,20000.0,
2527,Rovaniemen Palloseura,,2195.0,Rovaniemen keskuskenttä,Rovaniemi,,
4388,Akron Zips University,,4060.0, FirstEnergy Stadium,Akron,5800.0,
2530,Kisvárda Master Good SE,,2198.0,Várkert,Kisvárda,,
2779,Suwon Samsung Bluewings FC,,2381.0,Suwon World Cup Stadium,Suwon,44000.0,
2532,ACS Campionii Fotbal Club Argeș,,2202.0,Nicolae Dobrin,Pitesti,,
4403,Rio Claro FC,,4114.0,Augusto Schmidt Filho Stadium,Rio Claro,9352.0,
2537,Bnei Yehuda Tel Aviv FC,,1391.0,Bloomfield,Tel Aviv,29150.0,
4817,Étoile Sportive de Métlaoui,,6444.0,stade municipal de Métlaoui,Métlaoui,4000.0,
2549,FK Akademija Pandev,,2215.0,Stadion Mladost,Strumica,,
2646,Arta / Solar 7,,2284.0,El Hadj Hassan Gouled Aptidon,Djibouti,,
2558,FK Gomel,,2224.0,Tsentralny,Gomel,,
4985,Trelleborgs FF,,3123.0,Vångavallen,Trelleborg,7400.0,
2560,Raufoss Fotball,,2226.0,NAMMO stadion,Raufoss,,
4591,União AC Tocantins,,5720.0,Estádio Leôncio de Souza Miranda,Araguaína,10000.0,
2787,SC Corinthians Paulista U20,,641.0,Arena Corinthians,Sao Paulo,,
2785,Palmeiras U20,,2644.0,Estádio Bruno José Daniel,Santo André,15157.0,
5004,CD Móstoles,,6722.0,El Soto,Móstoles,14000.0,
2596,"SFK Rīga, Women",,1442.0,Rtu Stadium,Riga,3000.0,
5023,Real Madrid Club de Fútbol C,,1686.0,Ciudad Real Madrid,Madrid,3000.0,
5202,Young Lions,,1627.0,Jalan Besar Stadium,Singapur,6000.0,
5041,UD Almería B,,6757.0,Anexo al Estadio de los Juegos Mediterráneos,Almeria,350.0,
2626,"Eintracht Frankfurt, Women",,156.0,Commerzbank-Arena,Frankfurt,51500.0,
2797,Fredrikstad FK,,2565.0,Fredrikstad Stadion,Fredrikstad,13300.0,
2629,Forge FC,,2255.0,Tim Hortons Field,Ontario,,
5059,1. FC Tatran Prešov,,6421.0,Futbal Tatran Arena,,,
2633,FK Kryvbas Kryvyi Rih,,2261.0,Shakhty Zhovtneva,Kryvyi Rig,,
2254,1. FSV Mainz 05 U19,,2271.0,Stadion am Bruchweg,13508,,
5100,FSV Schöningen,,6826.0,Elm-Stadion,Schöningen,5000.0,
2681,St. Kitts and Nevis U20,,1654.0,Warner Park,Basseterre,3500.0,
2638,TuS Rot-Weiss Koblenz,,2276.0,Stadion Oberwerth,Koblenz,,
2709,"New Zealand U17, Women",,1708.0,QBE Stadium,Auckland,25000.0,
2642,Association Sportive de la Kozah de Kara,,2280.0,Stade Municipal Kara,Kara,,
2499,Deportivo Toluca FC U20,,7110.0,Instalaciones Metepec - Cancha 2,,,
2648,CD Primeiro de Agosto,,1954.0,Estádio 11 de Novembro,Luanda,50000.0,
2579,"France U17, Women",,1864.0,Stade Georges Lefevre,Paris,3500.0,
2650,Al Ahli Tripoli,,2287.0,Benina Martyrs Stadium,Benghazi,,
2783,Kazakhstan U21,,153.0,Astana Arena,Astana,30000.0,
2804,Valour FC,,2573.0,Investors Group Field,Winnipeg,33234.0,
2657,Cotonsport de Garoua,,2294.0,Stade Omnisports Roumde-Adja,Garoua,,
2583,"France U19, Women",,1864.0,Stade Georges Lefevre,Paris,3500.0,
2660,Kyoto Sanga FC,,2297.0,Sanga Stadium by KYOCERA,Kyoto,,
2807,Grimsby Town FC,,2576.0,Blundell Park,Cleethorpes,9546.0,
2663,Club Olympique de Coyah,,2300.0,Stade Coyah,Coyah,,
2667,Asante Kotoko FC,,2303.0,Baba Yara Sports Stadium,Kumasi,,
2821,Leyton Orient FC,,2583.0,Matchroom Stadium,Leyton,9271.0,
2671,AS Nigérienne d'Electricité,,1754.0,Stade Général Seyni Kountché,Niamey,30000.0,
2676,USA U20,,2309.0,Premier Sports Campus,Lakewood Ranch,,
