competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count,pass_count_goalwithin10s,pass_count_shotwithin10s,pass_count_attempted_total,pass_count_attempted,pass_count_completed,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted,pass_count_onetouch_attempted,pass_count_quickpass_attempted,pass_count_onetouch_dangerous_attempted,pass_count_quickpass_dangerous_attempted,passopportunity_count_linebreak,pass_count_linebreak_attempted,pass_count_linebreak_completed,passopportunity_count_torun,pass_count_torun_attempted,pass_count_torun_completed,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s,pass_count_torun_goalwithin10s,passopportunity_count_dangerous,pass_count_dangerous_attempted,pass_pct_dangerous_completed,pass_count_dangerous_completed,pass_count_difficultpass_attempted
1171,Ekstraklasa (PL),3439,Filip Jagiełło,F. Jagiełło,1997-08-08,70.03,21.02,15.97,27,26,1,2906.0,111.77,0.31,2.38,886.0,34.08,29.5,86.57,85.83,15.01,1.81,8.65,7.81,1.19,1.04,17.54,4.54,3.42,19.85,8.31,6.35,76.39,75.29,1.12,0.15,20.58,5.23,61.76,3.23,5.65
1171,Ekstraklasa (PL),3673,Fredrik Ulvestad,F. Ulvestad,1992-06-17,92.51,24.43,22.33,32,31,1,3376.0,108.9,0.16,2.06,1161.0,37.45,32.45,86.65,87.62,15.54,1.87,10.42,9.58,0.81,0.48,17.48,4.71,3.61,14.58,5.32,4.39,82.42,75.38,0.77,0.06,9.52,2.61,69.14,1.81,5.84
1171,Ekstraklasa (PL),4569,Ivo Tiago dos Santos Rodrigues,Ivo Rodrigues,1995-03-30,84.71,21.8,21.32,31,29,2,3745.0,129.14,0.38,2.31,942.0,32.48,26.1,80.36,81.44,14.66,1.55,5.34,5.62,0.79,0.9,21.17,4.62,3.21,34.86,11.17,8.14,72.84,72.2,1.28,0.21,27.24,5.86,55.29,3.24,7.72
1171,Ekstraklasa (PL),4633,Jakub Czerwiński,J. Czerwiński,1991-08-06,79.07,23.89,18.21,21,21,0,2468.0,117.52,0.05,0.38,892.0,42.48,37.86,89.13,92.02,17.53,2.43,9.1,7.57,0.33,0.05,29.62,6.9,5.24,15.95,5.57,4.81,86.32,88.27,0.05,0.0,2.24,0.71,53.33,0.38,4.29
1171,Ekstraklasa (PL),4637,Jakub Łukowski,J. Łukowski,1996-05-25,16.14,3.35,3.71,4,4,0,27.0,6.75,0.0,0.25,13.0,3.25,2.25,69.23,74.53,10.16,0.0,1.25,1.0,0.25,0.5,0.5,0.5,0.25,1.75,1.0,0.25,25.0,54.9,0.0,0.0,2.0,1.0,25.0,0.25,1.0
1171,Ekstraklasa (PL),4755,Jarosław Kubicki,J. Kubicki,1995-08-07,81.11,22.5,22.02,29,28,1,2305.0,82.32,0.07,1.68,751.0,26.82,23.68,88.28,89.12,14.53,0.93,7.57,7.0,0.75,0.79,11.14,1.82,1.5,14.75,4.71,4.04,85.61,80.95,0.71,0.07,14.36,2.89,59.26,1.71,3.29
1171,Ekstraklasa (PL),4756,Jasmin Burić,J. Burić,1987-02-18,94.99,18.55,27.98,24,24,0,1185.0,49.38,0.0,0.04,401.0,16.71,11.25,67.33,81.0,26.94,3.54,5.67,1.58,0.0,0.0,21.12,5.38,2.17,7.46,2.38,2.08,87.72,93.51,0.04,0.04,0.0,0.0,,0.0,2.12
1171,Ekstraklasa (PL),5680,Kamil Glik,K. Glik,1988-02-03,9.59,1.52,3.02,2,2,0,1.0,0.5,0.0,0.0,3.0,1.5,1.0,66.67,66.62,18.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
1171,Ekstraklasa (PL),5681,Kamil Grosicki,K. Grosicki,1988-06-08,74.58,20.0,18.32,31,30,1,1569.0,52.3,0.23,2.3,481.0,16.03,10.83,67.57,69.23,13.22,0.4,4.0,2.47,1.23,1.07,2.27,0.67,0.37,24.13,7.87,4.77,60.59,62.03,1.27,0.2,24.3,6.8,46.57,3.17,7.0
1171,Ekstraklasa (PL),5682,Kamil Jóźwiak,K. Jóźwiak,1998-04-22,55.34,16.92,12.26,13,13,0,793.0,61.0,0.15,2.0,222.0,17.08,14.62,85.58,83.49,11.45,0.23,3.69,3.31,1.15,0.69,2.77,0.38,0.38,20.0,6.54,5.62,85.88,77.17,1.23,0.15,17.38,4.15,66.67,2.77,2.85
1171,Ekstraklasa (PL),5731,Karol Angielski,K. Angielski,1996-03-20,56.45,15.49,14.21,11,10,1,289.0,28.9,0.0,0.5,69.0,6.9,5.2,75.36,81.79,11.87,0.2,2.8,0.8,0.9,0.3,0.6,0.1,0.1,10.4,2.5,1.7,68.0,73.22,0.2,0.0,8.6,1.9,52.63,1.0,1.3
1171,Ekstraklasa (PL),6727,Marcin Cebula,M. Cebula,1995-12-06,28.52,7.85,6.65,8,8,0,241.0,30.12,0.12,0.75,71.0,8.88,7.38,83.1,83.93,13.98,0.25,2.0,1.75,0.38,0.38,1.88,0.38,0.38,7.0,1.88,1.38,73.33,77.27,0.25,0.0,8.12,1.62,61.54,1.0,1.5
1171,Ekstraklasa (PL),6731,Marcin Kamiński,M. Kamiński,1992-01-15,96.42,23.07,30.12,34,33,1,3936.0,119.27,0.0,0.82,1435.0,43.48,39.64,91.15,92.79,19.02,3.73,8.91,7.42,0.15,0.0,28.91,6.91,5.3,14.21,5.21,4.55,87.21,85.38,0.24,0.0,3.58,0.76,48.0,0.36,3.79
1171,Ekstraklasa (PL),6925,Mariusz Stępiński,M. Stępiński,1995-05-12,86.78,21.53,24.08,15,15,0,566.0,37.73,0.07,0.87,168.0,11.2,8.07,72.02,77.0,12.92,0.47,4.2,1.6,0.87,0.33,1.2,0.2,0.07,14.53,4.2,2.93,69.84,74.09,0.4,0.0,9.4,2.13,62.5,1.33,2.93
1171,Ekstraklasa (PL),7127,Mateusz Cichocki,M. Cichocki,1992-01-31,60.77,15.08,14.15,5,5,0,267.0,53.4,0.0,0.0,114.0,22.8,21.4,93.86,96.23,18.41,0.8,4.4,5.2,0.0,0.0,11.2,2.4,2.4,4.4,2.0,2.0,100.0,97.85,0.0,0.0,0.0,0.0,,0.0,0.6
1171,Ekstraklasa (PL),7128,Mateusz Klich,M. Klich,1990-06-13,80.97,22.05,20.49,27,27,0,4348.0,161.04,0.22,2.56,1296.0,48.0,41.44,86.34,86.06,15.05,2.41,12.3,7.37,0.93,0.63,24.0,7.56,6.22,21.37,9.0,7.04,78.19,74.64,0.7,0.11,18.11,4.37,55.93,2.44,7.67
1171,Ekstraklasa (PL),7142,Mateusz Wdowiak,M. Wdowiak,1996-08-28,47.89,10.9,12.62,27,27,0,828.0,30.67,0.07,0.93,259.0,9.59,7.11,74.13,75.14,13.07,0.44,2.85,1.63,0.48,0.33,1.74,0.26,0.19,10.78,3.67,2.52,68.69,65.65,0.48,0.0,8.93,2.59,47.14,1.22,3.22
1171,Ekstraklasa (PL),7194,Matías Nahuel Leiva Esquivel,N. Leiva,1996-11-22,44.16,13.12,10.0,16,16,0,908.0,56.75,0.19,1.62,266.0,16.62,13.56,81.58,82.68,12.81,0.56,4.0,2.25,0.94,0.38,4.88,1.44,0.88,17.81,5.75,4.69,81.52,78.67,0.69,0.12,14.69,2.88,63.04,1.81,3.12
1171,Ekstraklasa (PL),7338,Maxime Dominguez,M. Dominguez,1996-02-01,42.06,10.49,9.49,13,13,0,666.0,51.23,0.0,0.46,196.0,15.08,12.85,85.2,85.93,14.21,0.62,3.38,3.0,0.31,0.54,5.15,1.46,1.15,9.38,2.62,1.85,70.59,74.05,0.23,0.0,7.31,1.54,50.0,0.77,2.38
1171,Ekstraklasa (PL),7481,Michał Chrapek,M. Chrapek,1992-04-03,46.99,14.41,10.58,26,26,0,1918.0,73.77,0.08,1.92,605.0,23.27,19.65,84.46,82.46,13.48,0.69,7.15,4.46,0.77,0.65,9.81,2.62,1.85,16.58,6.46,5.15,79.76,73.31,1.04,0.04,13.65,3.65,61.05,2.23,4.88
1171,Ekstraklasa (PL),7493,Michał Nalepa,M. Nalepa,1993-01-22,93.53,18.31,27.5,31,31,0,2233.0,72.03,0.1,0.48,828.0,26.71,21.06,78.87,84.63,21.05,3.58,8.03,3.71,0.55,0.03,20.0,6.0,3.87,10.81,4.32,3.68,85.07,80.48,0.06,0.0,4.16,1.06,57.58,0.61,5.71
1171,Ekstraklasa (PL),7595,Mikael Ishak,M. Ishak,1993-03-31,83.8,25.58,19.38,31,30,1,1513.0,50.43,0.2,2.2,465.0,15.5,12.27,79.14,79.12,12.97,0.7,6.07,2.43,1.47,0.77,2.07,0.4,0.33,20.4,6.7,5.07,75.62,74.88,1.5,0.1,18.0,4.53,64.71,2.93,3.43
1171,Ekstraklasa (PL),8542,Paweł Dawidowicz,P. Dawidowicz,1995-05-20,51.76,13.16,13.13,10,10,0,690.0,69.0,0.1,0.5,245.0,24.5,21.5,87.75,90.59,16.88,1.3,4.8,5.8,0.3,0.3,18.5,4.8,3.6,10.5,4.3,3.8,88.37,86.48,0.2,0.1,3.6,0.9,66.67,0.6,2.8
