competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count,offballrun_count_shotwithin10s,offballrun_count_goalwithin10s,offballrun_count_targeted,offballrun_count_received,offballrun_avgdistance,offballrun_count_abovehsr,offballrun_count_penaltyarea,offballrun_count_dangerous,offballrun_count_dangerous_targeted,offballrun_count_dangerous_received
1396,Eliteserien (NO),4560,Iver Tobias Rørvik Fossum,I. Fossum,1996-07-15,68.59,18.74,17.64,13,12,1,363.0,30.25,1.0,0.17,8.67,6.25,13.07,4.92,4.33,8.75,1.83,1.0
1396,Eliteserien (NO),4626,Jakob Let Haugaard,J. Haugaard,1992-05-01,99.01,30.24,30.67,16,16,0,28.0,1.75,0.0,0.0,0.88,0.88,7.53,0.06,0.0,0.0,0.0,0.0
1396,Eliteserien (NO),5035,Jo Inge Berget,J. Berget,1990-09-11,26.05,6.7,7.46,8,8,0,69.0,8.62,0.5,0.0,3.38,2.25,14.68,2.38,1.75,3.88,1.0,0.38
1396,Eliteserien (NO),6545,Magnus  Wolff Eikrem,M. Wolff Eikrem,1990-08-08,47.49,12.77,15.06,12,12,0,198.0,16.5,0.5,0.08,5.67,4.17,14.72,3.75,4.17,7.0,1.75,1.0
1396,Eliteserien (NO),7208,Mats  Møller Dæhli,M. Møller Dæhli,1995-03-02,83.48,27.84,21.84,8,8,0,276.0,34.5,0.25,0.0,12.25,12.0,11.04,3.0,0.38,1.75,0.25,0.25
1396,Eliteserien (NO),7389,Menno Koch,M. Koch,1994-07-02,62.12,12.96,19.41,9,9,0,18.0,2.0,0.0,0.0,1.0,0.89,11.37,0.0,0.11,0.22,0.11,0.0
1396,Eliteserien (NO),8175,Ole Kristian Selnæs,O. Selnæs,1994-07-07,74.54,20.5,18.92,13,12,1,121.0,10.08,0.0,0.0,3.58,3.33,10.2,0.58,0.42,1.33,0.33,0.25
1396,Eliteserien (NO),11774,Fredrik Gulbrandsen,F. Gulbrandsen,1992-09-10,51.42,16.81,12.47,15,15,0,296.0,19.73,0.93,0.13,6.47,3.4,14.05,6.73,4.73,12.47,3.93,1.6
1396,Eliteserien (NO),12011,Jonas Svensson,J. Svensson,1993-03-06,56.19,16.88,13.36,11,10,1,152.0,15.2,0.5,0.1,5.6,4.9,12.76,3.1,1.3,2.1,0.8,0.5
1396,Eliteserien (NO),12028,Sigurd Rosted,S. Rosted,1994-07-22,96.47,25.66,30.55,6,6,0,49.0,8.17,0.33,0.0,2.33,2.33,9.68,0.17,0.5,0.83,0.33,0.33
1396,Eliteserien (NO),13029,Jón Dagur Thorsteinsson,J. Thorsteinsson,1998-11-26,73.39,22.93,17.19,12,12,0,305.0,25.42,1.0,0.08,9.17,6.83,13.19,7.58,4.92,8.83,2.83,1.75
1396,Eliteserien (NO),13032,Haitam Aleesami,H. Aleesami,1991-07-31,88.65,34.91,20.9,13,13,0,106.0,8.15,0.15,0.0,3.15,3.08,9.88,0.62,0.62,0.54,0.08,0.0
