competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
1208,1. SNL (SI),1302,Benjamin Tetteh,B. Tetteh,1997-07-10,64.57,17.56,14.45,27,24,3,444.0,18.5,9.79,52.93,3.46,0.58,5.4,1.46,273.0,11.38,6.71,58.98,4.17,1.96,47.0,4.0,102.0,4.25,2.62,1.29,0.67,0.92,0.5,0.21,41.67,61.76,51.61,0.83,1.67,1.21,0.46,0.0,0.0,,4.96,0.79,15.97,8.04,0.88,10.88,1.92,23.83
1208,1. SNL (SI),2587,Dejan Lazarević,D. Lazarević,1990-02-15,17.41,2.08,5.28,2,2,0,4.0,2.0,0.5,25.0,0.5,0.0,1.61,0.5,2.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.5,0.0,0.0,0.0,,0.5,0.0,0.0,1.0,0.0,0.0,0.5,50.0
1208,1. SNL (SI),2990,Hillel El Arbi Soudani,H. Soudani,1987-11-25,50.17,13.12,11.92,29,27,2,435.0,16.11,8.63,53.56,3.52,0.44,5.72,1.62,269.0,9.96,5.52,55.39,1.93,0.56,28.85,5.96,102.0,3.78,1.81,2.26,0.85,0.78,0.52,0.11,21.43,48.04,37.7,0.56,1.56,0.89,0.7,0.26,0.07,28.57,2.52,0.3,11.76,4.3,0.48,11.21,1.11,25.86
1208,1. SNL (SI),3494,Florian  Hartherz,F. Hartherz,1993-05-29,72.0,22.16,17.17,16,13,3,516.0,39.69,32.54,81.98,1.85,0.54,4.02,1.44,370.0,28.46,24.85,87.3,1.46,0.85,57.89,26.92,83.0,6.38,5.23,3.92,3.31,0.85,0.54,0.38,71.43,81.93,84.31,0.08,3.0,0.0,0.15,0.38,0.38,100.0,1.77,0.31,17.39,2.92,1.08,36.84,0.46,15.79
1208,1. SNL (SI),4212,Haris Vučkič,H. Vučkič,1992-08-21,71.43,16.48,22.57,13,12,1,261.0,21.75,15.5,71.27,2.67,0.17,5.09,1.61,189.0,15.75,11.75,74.6,3.5,2.0,57.14,10.0,51.0,4.25,3.33,2.17,1.58,0.67,0.5,0.33,66.67,78.43,73.08,1.67,1.58,0.25,0.58,0.5,0.42,83.33,4.58,0.92,20.0,6.75,1.42,20.99,1.0,14.82
1208,1. SNL (SI),4757,Jasmin Kurtič,J. Kurtič,1989-01-10,28.9,7.0,7.12,10,9,1,97.0,10.78,8.33,77.32,0.56,0.0,4.32,1.56,63.0,7.0,5.56,79.37,0.22,0.0,0.0,6.33,15.0,1.67,1.22,0.89,0.56,0.44,0.22,0.11,50.0,73.33,62.5,0.22,0.33,0.0,0.11,0.33,0.11,33.33,0.44,0.0,0.0,0.67,0.11,16.67,0.11,16.67
1208,1. SNL (SI),5482,Josip Iličić,J. Iličić,1988-01-29,66.59,18.46,15.51,28,23,5,538.0,23.39,13.65,58.36,3.96,0.74,5.72,1.88,364.0,15.83,9.57,60.44,2.17,1.35,62.0,11.22,133.0,5.78,3.09,3.43,1.39,0.74,0.61,0.13,21.43,53.38,40.51,1.26,0.83,0.39,1.17,0.65,0.22,33.33,2.96,0.3,10.29,5.78,1.48,25.56,1.22,21.05
1208,1. SNL (SI),6459,Luka Krajnc,L. Krajnc,1994-09-19,81.77,24.19,16.66,14,13,1,544.0,41.85,33.69,80.51,1.15,0.0,7.14,2.12,374.0,28.77,24.92,86.63,0.85,0.31,36.36,27.46,159.0,12.23,10.85,8.23,7.38,1.69,1.15,1.08,93.33,88.68,89.72,0.15,0.31,0.08,0.08,0.85,0.62,72.73,1.0,0.0,0.0,1.77,0.38,21.74,0.08,4.35
1208,1. SNL (SI),9811,Sheyi Ojo,S. Ojo,1997-06-19,82.33,22.73,18.42,28,26,2,953.0,36.65,24.0,65.48,4.35,0.31,8.93,2.5,692.0,26.62,17.77,66.76,2.42,1.08,44.44,22.73,373.0,14.35,9.0,8.92,5.23,2.77,2.19,0.96,43.86,62.73,58.62,0.23,2.5,0.42,2.12,1.96,0.81,41.18,3.46,1.08,31.11,5.65,1.38,24.49,0.65,11.56
1208,1. SNL (SI),10497,Tomi Jurić,T. Jurić,1991-07-22,46.67,11.93,12.57,8,5,3,46.0,9.2,5.6,60.87,0.8,0.2,5.0,1.65,26.0,5.2,3.0,57.69,2.0,0.8,40.0,1.6,7.0,1.4,1.2,0.6,0.6,0.2,0.2,0.2,100.0,85.72,100.0,0.0,0.4,0.2,0.2,0.0,0.0,,2.8,0.4,14.29,3.4,0.2,5.88,0.4,11.76
