competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1212,2. Bundesliga (DE),670,Amin Younes,A. Younes,1993-08-06,48.7,12.16,12.12,5,5,0,274.0,54.8,13.6,10.4,0.6,0.4,19.6,7.2,6.4,18.2,40.8,14.0,2.6,0.4,0.2,0.0
1212,2. Bundesliga (DE),1442,Branimir Hrgota,B. Hrgota,1993-01-12,93.61,22.77,25.51,31,29,2,2892.0,99.72,29.62,23.1,2.55,0.41,32.1,16.31,15.24,35.1,69.38,30.34,5.9,0.52,0.21,0.03
1212,2. Bundesliga (DE),1697,Cédric Itten,C. Itten,1996-12-27,96.2,26.19,26.72,30,29,1,3329.0,114.79,35.52,17.48,3.07,0.48,38.28,41.72,5.79,20.62,73.66,41.14,21.07,2.24,1.38,0.28
1212,2. Bundesliga (DE),1841,Christian Mathenia,C. Mathenia,1992-03-31,98.36,22.92,26.12,1,1,0,61.0,61.0,23.0,22.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
1212,2. Bundesliga (DE),2290,Danilo Teodoro Soares,Danilo Soares,1991-10-29,74.97,18.88,20.38,3,3,0,220.0,73.33,23.0,21.0,1.0,0.0,12.33,5.67,18.33,45.33,20.33,53.0,1.67,0.33,0.33,0.0
1212,2. Bundesliga (DE),2454,David Kinsombi,D. Kinsombi,1995-12-12,7.2,1.01,1.93,3,3,0,17.0,5.67,1.0,0.67,0.0,0.0,0.33,0.67,0.67,1.67,4.67,1.0,0.33,0.0,0.0,0.0
1212,2. Bundesliga (DE),2553,Dawid Kownacki,D. Kownacki,1997-03-14,55.69,14.89,14.42,21,21,0,1218.0,58.0,17.05,9.62,0.95,0.38,16.33,22.9,3.71,5.95,47.24,10.76,10.86,1.0,0.29,0.1
1212,2. Bundesliga (DE),2938,Edin Džeko,E. Džeko,1986-03-17,59.56,15.37,13.95,11,11,0,790.0,71.82,24.27,13.82,3.0,0.55,20.45,26.64,5.91,8.82,53.0,18.82,11.64,1.45,1.09,0.18
1212,2. Bundesliga (DE),3235,Fabian Holland,F. Holland,1990-07-11,35.83,9.08,10.07,21,20,1,643.0,32.15,10.3,9.25,0.3,0.05,3.7,1.45,9.15,20.75,2.6,29.55,0.4,0.05,0.05,0.0
1212,2. Bundesliga (DE),3372,Felix Klaus,F. Klaus,1992-09-13,95.1,22.71,25.76,25,23,2,2543.0,110.57,34.87,25.48,3.22,0.7,32.7,19.91,18.3,48.0,61.91,48.65,8.91,1.39,0.65,0.3
