competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_cross_receiver_run,runtype_overlap_run,runtype_underlap_run,runtype_coming_short_run,runtype_pulling_half_space_run,runtype_run_ahead_of_the_ball,runtype_pulling_wide_run,runtype_support_run,runtype_dropping_off_run
1265,Primeira Liga (PT),223,0.0,Aderllan Leandro de Jesus Santos,A. Santos,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,1.3
1265,Primeira Liga (PT),728,0.56,André Geraldes de Barros,André Geraldes,0.11,1.33,0.56,0.22,0.0,1.61,0.94,2.0,2.78
1265,Primeira Liga (PT),751,0.12,André Alexandre Carreira Sousa,André Sousa,0.0,0.0,0.0,0.62,0.0,0.25,0.0,0.88,0.0
1265,Primeira Liga (PT),1223,3.17,Bas Kuipers,B. Kuipers,1.5,2.67,1.33,1.17,0.67,6.0,2.33,3.5,1.17
1265,Primeira Liga (PT),1484,1.0,Armindo Tué Na Bangna,Bruma,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1265,Primeira Liga (PT),1652,0.0,Carlos dos Santos Rodrigues,Ponck,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.44,1.22
1265,Primeira Liga (PT),2492,0.0,David  Martins Simão,David Simão,0.08,0.17,0.08,3.75,0.42,1.92,0.92,3.25,1.0
1265,Primeira Liga (PT),2803,6.29,Dodi Lukébakio,D. Lukébakio,1.86,0.14,0.43,1.43,0.14,5.86,1.0,1.86,0.14
1265,Primeira Liga (PT),3493,0.27,Florian Grillitsch,F. Grillitsch,0.8,0.2,0.47,6.8,0.13,2.33,0.53,4.8,0.8
1265,Primeira Liga (PT),3665,0.11,Frederico André Ferrão Venâncio,Frederico Venâncio,0.0,0.0,0.0,0.39,0.06,0.44,0.0,1.17,1.44
1265,Primeira Liga (PT),4261,0.64,Hélder Luís Lopes Vieira Tavares,Hélder Tavares,0.45,0.09,0.27,1.27,0.27,1.36,0.27,1.45,0.45
1265,Primeira Liga (PT),4521,1.85,Ivan Ricardo Neves Abreu Cavaleiro,I. Cavaleiro,2.08,0.85,0.77,1.38,0.69,7.77,1.23,1.77,0.0
1265,Primeira Liga (PT),4703,0.0,Jan Bednarek,J. Bednarek,0.05,0.05,0.0,0.32,0.0,0.09,0.05,0.32,4.32
1265,Primeira Liga (PT),5049,0.0,João Ricardo Silva Afonso,João Afonso,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.3,2.7
1265,Primeira Liga (PT),5053,1.0,João Miguel Coimbra Aurélio,João Aurélio,0.87,1.0,0.13,0.53,0.2,3.8,2.53,3.8,0.93
1265,Primeira Liga (PT),5071,0.35,João Filipe Iria Santos Moutinho,João Moutinho,0.15,0.0,0.85,5.55,0.25,1.35,0.35,3.35,1.05
1265,Primeira Liga (PT),5072,0.5,João Pedro Barradas Novais,João Novais,0.0,0.0,0.0,0.5,0.5,2.5,0.0,0.5,0.5
1265,Primeira Liga (PT),5241,0.0,Jonathan Buatu Mananga,Jonathan Buatu,0.2,0.0,0.0,0.75,0.0,0.0,0.25,0.1,4.1
1265,Primeira Liga (PT),5396,0.06,José Miguel da Rocha Fonte,José Fonte,0.12,0.0,0.0,1.31,0.0,0.5,0.44,0.0,2.88
1265,Primeira Liga (PT),6359,0.62,Lucas Eduardo dos Santos João,Lucas João,0.69,0.0,0.0,0.15,0.15,0.92,0.08,0.69,0.08
1265,Primeira Liga (PT),6512,8.8,Luuk de Jong,L. de Jong,3.4,0.2,0.8,3.8,0.8,3.8,0.8,1.4,0.0
1265,Primeira Liga (PT),7902,3.94,Nélson Miguel Castro Oliveira,Nélson Oliveira,4.5,0.17,0.33,1.78,1.28,3.89,0.89,1.06,0.0
1265,Primeira Liga (PT),8029,0.32,Nicolás Hernán Otamendi,N. Otamendi,0.79,0.16,0.05,0.53,0.0,0.53,0.42,1.53,5.05
1265,Primeira Liga (PT),8729,0.31,Luís Miguel Afonso Fernandes,Pizzi,0.94,0.06,0.12,2.12,0.25,0.88,0.38,2.0,0.19
1265,Primeira Liga (PT),8790,4.75,Rafael Alexandre Fernandes Ferreira da Silva,Rafa Silva,7.75,0.0,1.5,4.0,1.75,8.75,1.25,2.0,0.0
1265,Primeira Liga (PT),8791,0.33,Luís Rafael Soares Alves,Rafa Soares,0.17,3.17,2.08,0.17,0.08,3.5,0.75,4.42,0.92
