competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count,pass_count_goalwithin10s,pass_count_shotwithin10s,pass_count_attempted_total,pass_count_attempted,pass_count_completed,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted,pass_count_onetouch_attempted,pass_count_quickpass_attempted,pass_count_onetouch_dangerous_attempted,pass_count_quickpass_dangerous_attempted,passopportunity_count_linebreak,pass_count_linebreak_attempted,pass_count_linebreak_completed,passopportunity_count_torun,pass_count_torun_attempted,pass_count_torun_completed,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s,pass_count_torun_goalwithin10s,passopportunity_count_dangerous,pass_count_dangerous_attempted,pass_pct_dangerous_completed,pass_count_dangerous_completed,pass_count_difficultpass_attempted
1215,1. HNL (HR),715782,Ivan Canjuga,I. Canjuga,2005-11-30,47.82,10.85,13.67,21,21,0,793.0,37.76,0.14,0.86,245.0,11.67,9.29,79.59,81.28,13.85,0.33,2.9,1.9,0.14,0.14,4.76,1.29,0.9,9.24,3.24,2.24,69.12,69.21,0.43,0.1,6.1,1.29,59.26,0.76,2.95
1215,1. HNL (HR),715783,Moris Valinčić,M. Valinčić,2002-11-17,76.82,24.53,18.25,27,27,0,2863.0,106.04,0.41,2.0,958.0,35.48,30.04,84.66,86.33,15.38,1.74,6.89,7.7,0.41,0.26,21.15,6.44,5.26,26.3,8.41,7.07,84.14,81.89,0.93,0.37,14.26,2.7,46.58,1.26,5.7
1215,1. HNL (HR),716284,Aleksa Latković,A. Latković,2000-10-30,74.2,18.43,22.57,34,34,0,2010.0,59.12,0.15,2.24,601.0,17.68,14.24,80.53,79.11,12.61,0.41,5.18,3.24,1.03,0.56,2.59,0.71,0.53,19.62,6.53,4.88,74.78,74.35,1.0,0.12,15.5,4.09,64.75,2.65,4.03
1215,1. HNL (HR),720294,Stipe Jurić,S. Jurić,1998-11-19,34.14,8.27,8.9,6,6,0,98.0,16.33,0.0,0.17,33.0,5.5,4.67,84.85,87.16,13.54,0.33,2.33,1.0,0.17,0.17,0.0,0.0,0.0,4.17,1.17,0.67,57.14,81.23,0.0,0.0,2.83,0.33,50.0,0.17,0.33
1215,1. HNL (HR),721817,Antonio Boršić,A. Boršić,1995-09-19,82.57,20.23,25.4,29,29,0,2685.0,92.59,0.1,1.17,971.0,33.48,26.76,79.92,82.01,16.57,2.38,7.41,8.83,0.79,0.52,22.03,7.17,5.17,20.9,8.62,6.45,74.8,70.41,0.66,0.07,9.97,3.07,50.56,1.55,8.17
1215,1. HNL (HR),730245,Ante Kavelj,A. Kavelj,2005-08-26,93.03,22.86,27.25,36,35,1,2304.0,65.83,0.09,1.14,832.0,23.77,18.74,78.85,82.01,15.85,1.37,9.29,4.74,0.89,0.29,9.8,3.03,2.31,9.86,3.74,2.6,69.47,72.49,0.23,0.0,7.0,2.4,53.57,1.29,5.2
1215,1. HNL (HR),731084,Ricardo Henning,R. Henning,2000-09-22,97.42,23.61,29.66,7,7,0,950.0,135.71,0.0,0.71,328.0,46.86,41.71,89.03,90.89,18.66,4.43,9.86,7.29,0.0,0.0,38.71,10.86,8.86,16.14,6.0,5.29,88.1,88.47,0.43,0.0,4.57,1.29,55.56,0.71,5.57
1215,1. HNL (HR),731272,Iker Almena Horcajo,Iker Almena,2004-05-04,78.63,22.89,17.74,21,21,0,1844.0,87.81,0.29,2.71,532.0,25.33,20.95,82.71,80.51,13.26,0.76,4.67,4.67,0.62,0.62,10.33,2.86,2.19,27.1,8.05,6.43,79.88,73.62,1.48,0.1,23.24,5.38,65.49,3.52,5.67
1215,1. HNL (HR),741996,Aleksa Todorović,A. Todorović,2004-01-25,96.63,27.01,23.62,3,3,0,191.0,63.67,0.0,0.33,66.0,22.0,16.33,74.24,82.01,25.47,4.0,2.67,3.0,0.0,0.0,24.67,6.67,3.33,11.67,2.67,2.67,100.0,99.67,0.0,0.0,0.0,0.0,,0.0,4.33
1215,1. HNL (HR),749342,Luka Ćurković,L. Ćurković,2005-08-26,4.46,0.85,1.39,2,1,1,4.0,4.0,0.0,0.0,1.0,1.0,1.0,100.0,93.47,16.73,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
