competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1189,Superliga (DK),173,Adam Buksa,A. Buksa,1996-07-12,80.04,21.9,16.31,3,3,0,279.0,93.0,24.33,11.67,2.33,0.67,25.67,36.33,4.67,12.33,78.67,14.33,20.67,1.33,0.67,0.0
1189,Superliga (DK),2217,Daniel Mathias Høegh,D. Høegh,1991-01-06,95.16,27.8,28.71,30,28,2,2852.0,101.86,43.79,42.54,0.32,0.0,1.0,2.32,42.68,17.32,5.96,95.89,2.29,0.25,0.11,0.0
1189,Superliga (DK),2252,Daniel Wass,D. Wass,1989-05-31,61.92,16.53,18.12,26,25,1,1987.0,79.48,22.08,20.6,1.6,0.08,11.2,7.24,17.44,17.64,56.48,23.0,2.52,0.28,0.16,0.0
1189,Superliga (DK),4286,Henrik Dalsgaard,H. Dalsgaard,1989-07-27,82.86,24.76,21.32,32,32,0,2987.0,93.34,37.25,36.22,0.41,0.12,0.44,2.75,37.78,12.09,4.38,88.97,2.62,0.09,0.09,0.0
1189,Superliga (DK),4830,Jay-Roy Grot,J. Grot,1998-03-13,78.98,22.8,22.9,29,28,1,2937.0,104.89,27.75,14.89,1.93,0.36,32.5,35.86,5.32,19.11,78.43,26.46,15.89,1.61,0.64,0.11
1189,Superliga (DK),4983,Jesper Hansen,J. Hansen,1985-03-31,99.16,29.88,25.75,30,30,0,1494.0,49.8,14.7,14.67,0.0,0.0,0.0,0.0,15.1,0.0,0.03,49.77,0.0,0.0,0.0,0.0
1189,Superliga (DK),5224,Jonas Lössl,J. Lössl,1989-02-01,102.62,26.58,28.04,5,5,0,264.0,52.8,19.4,19.0,0.2,0.0,0.0,0.0,20.6,0.0,0.0,52.8,0.0,0.0,0.0,0.0
1189,Superliga (DK),5334,Jordi Vanlerberghe,J. Vanlerberghe,1996-06-27,59.65,17.64,17.63,15,14,1,1025.0,73.21,26.07,25.14,0.64,0.0,1.79,1.86,25.93,28.36,5.93,67.29,1.21,0.29,0.0,0.0
1189,Superliga (DK),5843,Kevin Mbabu,K. Mbabu,1995-04-19,54.61,15.37,14.0,25,25,0,1564.0,62.56,21.72,20.0,0.6,0.0,6.84,2.76,19.08,47.32,5.12,57.44,1.72,0.32,0.04,0.0
1189,Superliga (DK),5899,Kian Hansen,K. Hansen,1989-03-03,41.06,14.33,11.22,5,5,0,379.0,75.8,35.8,35.6,0.2,0.0,0.2,0.4,35.8,8.0,0.8,75.0,0.4,0.2,0.2,0.0
1189,Superliga (DK),6058,Lasse Nielsen,L. Nielsen,1988-01-08,96.56,25.81,28.45,27,27,0,2426.0,89.85,33.44,32.33,0.3,0.0,0.93,2.26,32.7,18.44,7.78,82.07,1.93,0.19,0.11,0.0
1189,Superliga (DK),7040,Martin Hansen,M. Hansen,1990-06-15,102.02,26.1,29.0,3,3,0,149.0,49.67,16.33,16.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,49.67,0.0,0.0,0.0,0.0
1189,Superliga (DK),7157,Mathias Jattah-Njie Jørgensen,M. Jørgensen,1990-04-23,102.19,31.83,24.87,12,12,0,1340.0,111.67,47.17,45.92,0.33,0.0,0.58,2.67,46.5,11.08,6.92,104.75,2.75,0.25,0.0,0.0
1189,Superliga (DK),7429,Michael Gregoritsch,M. Gregoritsch,1994-04-18,39.0,10.99,10.86,11,11,0,543.0,49.36,12.27,6.64,1.0,0.0,13.82,20.0,3.55,5.91,39.36,10.0,9.73,0.91,0.45,0.0
