competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_cross_receiver_run,runtype_overlap_run,runtype_underlap_run,runtype_coming_short_run,runtype_pulling_half_space_run,runtype_run_ahead_of_the_ball,runtype_pulling_wide_run,runtype_support_run,runtype_dropping_off_run
1215,1. HNL (HR),433,28,Aleksandar Trajkovski,A. Trajkovski,3.6,0.0,0.6,4.2,1.8,41,1.4,1.6,0.6
1215,1. HNL (HR),903,87,Ante Rebić,A. Rebić,4.76,0.82,0.47,2.71,1.71,142,1.71,1.41,0.24
1215,1. HNL (HR),2343,17,Dario Melnjak,D. Melnjak,0.9,1.7,0.8,0.2,0.1,49,1.9,3.5,2.2
1215,1. HNL (HR),2882,73,Duje Čop,D. Čop,3.67,0.06,0.44,0.5,0.44,45,0.44,1.22,0.06
1215,1. HNL (HR),3442,36,Filip Krovinović,F. Krovinović,3.14,0.64,0.82,5.5,0.41,105,2.23,5.0,0.82
1215,1. HNL (HR),5484,8,Josip Radošević,J. Radošević,0.23,0.18,0.32,4.55,0.82,48,0.45,3.68,1.18
1215,1. HNL (HR),6908,19,Mario Tičinović,M. Tičinović,0.59,2.18,0.29,0.24,0.12,63,2.29,2.82,1.59
1215,1. HNL (HR),6975,64,Marko Livaja,M. Livaja,5.87,0.0,0.2,0.87,0.2,42,0.4,1.13,0.2
1215,1. HNL (HR),9610,0,Scott McKenna,S. McKenna,0.1,0.0,0.1,0.43,0.05,12,0.14,0.38,5.0
1215,1. HNL (HR),10498,1,Tomislav Božić,T. Božić,0.35,0.2,0.0,0.2,0.1,10,0.25,0.6,0.85
1215,1. HNL (HR),12171,23,Rafael Euclides Soares Camacho,Rafael Camacho,1.62,0.62,0.38,1.0,0.0,30,0.5,1.38,0.12
1215,1. HNL (HR),12194,0,Ronaël Pierre-Gabriel,R. Pierre-Gabriel,0.0,3.0,0.0,0.0,0.0,4,2.0,2.0,1.0
1215,1. HNL (HR),12221,11,Yassine Benrahou,Y. Benrahou,4.5,0.25,0.0,4.25,2.25,33,3.75,2.5,0.75
1215,1. HNL (HR),12372,126,Smail Prevljak,S. Prevljak,4.89,0.26,0.32,0.37,0.53,72,0.0,0.95,0.0
1215,1. HNL (HR),12418,46,Amer Gojak,A. Gojak,2.33,0.44,0.39,1.83,0.89,83,1.11,2.06,0.39
1215,1. HNL (HR),12428,0,Kévin Theophile-Catherine,K. Theophile-Catherine,0.0,0.0,0.0,0.33,0.0,2,0.33,0.67,3.67
1215,1. HNL (HR),12429,10,Marin Leovac,M. Leovac,0.17,1.83,0.67,0.0,0.0,11,1.83,1.5,2.17
1215,1. HNL (HR),12592,0,Borna  Barišić,B. Barišić,0.0,3.0,0.67,0.0,0.0,14,1.33,3.67,2.67
1215,1. HNL (HR),13013,47,Miha Zajc,M. Zajc,3.64,0.5,0.93,7.64,2.0,115,3.0,6.29,1.64
1215,1. HNL (HR),13301,0,Mateo Barać,M. Barać,0.2,0.0,0.0,0.4,0.0,0,0.0,0.4,2.0
1215,1. HNL (HR),13308,58,Dejan Ljubičić,D. Ljubičić,4.2,0.13,0.87,5.53,2.13,127,1.13,4.4,0.87
1215,1. HNL (HR),13582,1,Mario Šitum,M. Šitum,0.8,0.9,0.4,0.6,0.0,19,0.4,2.1,1.3
1215,1. HNL (HR),13583,66,Luka Menalo,L. Menalo,3.07,0.67,0.27,1.6,0.47,96,1.27,2.13,0.47
1215,1. HNL (HR),13609,3,Dario Maresić,D. Maresić,0.05,0.0,0.1,0.55,0.05,21,0.3,1.05,2.9
1215,1. HNL (HR),13775,4,Domagoj Antolić,D. Antolić,0.27,0.36,1.0,5.45,0.55,26,0.91,3.27,1.27
1215,1. HNL (HR),13779,29,Marko Vešović,M. Vešović,2.87,2.8,0.93,1.6,0.13,109,3.33,4.33,3.93
1215,1. HNL (HR),13785,43,Sandro Kulenović,S. Kulenović,3.47,0.33,0.07,0.6,0.47,36,0.13,0.47,0.0
1215,1. HNL (HR),14125,7,Ismael Bennacer,I. Bennacer,0.27,0.18,0.64,4.09,1.18,33,0.91,3.36,1.18
1215,1. HNL (HR),14128,100,Arnel Jakupović,A. Jakupović,6.5,0.11,0.06,1.83,0.44,78,0.39,1.83,0.11
1215,1. HNL (HR),14144,11,Marko Pajač,M. Pajač,1.29,3.47,1.0,1.88,0.0,120,2.35,4.06,1.65
1215,1. HNL (HR),14566,33,Ivan Fiolić,I. Fiolić,1.75,0.2,0.1,1.55,0.3,67,1.05,2.0,0.3
1215,1. HNL (HR),14593,0,Jakov Filipović,J. Filipović,0.09,0.0,0.09,0.35,0.0,4,0.17,0.39,3.61
1215,1. HNL (HR),16063,5,Josip Mišić,J. Mišić,0.0,0.1,0.1,3.1,0.38,27,0.19,2.14,1.29
1215,1. HNL (HR),16455,43,Ante Erceg,A. Erceg,2.88,0.25,0.0,1.75,1.0,34,0.62,0.88,0.5
1215,1. HNL (HR),16555,94,Michele Šego,M. Šego,6.05,0.4,0.1,1.3,0.4,124,1.15,0.85,0.35
1215,1. HNL (HR),16558,128,Jurica Pršir,J. Pršir,4.24,0.52,0.43,4.86,1.0,180,2.1,4.33,0.52
1215,1. HNL (HR),16573,1,Tonio Teklić,T. Teklić,0.5,0.0,0.0,2.25,0.25,10,1.5,1.75,1.0
1215,1. HNL (HR),16577,0,Roberto Punčec,R. Punčec,0.11,0.0,0.0,0.78,0.0,0,0.33,0.67,2.0
1215,1. HNL (HR),16580,7,Leonard Zuta,L. Zuta,0.0,1.07,0.27,0.13,0.0,33,1.07,3.47,1.93
