competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_run_ahead_of_the_ball
1212,2. Bundesliga (DE),670,1.2,Amin Younes,A. Younes,2.6
1212,2. Bundesliga (DE),1442,3.36,Branimir Hrgota,B. Hrgota,4.23
1212,2. Bundesliga (DE),1697,7.9,Cédric Itten,C. Itten,5.62
1212,2. Bundesliga (DE),2290,0.0,Danilo Teodoro Soares,Danilo Soares,4.5
1212,2. Bundesliga (DE),2454,0.0,David Kinsombi,D. Kinsombi,0.0
1212,2. Bundesliga (DE),2553,3.23,Dawid Kownacki,D. Kownacki,2.46
1212,2. Bundesliga (DE),2938,6.8,Edin Džeko,E. Džeko,3.2
1212,2. Bundesliga (DE),3235,0.19,Fabian Holland,F. Holland,1.0
1212,2. Bundesliga (DE),3372,4.06,Felix Klaus,F. Klaus,9.31
1212,2. Bundesliga (DE),3375,0.94,Felix Passlack,F. Passlack,2.81
1212,2. Bundesliga (DE),4168,1.14,Håvard Kallevik Nielsen,H. Nielsen,1.0
1212,2. Bundesliga (DE),4864,0.0,Jean-Paul Boëtius,J. Boëtius,1.5
1212,2. Bundesliga (DE),5375,0.89,Jorrit Hendrix,J. Hendrix,6.68
1212,2. Bundesliga (DE),5573,0.53,Julian Green,J. Green,3.18
1212,2. Bundesliga (DE),5775,3.23,Kenan Karaman,K. Karaman,6.41
1212,2. Bundesliga (DE),5880,0.0,Kevin Vogt,K. Vogt,0.29
1212,2. Bundesliga (DE),7086,1.5,Marvin Marcel  Schulz,M. Schulz,7.0
1212,2. Bundesliga (DE),7268,0.82,Matthias Zimmermann,M. Zimmermann,4.53
1212,2. Bundesliga (DE),8108,3.62,Noah Joel Sarenren Bazee,N. Sarenren Bazee,3.31
1212,2. Bundesliga (DE),8484,0.0,Paul Seguin,P. Seguin,3.4
1212,2. Bundesliga (DE),9159,0.07,Robin Knoche,R. Knoche,0.73
1212,2. Bundesliga (DE),9648,0.41,Sebastian Jung,S. Jung,5.24
1212,2. Bundesliga (DE),9664,2.6,Sebastian Polter,S. Polter,0.6
1212,2. Bundesliga (DE),9979,1.5,Stefan Kutschke,S. Kutschke,1.38
1212,2. Bundesliga (DE),10725,6.0,Vincent Vermeij,V. Vermeij,5.23
1212,2. Bundesliga (DE),11558,0.53,Deyovaisio Zeefuik,D. Zeefuik,2.35
1212,2. Bundesliga (DE),11750,0.11,Diego Demme,D. Demme,2.0
1212,2. Bundesliga (DE),12202,10.1,Moussa Sylla,M. Sylla,3.7
1212,2. Bundesliga (DE),12227,0.17,Ibrahima Sissoko,I. Sissoko,2.83
1212,2. Bundesliga (DE),12658,5.67,Steven Skrzybski,S. Skrzybski,7.6
1212,2. Bundesliga (DE),12748,0.45,Dženis Burnić,D. Burnić,2.8
1212,2. Bundesliga (DE),12791,0.0,Paul Will,P. Will,1.2
1212,2. Bundesliga (DE),12921,3.4,Mahir Madatov Emreli,M. Emreli,3.2
1212,2. Bundesliga (DE),13029,2.0,Jón Dagur Thorsteinsson,J. Thorsteinsson,6.9
1212,2. Bundesliga (DE),13303,0.2,Stefan Schwab,S. Schwab,1.8
1212,2. Bundesliga (DE),13308,5.75,Dejan Ljubičić,D. Ljubičić,9.25
1212,2. Bundesliga (DE),13547,0.33,Oliver Olsen,O. Olsen,2.33
1212,2. Bundesliga (DE),13608,1.55,Raphael Obermair,R. Obermair,4.85
