competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1230,Eredivisie (NL),90,Aaron Meijers,A. Meijers,1987-10-28,53.22,13.79,16.33,11,10,1,492.0,49.2,15.4,14.1,0.3,0.0,7.7,2.8,13.0,32.6,5.3,43.9,1.0,0.0,0.0,0.0
1230,Eredivisie (NL),348,Alassane Pléa,A. Pléa,1993-03-10,59.09,22.74,12.96,2,2,0,230.0,115.0,26.0,19.0,3.5,2.0,24.0,57.0,6.5,8.5,88.5,26.5,35.5,4.0,2.0,1.0
1230,Eredivisie (NL),442,Alen Halilović,A. Halilović,1996-06-18,10.83,3.29,2.16,5,5,0,68.0,13.6,6.0,4.8,0.6,0.2,2.8,2.8,4.2,4.6,7.2,6.4,1.8,0.4,0.2,0.0
1230,Eredivisie (NL),715,André Ayew,A. Ayew,1989-12-17,54.36,14.68,14.01,17,16,1,1145.0,71.56,20.56,11.31,1.69,0.06,18.12,25.31,4.38,14.81,52.38,19.19,14.0,1.25,0.88,0.06
1230,Eredivisie (NL),1197,Bart Nieuwkoop,B. Nieuwkoop,1996-03-07,37.02,10.56,9.22,17,16,1,641.0,40.06,11.12,9.69,0.25,0.0,6.69,5.56,8.25,19.81,9.81,30.25,3.31,0.31,0.12,0.0
1230,Eredivisie (NL),1223,Bas Kuipers,B. Kuipers,1994-08-17,22.11,5.86,5.58,7,7,0,168.0,24.0,7.57,6.29,0.86,0.0,4.57,5.43,5.0,11.57,6.57,17.43,2.29,0.29,0.14,0.0
1230,Eredivisie (NL),1337,Bertrand Isidore Traoré,B. Traoré,1995-09-06,62.76,22.3,17.98,1,1,0,80.0,80.0,26.0,22.0,2.0,0.0,23.0,20.0,16.0,39.0,20.0,60.0,11.0,1.0,1.0,0.0
1230,Eredivisie (NL),1435,Bram Nuytinck,B. Nuytinck,1990-05-04,49.67,13.92,10.99,7,6,1,238.0,39.67,15.33,14.33,0.0,0.0,0.83,1.83,14.33,3.83,4.0,35.67,1.5,0.0,0.0,0.0
1230,Eredivisie (NL),1440,Brandley Kuwas,B. Kuwas,1992-09-19,68.87,17.99,21.13,31,30,1,2288.0,76.27,26.3,17.8,2.13,0.2,24.43,18.73,9.23,15.27,52.43,23.83,9.23,0.87,0.3,0.07
1230,Eredivisie (NL),1509,Bruno Martins Indi,B. Martins Indi,1992-02-08,87.97,23.71,27.06,25,25,0,2071.0,82.84,33.2,32.72,0.32,0.0,0.76,2.04,33.0,11.36,6.32,76.52,1.8,0.24,0.12,0.0
1230,Eredivisie (NL),1541,Bryan Linssen,B. Linssen,1990-10-08,74.69,23.64,16.93,32,28,4,2638.0,94.21,22.61,11.96,2.32,0.36,33.29,36.5,5.36,19.54,62.89,31.32,19.14,1.82,0.79,0.18
1230,Eredivisie (NL),2300,Danny Bakker,D. Bakker,1995-01-16,95.99,23.76,28.63,29,26,3,2211.0,85.04,29.92,29.0,1.0,0.19,2.5,3.92,28.88,30.85,10.27,74.77,2.58,0.23,0.12,0.0
1230,Eredivisie (NL),2548,Davy Klaassen,D. Klaassen,1993-02-21,68.78,22.79,18.11,30,29,1,2928.0,100.97,21.07,16.76,1.76,0.38,28.17,24.07,11.41,19.24,81.1,19.86,12.14,1.07,0.48,0.14
1230,Eredivisie (NL),2614,Denis Odoi,D. Odoi,1988-05-27,86.7,24.7,23.3,19,18,1,1394.0,77.44,24.39,22.61,0.22,0.0,5.06,3.44,22.0,33.89,7.56,69.89,2.61,0.28,0.0,0.0
1230,Eredivisie (NL),2776,Dion Malone,D. Malone,1989-02-13,23.0,5.09,7.49,11,9,2,110.0,12.22,3.0,2.78,0.11,0.0,0.11,0.11,2.78,1.78,2.44,9.78,0.11,0.0,0.0,0.0
1230,Eredivisie (NL),4318,Hidde Jurjus,H. Jurjus,1994-02-09,86.34,21.38,25.53,7,7,0,290.0,41.43,18.57,18.43,0.0,0.0,0.0,0.0,18.43,0.0,0.14,41.29,0.0,0.0,0.0,0.0
1230,Eredivisie (NL),4545,Ivan Perišić,I. Perišić,1989-02-02,77.2,27.06,17.92,30,29,1,2937.0,101.28,34.93,30.0,3.21,0.52,28.62,18.31,23.55,61.0,29.31,71.97,8.69,1.38,0.48,0.0
1230,Eredivisie (NL),4568,Ivo Daniel Ferreira Mendonca Pinto,Ivo Pinto,1990-01-07,78.19,18.29,23.2,28,28,0,1861.0,66.46,21.61,19.57,1.18,0.18,9.79,1.71,18.79,52.07,3.68,62.79,0.46,0.07,0.0,0.0
1230,Eredivisie (NL),4651,Jamiro Gregory Monteiro Alvarenga,Jamiro Monteiro,1993-11-23,63.28,15.26,19.95,21,20,1,1428.0,71.4,23.6,20.4,1.3,0.2,16.0,8.45,16.85,24.6,45.9,25.5,2.5,0.3,0.25,0.05
1230,Eredivisie (NL),4777,Jasper Cillessen,J. Cillessen,1989-04-22,53.74,8.72,17.91,3,2,1,21.0,10.5,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0
