competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1194,Jupiler Pro League (BE),609,Alireza Jahanbakhsh,A. Jahanbakhsh,1993-08-11,48.71,12.7,12.39,21,21,0,1340.0,63.81,19.95,15.48,1.29,0.1,16.43,9.81,11.52,32.0,30.81,33.0,3.71,0.33,0.05,0.0
1194,Jupiler Pro League (BE),1266,Benito Raman,B. Raman,1994-11-07,41.8,10.83,10.16,28,28,0,1280.0,45.71,12.39,6.57,0.96,0.14,12.43,17.5,3.25,9.93,30.39,15.32,7.11,0.64,0.29,0.04
1194,Jupiler Pro League (BE),1353,Birger Verstraete,B. Verstraete,1994-04-16,74.44,17.77,19.49,26,25,1,1469.0,58.76,15.24,14.08,0.48,0.2,5.48,0.84,12.08,8.6,41.72,17.04,0.2,0.0,0.0,0.0
1194,Jupiler Pro League (BE),1386,Boli Bolingoli-Mbombo,B. Bolingoli-Mbombo,1995-07-01,42.62,8.75,14.19,3,3,0,135.0,45.0,15.67,13.67,0.0,0.0,4.67,6.0,12.0,30.67,9.67,35.33,2.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),1441,Brandon Mechele,B. Mechele,1993-01-28,97.66,30.95,22.84,39,38,1,4862.0,127.95,50.37,49.05,0.82,0.08,2.53,3.89,49.32,21.87,9.47,118.47,3.0,0.45,0.24,0.03
1194,Jupiler Pro League (BE),1539,Bryan Heynen,B. Heynen,1997-02-06,98.38,31.26,24.29,40,39,1,5417.0,138.9,48.1,44.21,2.41,0.13,23.08,10.44,38.97,41.56,77.13,61.77,4.95,0.31,0.18,0.0
1194,Jupiler Pro League (BE),1971,Colin Coosemans,C. Coosemans,1992-08-03,100.1,26.89,24.94,38,36,2,1277.0,35.47,14.28,14.03,0.03,0.03,0.08,0.0,14.86,0.03,0.11,35.36,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),2550,Davy Roef,D. Roef,1994-02-06,99.78,26.49,28.42,41,39,2,1752.0,44.92,17.59,17.33,0.0,0.0,0.08,0.0,18.03,0.0,0.26,44.67,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),2645,Dennis Praet,D. Praet,1994-05-14,89.58,23.78,23.16,31,30,1,2843.0,94.77,25.73,23.53,1.5,0.03,14.0,4.17,20.43,26.0,53.37,41.4,1.07,0.27,0.13,0.0
1194,Jupiler Pro League (BE),4167,Gyrano Kerk,G. Kerk,1995-12-02,82.67,21.13,22.38,27,26,1,2344.0,90.15,26.73,16.0,1.65,0.12,29.12,26.27,8.46,28.54,50.65,39.5,11.5,1.04,0.46,0.0
1194,Jupiler Pro League (BE),4193,Hannes Van der Bruggen,H. Van der Bruggen,1993-04-01,86.2,20.02,22.96,32,32,0,2764.0,86.38,22.25,20.31,1.25,0.06,9.25,3.5,16.66,21.56,65.16,21.22,1.03,0.16,0.09,0.0
1194,Jupiler Pro League (BE),4202,Hans Vanaken,H. Vanaken,1992-08-24,96.27,30.92,22.47,39,38,1,5482.0,144.26,51.11,47.24,3.39,0.45,29.32,19.66,40.34,35.34,94.32,49.95,10.03,1.16,0.68,0.11
1194,Jupiler Pro League (BE),4271,Hendrik Van Crombrugge,H. Van Crombrugge,1993-04-30,101.5,33.17,23.14,12,12,0,520.0,43.33,19.67,19.42,0.0,0.0,0.0,0.0,19.83,0.0,0.0,43.33,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),4899,Jelle Vossen,J. Vossen,1989-03-22,33.61,9.65,7.48,17,17,0,750.0,44.12,9.88,5.53,0.94,0.0,13.24,19.71,2.59,5.24,32.82,11.29,10.71,0.88,0.53,0.0
1194,Jupiler Pro League (BE),5143,Joey Pelupessy,J. Pelupessy,1993-05-15,99.86,22.41,28.17,2,2,0,144.0,72.0,16.5,16.0,0.0,0.0,11.0,0.0,13.5,12.0,44.5,27.5,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),5369,Joris Kayembe Ditu ,J. Kayembe,1994-08-08,82.45,25.89,20.49,28,27,1,2930.0,108.52,43.81,40.85,1.52,0.04,13.37,8.11,39.37,68.11,14.56,93.96,3.22,0.52,0.11,0.0
1194,Jupiler Pro League (BE),6777,Marco Ilaimaharitra,M. Ilaimaharitra,1995-07-26,85.77,19.71,24.88,31,31,0,2572.0,82.97,25.03,23.48,0.61,0.03,8.94,1.97,19.16,21.61,58.03,24.94,0.48,0.03,0.0,0.0
1194,Jupiler Pro League (BE),7209,Mats Rits,M. Rits,1993-07-18,33.91,6.09,10.91,3,3,0,79.0,26.33,7.0,6.33,0.33,0.0,2.0,2.67,6.33,3.33,17.0,9.33,0.67,0.33,0.33,0.0
1194,Jupiler Pro League (BE),8035,Nicolas Rommens,N. Rommens,1994-12-17,24.75,3.83,8.02,1,1,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),8109,Noë Dussenne,N. Dussenne,1992-04-07,87.59,21.61,23.22,22,21,1,1420.0,67.62,26.81,25.86,0.24,0.0,1.29,4.38,26.0,5.05,9.81,57.81,3.71,0.24,0.05,0.0
1194,Jupiler Pro League (BE),8701,Pieter Gerkens,P. Gerkens,1995-02-17,88.9,20.79,23.59,35,35,0,3558.0,101.66,22.46,16.86,1.51,0.17,20.0,20.03,11.86,28.74,79.03,22.63,11.09,0.69,0.31,0.03
1194,Jupiler Pro League (BE),9073,Rob Schoofs,R. Schoofs,1994-03-23,61.98,16.86,16.09,36,36,0,2974.0,82.61,22.86,20.25,1.53,0.33,15.28,10.64,16.61,20.08,60.31,22.31,3.33,0.33,0.17,0.0
1194,Jupiler Pro League (BE),9259,Roman Neustädter,R. Neustädter,1988-02-18,83.99,20.43,23.38,18,17,1,1198.0,70.47,24.59,23.94,0.24,0.0,0.41,1.65,24.12,8.76,8.53,61.94,1.71,0.12,0.06,0.0
1194,Jupiler Pro League (BE),9835,Siebe Schrijvers,S. Schrijvers,1996-07-18,75.48,18.71,19.83,29,29,0,2119.0,73.07,21.79,19.76,1.55,0.1,12.76,7.03,16.86,18.69,48.38,24.69,2.62,0.17,0.07,0.0
1194,Jupiler Pro League (BE),9870,Simon Mignolet,S. Mignolet,1988-03-06,94.02,31.86,21.15,12,11,1,531.0,48.27,18.91,18.55,0.0,0.0,0.0,0.0,18.73,0.0,0.0,48.27,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),9924,Sofiane Boufal,S. Boufal,1993-09-17,24.88,6.6,5.36,9,9,0,329.0,36.56,10.78,8.67,1.22,0.22,12.0,9.56,5.56,11.44,26.89,9.67,2.44,0.56,0.33,0.0
1194,Jupiler Pro League (BE),10326,Thorgan Hazard,T. Hazard,1993-03-29,83.86,22.52,20.75,36,34,2,4298.0,126.41,39.24,31.91,3.41,0.35,33.74,23.32,23.47,48.32,72.29,54.12,11.47,1.44,0.59,0.03
1194,Jupiler Pro League (BE),10709,Vincent Janssen,V. Janssen,1994-06-15,96.81,25.73,24.44,35,34,1,3463.0,101.85,29.79,18.47,2.76,0.32,32.76,33.82,8.5,16.0,68.94,32.91,16.62,1.68,1.03,0.09
1194,Jupiler Pro League (BE),11417,Jean-Kévin Duverne,J. Duverne,1997-07-12,57.7,15.31,16.73,22,21,1,1379.0,65.67,20.52,19.48,0.48,0.19,7.05,2.62,18.81,48.81,5.05,60.62,2.0,0.1,0.1,0.0
1194,Jupiler Pro League (BE),11435,Isaac Mbenza,I. Mbenza,1996-03-08,52.48,15.54,11.67,4,4,0,263.0,65.75,20.5,16.25,1.0,0.0,19.25,8.0,12.0,41.75,15.0,50.75,3.5,0.25,0.25,0.0
1194,Jupiler Pro League (BE),11493,Ludwig Augustinsson,L. Augustinsson,1994-04-21,84.62,22.74,21.5,27,25,2,2524.0,100.96,33.4,31.4,1.64,0.08,9.56,7.92,29.64,68.48,12.28,88.68,3.12,0.52,0.2,0.04
1194,Jupiler Pro League (BE),11562,Kasper Dolberg,K. Dolberg,1997-10-06,45.43,13.56,7.63,3,3,0,206.0,68.67,13.67,7.67,2.33,0.0,18.0,30.67,3.0,11.0,49.0,19.67,24.33,1.0,0.67,0.0
1194,Jupiler Pro League (BE),12396,Sergiy Sydorchuk,S. Sydorchuk,1991-05-02,22.46,5.53,6.48,16,14,2,380.0,27.14,7.14,6.14,0.29,0.0,4.43,2.57,5.29,6.79,21.71,5.43,0.71,0.21,0.07,0.0
1194,Jupiler Pro League (BE),12442,Yannick Thoelen,Y. Thoelen,1990-07-18,79.57,21.53,20.93,7,7,0,221.0,31.57,10.29,10.29,0.0,0.0,0.0,0.0,10.71,0.0,0.0,31.57,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),12449,Wilfried Kanga Aka,W. Kanga,1998-02-21,84.5,22.72,23.92,36,35,1,3471.0,99.17,29.46,14.0,2.11,0.26,29.54,45.09,3.03,7.69,82.54,16.63,23.66,1.37,0.74,0.11
1194,Jupiler Pro League (BE),12674,Thibault Vlietinck,T. Vlietinck,1997-08-19,40.8,9.79,11.29,9,9,0,366.0,40.67,11.67,8.33,0.67,0.0,14.0,3.44,7.44,29.33,6.22,34.44,1.78,0.22,0.11,0.0
1194,Jupiler Pro League (BE),13001,Maxence Prévôt,M. Prévôt,1997-04-09,92.13,23.08,22.62,9,9,0,340.0,37.78,15.78,15.78,0.0,0.0,0.0,0.0,16.11,0.0,0.0,37.78,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),13229,Patrik Hrošovský,P. Hrošovský,1992-04-22,72.79,24.55,16.16,16,15,1,1645.0,109.67,30.27,27.27,2.6,0.13,18.67,11.2,22.2,21.87,77.07,32.6,4.0,0.47,0.33,0.07
1194,Jupiler Pro League (BE),13367,Abdoulaye Sissako,A. Sissako,1998-05-26,90.73,27.04,23.26,40,38,2,4104.0,108.0,29.79,28.03,0.87,0.03,15.5,5.68,23.87,25.32,72.26,35.74,3.32,0.32,0.08,0.03
1194,Jupiler Pro League (BE),13421,Brent Gabriël,B. Gabriël,1999-01-27,99.43,26.18,28.1,36,35,1,1290.0,36.86,16.83,16.74,0.03,0.0,0.0,0.0,17.17,0.0,0.03,36.83,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),13439,Timothy Eyoma,T. Eyoma,2000-01-29,59.3,11.28,17.73,2,2,0,71.0,35.5,12.5,11.0,0.5,0.0,3.5,2.0,11.0,19.0,3.5,32.0,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),13483,Boureima Hassane Bandé,H. Bandé,1998-10-30,17.55,4.15,3.75,7,6,1,138.0,23.0,7.0,4.33,0.67,0.0,7.33,10.5,1.83,5.17,16.67,6.33,4.83,0.5,0.17,0.0
1194,Jupiler Pro League (BE),13757,William Balikwisha,W. Balikwisha,1999-05-12,32.62,8.02,8.71,11,11,0,396.0,36.0,10.82,8.27,0.64,0.0,9.09,7.55,5.55,18.27,16.64,19.36,4.09,0.55,0.18,0.0
