competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_cross_receiver_run,runtype_overlap_run,runtype_underlap_run,runtype_coming_short_run,runtype_pulling_half_space_run,runtype_run_ahead_of_the_ball,runtype_pulling_wide_run,runtype_support_run,runtype_dropping_off_run
1173,Super Liga (RS),222,0.5,Adem Ljajić,A. Ljajić,3.0,3.0,0.0,8.5,0.0,7.0,0.5,7.5,3.0
1173,Super Liga (RS),397,6.5,Aldo Kalulu Kyatengwa,A. Kalulu,2.0,1.0,1.0,0.0,0.5,4.0,1.5,0.5,0.5
1173,Super Liga (RS),6969,10.1,Marko Arnautović,M. Arnautović,6.6,0.3,0.4,1.8,1.5,5.4,1.0,1.3,0.2
1173,Super Liga (RS),6984,0.08,Marko Poletanović,M. Poletanović,0.17,0.17,0.33,2.0,0.17,0.83,0.17,2.58,0.0
1173,Super Liga (RS),7652,0.0,Miloš Kosanović,M. Kosanović,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.0,3.0
1173,Super Liga (RS),7659,0.11,Miloš Veljković,M. Veljković,0.22,0.11,0.11,0.89,0.0,0.11,0.22,1.11,4.89
1173,Super Liga (RS),7809,0.07,Muhamed Bešić,M. Bešić,0.13,0.2,0.13,3.8,0.07,2.33,0.47,1.8,2.4
1173,Super Liga (RS),7922,0.0,Nenad Tomović,N. Tomović,0.13,0.13,0.04,0.26,0.0,0.43,0.13,0.3,2.52
1173,Super Liga (RS),8772,0.27,Rade Krunić,R. Krunić,0.53,0.4,0.4,7.4,0.47,2.2,0.33,5.0,1.4
1173,Super Liga (RS),9664,5.75,Sebastian Polter,S. Polter,3.25,0.0,0.0,0.5,1.0,2.0,0.0,0.25,0.0
1173,Super Liga (RS),9982,0.0,Stefan Mitrović,S. Mitrović,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.67,4.33
1173,Super Liga (RS),9990,2.5,Stefan Šćepović,S. Šćepović,3.4,0.1,0.0,1.6,0.1,2.3,0.4,0.8,0.1
1173,Super Liga (RS),10597,0.09,Uroš Vitas,U. Vitas,0.64,0.09,0.09,0.27,0.09,0.55,0.09,0.91,2.82
1173,Super Liga (RS),11186,1.54,Olivier Thill,O. Thill,3.92,0.0,0.31,9.38,2.54,8.85,1.38,4.85,0.15
1173,Super Liga (RS),11815,1.5,Milan Rodić,M. Rodić,0.5,0.0,0.0,0.5,0.0,2.0,1.0,3.5,0.0
1173,Super Liga (RS),11819,1.7,Nemanja Radonjić,N. Radonjić,1.7,0.3,0.5,0.4,0.1,2.8,1.1,2.1,0.3
1173,Super Liga (RS),11893,0.0,Miloš Degenek,M. Degenek,0.0,0.08,0.0,0.08,0.0,0.08,0.08,0.15,2.0
1173,Super Liga (RS),12217,0.0,Vukašin Jovanović,V. Jovanović,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1173,Super Liga (RS),12347,1.43,Marko  Gobeljić,M. Gobeljić,0.43,0.71,0.5,0.14,0.0,3.07,0.93,4.0,1.64
1173,Super Liga (RS),12349,1.33,Stefan Hajdin,S. Hajdin,3.33,0.22,1.0,1.33,0.28,4.83,0.78,2.89,0.33
1173,Super Liga (RS),12353,1.0,Slavoljub Srnić,S. Srnić,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1173,Super Liga (RS),12358,0.25,Dušan Jovančić,D. Jovančić,0.31,0.44,0.06,2.12,0.5,2.5,1.12,3.5,1.06
1173,Super Liga (RS),12363,1.0,Milan Pavkov,M. Pavkov,0.6,0.07,0.07,0.07,0.0,1.0,0.0,0.33,0.0
1173,Super Liga (RS),12833,4.53,Nair Tiknizyan,N. Tiknizyan,1.07,5.4,3.07,1.2,0.07,9.87,2.87,4.6,2.8
1173,Super Liga (RS),12901,0.64,Bibras Natcho,B. Natcho,1.5,0.14,0.18,2.09,0.59,3.59,0.05,3.14,0.18
1173,Super Liga (RS),12945,0.0,Marko Petković,M. Petković,0.5,1.0,0.5,0.0,0.0,1.5,2.5,6.0,1.0
1173,Super Liga (RS),12970,0.0,Saša Marković,S. Marković,0.8,0.0,0.0,1.6,0.2,1.4,0.2,1.4,0.2
1173,Super Liga (RS),13004,1.0,Farid Boulaya,F. Boulaya,3.5,0.25,0.5,6.5,1.25,6.5,1.5,5.0,0.75
1173,Super Liga (RS),13071,0.69,Nemanja Miletić,N. Miletić,0.23,0.77,0.69,0.0,0.0,1.46,1.85,2.15,2.85
1173,Super Liga (RS),13072,0.1,Branko Jovičić,B. Jovičić,0.05,0.65,0.3,3.5,0.5,2.5,0.9,4.95,1.55
1173,Super Liga (RS),13260,5.29,Mirko Ivanić,M. Ivanić,5.47,1.41,1.24,3.06,1.18,9.29,1.59,3.76,1.06
1173,Super Liga (RS),13616,3.33,Peter Oladeji Olayinka,P. Olayinka,4.33,0.0,0.33,1.0,0.0,2.0,0.33,0.67,0.0
1173,Super Liga (RS),13717,6.0,Mario Jurčevič,M. Jurčevič,1.89,3.89,3.44,0.56,0.67,11.11,1.22,5.11,1.56
1173,Super Liga (RS),13813,3.0,Wanderson de Jesus Martins,Caju,0.33,1.33,0.67,0.33,0.0,5.67,1.33,3.67,2.0
1173,Super Liga (RS),14198,0.13,Lazar Nikolić,L. Nikolić,0.09,2.09,0.39,0.35,0.04,2.61,3.09,4.78,2.52
1173,Super Liga (RS),14205,0.19,Yohan Bilingi,Y. Bilingi,0.29,0.52,0.33,0.33,0.05,0.95,0.67,2.14,1.67
1173,Super Liga (RS),14739,7.67,Cherif Ndiaye,C. Ndiaye,6.0,0.0,0.0,1.67,0.33,1.33,0.0,0.0,0.33
