competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count,pass_count_goalwithin10s,pass_count_shotwithin10s,pass_count_attempted_total,pass_count_attempted,pass_count_completed,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted,pass_count_onetouch_attempted,pass_count_quickpass_attempted,pass_count_onetouch_dangerous_attempted,pass_count_quickpass_dangerous_attempted,passopportunity_count_linebreak,pass_count_linebreak_attempted,pass_count_linebreak_completed,passopportunity_count_torun,pass_count_torun_attempted,pass_count_torun_completed,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s,pass_count_torun_goalwithin10s,passopportunity_count_dangerous,pass_count_dangerous_attempted,pass_pct_dangerous_completed,pass_count_dangerous_completed,pass_count_difficultpass_attempted
1207,Liga I (RO),78,Alexandru Chipciu,A. Chipciu,1989-05-18,90.27,25.13,23.81,33,31,2,4088.0,131.87,0.23,1.87,1343.0,43.32,35.16,81.16,82.63,17.1,3.03,11.71,7.68,0.61,0.35,29.35,9.26,6.81,32.9,11.16,8.87,79.48,75.4,0.9,0.13,16.16,3.81,54.24,2.06,9.68
1207,Liga I (RO),2049,Cristian Manea,C. Manea,1997-08-09,65.22,17.83,16.52,21,20,1,1413.0,70.65,0.15,1.4,553.0,27.65,21.45,77.58,80.85,14.09,0.95,6.6,7.1,0.65,0.3,14.7,5.25,3.95,20.5,8.75,6.55,74.86,74.3,0.7,0.1,9.8,2.85,33.33,0.95,7.0
1207,Liga I (RO),2149,Damjan Djoković,D. Djoković,1990-04-18,73.12,17.65,21.03,29,29,0,2313.0,79.76,0.03,0.79,873.0,30.1,25.28,83.96,86.89,17.06,2.1,10.79,6.34,0.28,0.28,12.93,3.45,2.72,9.31,3.52,2.86,81.37,80.88,0.14,0.03,4.69,1.17,41.18,0.48,4.48
1207,Liga I (RO),2153,Dan Nistor,D. Nistor,1988-05-06,63.2,19.03,15.02,28,27,1,2658.0,98.44,0.41,1.85,889.0,32.93,28.19,85.6,85.62,15.53,2.33,11.89,7.67,1.11,0.78,10.37,2.15,1.52,19.37,6.96,5.41,77.66,71.88,0.93,0.3,16.81,4.3,56.9,2.44,4.63
1207,Liga I (RO),2609,Denis Alibec,D. Alibec,1991-01-05,64.03,19.28,15.39,19,18,1,1082.0,60.11,0.11,1.94,290.0,16.11,11.44,71.03,71.58,16.39,1.28,5.0,2.67,1.83,1.0,4.78,1.72,1.06,22.72,6.72,5.0,74.38,66.46,1.33,0.06,21.28,6.44,61.21,3.94,6.22
1207,Liga I (RO),3514,Florin Bejan,F. Bejan,1991-03-28,62.13,12.63,21.68,11,10,1,434.0,43.4,0.0,0.0,160.0,16.0,12.5,78.12,82.82,19.29,1.3,4.9,2.6,0.0,0.0,10.8,4.0,3.0,4.3,1.6,1.4,87.5,83.8,0.0,0.0,1.3,0.5,40.0,0.2,3.6
1207,Liga I (RO),3830,George Pușcaș,G. Pușcaș,1996-04-08,58.07,14.99,14.2,7,7,0,225.0,32.14,0.0,0.57,54.0,7.71,6.29,81.48,79.2,12.11,0.29,2.71,0.57,0.43,0.14,0.57,0.0,0.0,12.71,3.71,3.29,88.46,72.89,0.71,0.0,6.57,1.29,66.67,0.86,1.86
1207,Liga I (RO),3836,Georgi Milanov,G. Milanov,1992-02-19,33.47,9.69,7.33,32,31,1,1610.0,51.94,0.13,0.74,526.0,16.97,14.52,85.55,87.85,14.26,0.55,3.81,4.32,0.42,0.19,7.26,1.35,0.94,9.1,2.97,2.16,72.83,76.66,0.26,0.06,5.65,1.32,51.22,0.68,2.35
1207,Liga I (RO),3876,Gheorghe Grozav,G. Grozav,1990-09-29,81.62,20.28,21.63,37,35,2,2072.0,59.2,0.06,1.57,685.0,19.57,14.94,76.35,77.5,14.07,1.0,7.06,3.2,1.31,0.63,5.09,1.91,1.51,18.49,6.86,5.06,73.75,70.45,0.89,0.06,14.97,4.14,53.1,2.2,5.34
1207,Liga I (RO),4491,Islam Slimani,I. Slimani,1988-06-18,40.02,10.18,10.33,13,13,0,363.0,27.92,0.08,1.23,134.0,10.31,7.85,76.12,79.02,14.18,0.46,4.54,1.85,0.77,0.23,1.38,0.38,0.23,10.23,4.08,2.77,67.93,75.23,0.62,0.0,9.0,2.46,59.38,1.46,2.31
