competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count,pass_count_goalwithin10s,pass_count_shotwithin10s,pass_count_attempted_total,pass_count_attempted,pass_count_completed,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted,pass_count_onetouch_attempted,pass_count_quickpass_attempted,pass_count_onetouch_dangerous_attempted,pass_count_quickpass_dangerous_attempted,passopportunity_count_linebreak,pass_count_linebreak_attempted,pass_count_linebreak_completed,passopportunity_count_torun,pass_count_torun_attempted,pass_count_torun_completed,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s,pass_count_torun_goalwithin10s,passopportunity_count_dangerous,pass_count_dangerous_attempted,pass_pct_dangerous_completed,pass_count_dangerous_completed,pass_count_difficultpass_attempted
1208,1. SNL (SI),1302,Benjamin Tetteh,B. Tetteh,1997-07-10,64.57,17.56,14.45,27,24,3,1069.0,44.54,0.12,1.25,284.0,11.83,8.71,73.59,73.94,13.32,0.67,4.38,1.58,1.5,0.71,0.92,0.21,0.12,16.0,4.33,3.21,74.04,70.7,0.79,0.08,17.96,4.12,66.67,2.75,3.71
1208,1. SNL (SI),2587,Dejan Lazarević,D. Lazarević,1990-02-15,17.41,2.08,5.28,2,2,0,6.0,3.0,0.0,0.0,3.0,1.5,0.5,33.33,46.95,4.87,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,70.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0
1208,1. SNL (SI),2990,Hillel El Arbi Soudani,H. Soudani,1987-11-25,50.17,13.12,11.92,29,27,2,940.0,34.81,0.07,1.19,275.0,10.19,7.63,74.91,74.58,14.22,0.52,3.04,1.48,0.96,0.37,1.22,0.3,0.19,14.67,4.48,3.22,71.9,68.43,0.7,0.07,12.37,3.44,54.84,1.89,3.33
1208,1. SNL (SI),3494,Florian  Hartherz,F. Hartherz,1993-05-29,72.0,22.16,17.17,16,13,3,1317.0,101.31,0.46,1.31,483.0,37.15,32.15,86.54,84.06,16.86,2.77,8.15,8.46,1.0,0.15,26.69,8.31,7.08,23.62,10.15,8.85,87.12,77.22,0.46,0.15,11.08,2.77,52.78,1.46,7.38
1208,1. SNL (SI),4212,Haris Vučkič,H. Vučkič,1992-08-21,71.43,16.48,22.57,13,12,1,698.0,58.17,0.0,1.5,215.0,17.92,15.0,83.72,79.95,16.29,1.25,5.0,3.75,0.83,1.08,5.58,1.75,0.92,21.58,8.0,6.75,84.38,76.57,1.08,0.0,14.67,3.75,71.11,2.67,4.0
1208,1. SNL (SI),4757,Jasmin Kurtič,J. Kurtič,1989-01-10,28.9,7.0,7.12,10,9,1,289.0,32.11,0.0,0.22,87.0,9.67,8.33,86.21,86.75,15.68,0.56,2.67,1.67,0.33,0.0,3.89,1.11,0.89,3.56,1.56,1.22,78.57,67.9,0.11,0.0,3.67,1.11,70.0,0.78,1.22
1208,1. SNL (SI),5482,Josip Iličić,J. Iličić,1988-01-29,66.59,18.46,15.51,28,23,5,1537.0,66.83,0.39,1.96,402.0,17.48,12.48,71.39,73.19,16.22,1.43,4.91,2.61,1.04,0.91,7.83,2.26,1.52,24.3,7.7,5.3,68.93,69.08,1.04,0.26,24.78,5.7,58.02,3.3,6.04
1208,1. SNL (SI),6459,Luka Krajnc,L. Krajnc,1994-09-19,81.77,24.19,16.66,14,13,1,1359.0,104.54,0.0,0.69,509.0,39.15,33.38,85.27,89.6,19.54,3.54,6.23,6.0,0.15,0.08,32.92,8.0,6.0,13.23,4.62,3.85,83.33,82.94,0.31,0.0,4.85,0.69,33.33,0.23,5.46
1208,1. SNL (SI),9811,Sheyi Ojo,S. Ojo,1997-06-19,82.33,22.73,18.42,28,26,2,2806.0,107.92,0.19,2.38,748.0,28.77,22.38,77.81,79.06,16.88,2.5,4.46,3.85,0.77,0.35,13.46,2.81,2.23,32.5,8.65,6.35,73.33,72.39,1.04,0.04,32.19,6.77,46.59,3.15,7.54
1208,1. SNL (SI),10497,Tomi Jurić,T. Jurić,1991-07-22,46.67,11.93,12.57,8,5,3,125.0,25.0,0.2,0.2,31.0,6.2,4.8,77.42,81.11,11.42,0.2,2.2,0.8,0.2,0.0,0.4,0.2,0.2,8.8,2.4,2.2,91.67,74.19,0.2,0.2,5.4,0.6,33.33,0.2,1.4
1208,1. SNL (SI),10594,Uroš Korun,U. Korun,1987-05-25,78.84,20.86,22.63,13,9,4,824.0,91.56,0.11,0.33,315.0,35.0,30.56,87.3,90.67,18.55,3.33,9.33,3.44,0.0,0.0,21.67,7.11,5.22,7.44,3.44,2.89,83.87,82.08,0.22,0.11,2.0,0.33,33.33,0.11,3.89
1208,1. SNL (SI),11165,Jean Michaël Seri,J. Seri,1991-07-19,58.02,17.71,11.83,14,13,1,1003.0,77.15,0.08,1.38,341.0,26.23,23.85,90.91,89.98,17.05,2.69,8.92,5.15,0.77,0.23,10.62,2.38,2.0,6.23,2.92,2.77,94.74,83.28,0.23,0.0,6.46,1.54,65.0,1.0,2.46
1208,1. SNL (SI),11505,Jan Repas,J. Repas,1997-03-19,82.78,22.68,18.94,25,24,1,2445.0,101.88,0.29,2.33,781.0,32.54,26.71,82.07,82.95,14.6,1.29,9.25,7.46,1.42,1.25,12.33,3.83,2.96,19.62,8.29,5.96,71.86,74.06,0.79,0.12,22.62,5.79,57.55,3.33,6.67
1208,1. SNL (SI),12240,Abdoulaye Dabo,A. Dabo,2001-03-04,29.17,9.36,6.57,5,5,0,225.0,45.0,0.0,0.8,85.0,17.0,15.4,90.59,93.08,18.28,1.6,7.2,3.0,0.2,0.0,7.4,2.6,1.8,2.2,0.8,0.8,100.0,97.23,0.0,0.0,1.6,0.4,100.0,0.4,0.6
