competition_edition,league,player_name,player_short_name,player_id,player_birthdate,minutes_full_all,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,psv99,psv99_top5,peak_velocity,peak_velocity_top3,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,timetohsrpostcod_top3,explacceltosprint_count_full_all,timetosprint_top3,timetosprintpostcod_top3,cod_count_full_all,timeto505around90_top3,timeto505around180_top3
1265,Primeira Liga (PT),João Pedro Augusto Mourão Costa,João Costa,850886,2000-03-07,14.99,7,0,1699.43,113.39,255.29,129.14,12.71,37.0,2.14,166.14,14.86,28.54,29.12,29.04,30.03,19.14,1.29,14.57,2.0,1.0,0.85,,0.29,,,10.71,2.31,2.64
1265,Primeira Liga (PT),Jonathan Mutombo Mawesi,J. Mutombo,850888,2002-08-27,47.28,3,0,4936.67,104.42,664.67,353.33,36.0,177.0,9.0,530.33,45.0,31.43,31.43,32.33,32.33,56.0,6.67,44.33,11.0,5.0,0.78,,3.33,1.42,,21.33,,
1265,Primeira Liga (PT),Hugo Félix Sequeira,H. Sequeira,850891,2004-03-03,58.49,25,1,7294.4,124.7,1354.08,436.8,34.92,70.76,4.56,507.56,39.48,26.58,28.72,28.34,30.97,71.4,3.76,59.64,8.6,2.16,0.72,0.87,0.24,1.51,,39.32,1.73,2.56
1265,Primeira Liga (PT),Leandro Henrique Sousa Santos,Leandro Santos,850893,2005-09-28,27.32,8,1,3184.0,116.56,493.5,235.62,22.25,82.5,4.88,318.12,27.12,29.1,30.32,29.9,31.27,38.0,3.75,28.25,8.0,2.62,0.61,0.77,0.5,,,15.0,2.18,3.11
1265,Primeira Liga (PT),Diogo Jorge Sousa Martins,Diogo Martins,851441,1996-08-21,9.92,1,0,1413.0,142.49,268.0,203.0,16.0,101.0,4.0,304.0,20.0,31.3,31.3,32.0,,12.0,1.0,11.0,2.0,1.0,,,0.0,,,11.0,,
1265,Primeira Liga (PT),Rodrigo  Rêgo,Rodrigo Rêgo,868712,2005-01-03,41.14,3,0,5113.33,124.28,884.0,332.33,27.67,61.33,5.0,393.67,32.67,27.17,27.17,28.43,28.43,65.33,2.33,49.0,11.0,2.33,,,0.33,,,31.67,,2.82
1265,Primeira Liga (PT),Guilherme Neiva Silva,G. Neiva,870451,2001-03-15,43.32,22,2,5019.59,115.88,776.27,356.05,36.32,173.73,8.23,529.77,44.55,30.03,31.64,31.12,33.3,54.64,4.95,42.09,10.91,3.64,0.55,0.57,1.0,1.18,1.41,23.91,1.91,2.62
1265,Primeira Liga (PT),José Augusto Silva,José Silva,870866,2005-08-20,20.58,3,1,2092.67,101.7,278.67,107.0,16.0,94.33,4.0,201.33,20.0,32.07,32.07,32.33,32.33,23.33,2.33,22.0,4.67,1.67,,,1.0,,,10.33,,
1265,Primeira Liga (PT),Diego Henrique Oliveira Rodrigues,Diego Rodrigues,876968,2005-05-24,47.91,20,0,5714.15,119.28,1035.55,354.55,29.75,68.95,4.25,423.5,34.0,27.02,28.64,28.43,30.33,71.05,3.3,56.6,10.1,2.1,0.69,0.72,0.5,1.54,1.64,23.25,2.19,2.62
1265,Primeira Liga (PT),Jónatas Xavier Zamith Oliveira Noro,Jónatas Noro,876971,2005-07-09,13.3,1,0,1055.0,79.32,157.0,50.0,3.0,15.0,1.0,65.0,4.0,23.4,23.4,24.0,,16.0,1.0,7.0,1.0,1.0,,,0.0,,,5.0,,
1265,Primeira Liga (PT),Yanis Franklin da Rocha,Yanis Rocha,876972,2004-05-10,34.05,4,0,3875.75,113.84,534.25,250.5,27.0,114.5,6.25,365.0,33.25,31.23,31.23,31.93,32.43,45.75,3.25,34.5,10.0,1.75,0.86,,1.0,,,16.25,2.4,3.15
1265,Primeira Liga (PT),Oskar Pietuszewski,O. Pietuszewski,877517,2008-05-20,55.7,15,1,6226.6,111.79,905.47,476.13,50.87,247.4,13.13,723.53,64.0,30.33,32.1,31.56,33.47,69.07,6.53,53.53,15.07,4.67,0.6,0.72,2.2,1.22,1.34,32.67,1.98,2.52
1265,Primeira Liga (PT),Yan Lincon Farias de Sousa,Yan Maranhão,878384,2002-09-13,40.8,21,0,4749.0,116.4,692.43,283.24,27.71,96.43,5.86,379.67,33.57,28.85,31.0,29.71,32.2,49.33,3.81,40.76,6.67,2.43,0.69,0.73,0.67,1.38,1.43,21.24,1.94,2.79
1265,Primeira Liga (PT),Mateo Flores Lozano,Mateo Flores,885727,2004-04-07,22.64,12,0,2696.67,119.09,535.17,181.42,14.92,36.42,2.0,217.83,16.92,27.77,29.86,28.89,31.57,29.08,1.33,22.92,3.25,0.67,0.8,,0.0,,,14.5,1.98,3.07
1265,Primeira Liga (PT),Tiago Rafael Fernandes Leite,Tiago Leite,887879,2000-07-31,20.2,9,0,2497.33,123.64,402.67,194.22,18.11,51.22,3.33,245.44,21.44,28.59,29.8,29.42,31.2,30.33,1.67,25.78,4.0,1.33,0.72,0.79,0.44,1.67,1.67,16.67,1.92,2.76
1265,Primeira Liga (PT),Vasco da Silva Moreira,Vasco Moreira,889588,2001-05-07,34.44,16,0,4095.25,118.9,854.25,224.19,18.81,33.75,2.19,257.94,21.0,25.37,27.88,26.48,29.77,51.44,2.12,43.62,5.81,0.94,0.8,0.86,0.06,,,20.25,2.05,2.73
1265,Primeira Liga (PT),Pedro Silva Rosas,Pedro Rosas,889594,2000-11-28,76.18,8,1,8323.38,109.25,1231.38,563.38,47.62,188.5,9.88,751.88,57.5,28.29,29.52,29.41,31.4,99.5,5.25,77.88,16.5,2.88,0.78,0.86,0.88,1.94,,32.62,2.22,2.66
1265,Primeira Liga (PT),Felipe De Almeida Lima,Felipe Lima,897136,2006-04-17,12.27,6,0,1482.17,120.8,268.67,132.5,12.67,54.5,2.33,187.0,15.0,28.33,28.94,28.85,30.4,16.5,1.17,12.17,3.5,1.17,0.81,0.91,0.67,1.46,,10.33,2.37,2.76
1265,Primeira Liga (PT),Mohamed Bamba,M. Bamba,906340,2004-10-08,27.81,4,0,3110.25,111.85,568.0,148.25,13.5,17.25,1.5,165.5,15.0,24.6,24.6,26.02,27.23,36.25,1.25,29.0,4.0,1.0,,,0.0,,,11.75,,
1265,Primeira Liga (PT),Mathis  Clairicia,M. Clairicia,913555,2002-08-30,20.91,9,0,2379.56,113.81,369.0,142.78,13.44,42.44,2.33,185.22,15.78,28.22,29.66,28.92,30.97,26.78,1.89,20.33,3.78,1.33,0.74,,0.44,1.49,,10.78,2.52,3.16
1265,Primeira Liga (PT),Mohamed Yassir Zabiri,Y. Zabiri,919240,2005-02-23,60.87,12,0,6461.42,106.15,862.0,462.25,51.92,215.42,12.5,677.67,64.42,29.93,31.34,30.99,32.27,74.33,7.67,57.42,17.75,5.58,0.65,0.71,2.0,1.21,1.42,39.75,1.79,2.75
1265,Primeira Liga (PT),Diogo Bezerra de Oliveira,Diogo Bezerra,921645,2002-07-16,79.18,16,1,9590.94,121.13,1309.31,617.25,66.88,346.06,17.69,963.31,84.56,30.79,32.24,32.15,34.03,87.44,5.75,68.44,14.38,4.81,0.62,0.63,2.38,1.19,1.2,49.5,1.92,2.64
1265,Primeira Liga (PT),Jimi Gower,J. Gower,924806,2004-10-01,26.35,7,2,3085.71,117.13,528.57,218.14,20.29,62.86,3.43,281.0,23.71,28.06,28.76,28.99,30.33,33.29,2.14,28.57,5.14,1.29,0.71,,0.57,1.48,,17.14,2.32,
1265,Primeira Liga (PT),Alisson De Almeida Santos,Alisson Santos,938386,2002-09-27,17.84,16,2,1886.81,105.76,308.88,156.38,14.38,61.5,3.25,217.88,17.62,28.89,31.62,29.61,32.87,21.94,1.69,17.75,4.12,1.25,0.64,0.66,0.75,1.23,1.49,11.0,2.2,2.71
1265,Primeira Liga (PT),Kevin Estiven Prieto Machado,K. Prieto,946750,2003-06-27,34.28,10,1,3681.1,107.39,540.0,240.0,22.7,75.0,4.5,315.0,27.2,28.51,30.02,29.59,31.77,41.1,3.2,31.7,7.2,2.7,0.67,0.89,0.9,1.32,1.6,15.9,2.06,2.73
1265,Primeira Liga (PT),Salvador Blopa,Salvador Blopa,959252,2007-06-13,26.71,2,1,2840.0,106.33,379.5,186.5,20.0,103.0,6.0,289.5,26.0,29.85,29.85,30.55,,33.0,2.5,27.0,5.0,2.0,,,1.0,,,15.5,,
1265,Primeira Liga (PT),Chiheb Labidi,C. Labidi,962563,2001-06-01,64.89,26,2,7538.19,116.16,1372.12,520.65,43.35,116.73,6.31,637.38,49.65,27.4,29.78,29.18,32.23,76.92,3.15,63.81,11.08,1.88,0.71,0.74,0.0,,,35.15,1.82,2.57
1265,Primeira Liga (PT),Gonzalo Pastor Sanchez,G. Pastor Sanchez,969772,2006-03-20,25.41,2,0,3133.5,123.33,598.5,263.5,24.0,40.0,3.5,303.5,27.5,26.45,26.45,28.8,,37.0,1.5,25.5,7.5,1.0,,,0.0,,,22.5,,
1265,Primeira Liga (PT),Isaac James,I. James,973088,2004-08-28,76.24,19,0,8742.26,114.66,1360.42,579.95,53.84,191.63,10.74,771.58,64.58,29.42,31.36,31.22,33.33,97.42,6.84,79.95,17.21,5.21,0.56,0.57,1.32,1.23,1.31,43.68,1.91,2.55
1265,Primeira Liga (PT),Rafael Genuino Lobato,Rafael Lobato,973654,2006-02-23,11.47,2,0,1298.5,113.16,227.5,106.5,6.0,29.0,1.5,135.5,7.5,27.55,27.55,27.85,,15.0,1.5,10.5,3.0,1.5,,,0.5,,,6.0,,
1265,Primeira Liga (PT),Davy Jean Carl Kamon Gui Gui,Davy Gui,974582,2006-06-15,28.86,27,1,3404.19,117.97,607.85,189.33,17.93,41.48,2.67,230.81,20.59,27.2,30.64,28.34,32.13,41.15,2.15,32.96,5.44,1.59,0.61,0.64,0.41,1.21,,17.0,1.99,2.75
1265,Primeira Liga (PT),Thiago Balieiro Lourenço de Carvalho,Thiago Carvalho,975544,2003-02-23,100.17,13,0,10295.85,102.79,1290.54,504.23,51.0,219.31,12.15,723.54,63.15,30.32,31.36,31.98,33.6,110.38,6.92,81.62,15.15,4.08,0.58,0.6,1.85,1.13,1.21,41.0,1.82,2.86
1265,Primeira Liga (PT),Domingos José Gabriel Bandeira,Kaly,977121,2003-11-27,90.47,10,2,8282.2,91.55,839.8,298.2,33.2,152.2,7.0,450.4,40.2,31.14,32.42,32.63,34.3,91.4,5.7,70.4,11.4,4.1,0.59,0.74,2.8,1.05,1.34,21.9,2.25,2.77
1265,Primeira Liga (PT),Gustavo Teixeira Lopes da Conceição,Gustavo Mancha,978489,2004-07-25,98.15,13,1,9961.69,101.5,1189.77,364.23,35.31,92.23,6.54,456.46,41.85,28.28,29.64,30.11,32.0,106.54,4.46,82.38,12.77,2.69,0.7,0.71,0.69,1.62,,23.15,2.14,2.9
1265,Primeira Liga (PT),Gonzalo Calçada De Sa Sanchidrián,Gonzalo Calçada,979393,2001-07-25,18.77,1,0,2484.0,132.36,437.0,243.0,20.0,73.0,3.0,316.0,23.0,27.1,27.1,28.5,,27.0,1.0,19.0,4.0,0.0,,,0.0,,,20.0,,
1265,Primeira Liga (PT),Tiago Parreira Parente,Tiago Parente,984933,2004-01-14,40.03,14,0,4755.36,118.8,823.93,392.86,33.64,100.79,6.64,493.64,40.29,28.08,29.38,29.41,31.8,60.5,3.71,47.14,11.36,2.29,0.76,0.76,0.5,1.52,,21.86,2.15,2.67
1265,Primeira Liga (PT),Sandro Miguel Rodrigues Vidigal,Sandro Vidigal,994932,2007-07-28,20.33,4,0,2218.5,109.13,362.25,182.0,17.25,62.75,3.5,244.75,20.75,29.7,29.7,30.3,31.1,25.25,2.25,18.0,5.25,1.75,0.77,,0.5,,,12.0,2.67,
1265,Primeira Liga (PT),Luís Teixeira Pinto,Luís Pinto,994942,2006-08-16,76.43,3,0,9409.67,123.11,1650.67,521.67,40.67,74.0,4.33,595.67,45.0,27.83,27.83,29.53,29.53,93.67,2.33,78.33,10.67,1.0,,,0.0,,,34.0,2.29,2.9
1265,Primeira Liga (PT),Pedro Henrique Bezerra Carvalho,Pedro Careca,995276,2004-11-12,36.95,3,0,4302.33,116.44,590.0,287.33,30.0,123.33,7.0,410.67,37.0,30.87,30.87,31.33,31.33,51.0,5.0,38.33,9.33,3.0,,,1.33,,,19.33,,2.87
1265,Primeira Liga (PT),Alisson Souza de Jesus,Alisson Jesus,995927,2005-04-11,21.76,5,0,2562.8,117.79,402.0,184.4,19.6,85.2,3.6,269.6,23.2,30.0,30.0,30.68,32.1,29.4,2.6,22.2,5.8,1.8,0.82,,0.8,1.64,,17.6,2.33,2.82
1265,Primeira Liga (PT),Landerson Costa Araujo,Landerson,997771,2006-12-12,50.59,28,1,5490.64,108.54,782.43,337.46,35.39,124.04,7.14,461.5,42.54,29.76,32.0,30.84,32.97,63.89,6.54,51.57,13.36,4.75,0.57,0.62,1.43,1.14,1.23,27.14,2.09,2.54
1265,Primeira Liga (PT),Afonso Assis Cunha Almeida,Afonso Assis,997839,2006-07-15,53.69,18,0,6574.5,122.46,1141.22,295.67,25.78,31.33,2.5,327.0,28.28,25.93,27.98,27.56,30.13,66.17,2.06,55.22,6.06,1.06,0.74,0.87,0.11,,,29.06,2.08,2.74
1265,Primeira Liga (PT),Alexandre Mussolo Sola,A. Mussolo Sola,997845,2003-12-14,48.74,16,0,5652.81,115.99,903.69,336.81,33.56,102.19,6.56,439.0,40.12,28.46,30.1,29.68,31.37,66.44,4.75,54.62,10.75,3.5,0.59,0.6,1.0,1.11,1.11,32.5,1.96,2.61
1265,Primeira Liga (PT),Bernardo Lima,B. Lima,1002389,2008-03-26,14.4,1,0,2011.0,139.65,432.0,217.0,16.0,54.0,3.0,271.0,19.0,27.4,27.4,28.4,,21.0,0.0,18.0,5.0,0.0,,,0.0,,,14.0,,
1265,Primeira Liga (PT),Otávio Manoel Galdino Fernandes,Otávio,1003578,2005-11-25,67.47,22,0,6809.64,100.92,822.18,323.86,33.23,99.59,6.55,423.45,39.77,28.79,30.94,30.25,32.47,75.95,5.41,61.18,13.23,4.18,0.6,0.64,1.27,1.28,,24.45,1.93,2.72
1265,Primeira Liga (PT),Henrique Fernandes da Silva,Henrique Silva,1003590,2005-10-17,87.77,12,1,9095.33,103.63,1212.83,336.33,30.33,79.58,4.5,415.92,34.83,27.77,29.18,29.76,31.07,98.58,5.33,78.5,10.17,3.08,0.64,0.74,0.75,1.49,,23.33,2.25,3.16
1265,Primeira Liga (PT),Renato Sam Na Nhaga,Renato Nhaga,1004603,2007-03-27,70.97,18,0,8696.28,122.53,1649.28,517.28,43.22,87.11,5.89,604.39,49.11,27.18,29.12,29.3,31.73,81.83,2.44,66.56,8.06,1.61,0.62,0.62,0.44,1.43,,44.67,1.93,2.59
1265,Primeira Liga (PT),Rodrigo Prata Deusdado Rodrigues,Rodrigo Rodrigues,1008882,2007-06-12,19.74,3,1,2178.67,110.37,386.0,166.67,16.33,70.67,3.67,237.33,20.0,28.9,28.9,30.17,30.17,29.33,2.0,20.33,5.33,1.67,,,0.33,,,13.33,,
1265,Primeira Liga (PT),José Luís Rocha Tavares,José Tavares,1008931,2003-06-02,43.97,25,0,5270.2,119.86,956.84,331.24,29.88,73.12,4.76,404.36,34.64,27.8,30.48,29.23,32.2,59.28,2.8,47.6,8.56,1.68,0.66,0.7,0.4,1.42,1.53,30.68,1.97,2.62
1265,Primeira Liga (PT),Tiago Gonçalves Silva,Tiago Silva,1008966,2007-07-10,27.28,1,0,3492.0,127.99,672.0,194.0,16.0,26.0,2.0,220.0,18.0,26.9,26.9,28.4,,31.0,2.0,30.0,4.0,2.0,,,1.0,,,12.0,,
1265,Primeira Liga (PT),Edson Joelder Lobo Mucuana,E. Mucuana,1022354,2003-12-12,82.2,1,0,9178.0,111.65,1259.0,530.0,58.0,273.0,13.0,803.0,71.0,30.7,30.7,32.4,,95.0,11.0,78.0,13.0,10.0,,,6.0,,,46.0,,
1265,Primeira Liga (PT),Umar Abubakar,U. Abubakar,1022520,2006-02-15,25.84,21,1,2908.86,112.57,421.52,188.57,18.43,71.43,3.57,260.0,22.0,28.91,31.26,29.71,33.27,30.86,2.76,24.05,6.0,1.52,0.61,0.69,0.38,1.55,1.74,14.67,2.1,2.75
1265,Primeira Liga (PT),Flavio Ferreira Gonçalves Gonçalves,Flavio Gonçalves,1022911,2007-05-30,10.47,3,0,1346.67,128.66,249.33,141.67,10.33,34.33,2.0,176.0,12.33,28.13,28.13,28.8,28.8,14.67,1.0,11.67,4.0,0.67,,,0.0,,,10.0,,
1265,Primeira Liga (PT),João Moisés Gastão,J. Gastão,1023147,2006-07-22,41.21,8,0,4403.75,106.85,527.12,231.38,29.88,143.75,7.38,375.12,37.25,32.2,33.16,32.79,34.17,46.0,4.12,36.88,9.38,3.38,0.6,0.84,1.88,1.23,,20.12,2.22,2.91
1265,Primeira Liga (PT),Gonçalo  Maia Pereira,Gonçalo Maia,1023719,2005-11-30,7.35,2,0,1072.5,145.92,235.0,81.5,7.5,42.0,1.5,123.5,9.0,27.6,27.6,27.9,,14.0,1.0,11.5,1.0,0.0,,,0.0,,,5.5,,
1265,Primeira Liga (PT),André Alexandre Mendes Miranda,André Miranda,1024233,2007-09-25,15.88,1,0,1423.0,89.59,212.0,99.0,14.0,53.0,3.0,152.0,17.0,29.7,29.7,29.7,,20.0,2.0,20.0,2.0,0.0,,,0.0,,,9.0,,
1265,Primeira Liga (PT),João Miguel Costa Nogueira,Miguel Nogueira,1025116,2005-02-27,53.76,16,0,6455.44,120.09,1118.44,458.56,44.12,137.81,8.25,596.38,52.38,27.84,29.54,29.51,31.67,77.38,6.25,60.94,13.94,4.12,0.69,0.72,1.31,1.28,1.57,43.06,1.96,2.67
1265,Primeira Liga (PT),André Tiago Ramos das Neves,Peixinho,1027293,2004-05-23,23.29,11,0,2820.91,121.14,456.82,237.82,21.64,65.45,4.27,303.27,25.91,28.09,29.66,29.02,30.83,32.73,3.27,24.82,7.09,2.27,0.64,0.73,0.45,1.47,,21.09,2.02,2.66
1265,Primeira Liga (PT),Ricardo Joaquim Ferreira Rocha,Ricardo Rocha,1028213,2003-09-07,47.02,2,0,5126.0,109.01,787.5,216.5,22.5,50.5,3.5,267.0,26.0,27.5,27.5,28.75,,55.0,3.0,46.0,6.5,1.0,,,0.5,,,23.5,,
1265,Primeira Liga (PT),Noah Jose  Saviolo,Noah Saviolo,1028214,2004-03-07,71.6,30,0,7426.6,103.72,969.03,491.53,54.07,232.27,12.5,723.8,66.57,30.76,32.64,32.06,34.03,81.47,8.4,64.33,17.57,6.7,0.59,0.6,2.77,1.13,1.2,38.1,1.9,2.57
1265,Primeira Liga (PT),Zakaria Kessary,Z. Kessary,1029517,,10.69,2,1,1173.5,109.76,215.5,102.5,10.5,32.5,1.5,135.0,12.0,28.35,28.35,28.85,,15.0,1.5,10.0,4.0,0.5,,,0.0,,,7.5,,
1265,Primeira Liga (PT),Fodé Carlos Gaspar Pascoal,Fodé Pascoal,1032058,2004-12-26,12.4,1,0,1510.0,121.77,230.0,66.0,10.0,51.0,2.0,117.0,12.0,28.1,28.1,28.7,,16.0,1.0,12.0,3.0,1.0,,,1.0,,,7.0,,
1265,Primeira Liga (PT),Kauan de Souza Gomes,Kauan,1032844,2005-04-26,13.21,4,0,1640.75,124.22,295.0,149.75,12.75,59.25,4.0,209.0,16.75,28.0,28.0,28.7,29.97,19.5,2.0,18.0,3.75,1.75,,,0.5,,,12.5,2.56,
1265,Primeira Liga (PT),Martim Costa Guedes,Zeega,1033808,2008-11-05,26.97,2,0,2912.5,108.0,482.5,170.5,15.0,67.5,2.5,238.0,17.5,29.25,29.25,30.15,,30.5,1.0,27.0,2.5,0.5,,,0.5,,,15.5,,
1265,Primeira Liga (PT),Deivison Souza Brito,Deivison,1036218,2006-05-04,31.98,4,0,3542.5,110.79,499.25,206.0,20.0,101.25,5.0,307.25,25.0,28.9,28.9,29.95,30.63,35.25,3.5,28.75,5.75,2.75,0.71,,1.75,1.73,,15.5,2.45,3.05
1265,Primeira Liga (PT),António Gil Lourenço Oliveira Valério Branco,António Gil,1037678,2008-01-08,18.08,1,0,1866.0,103.19,345.0,112.0,12.0,21.0,2.0,133.0,14.0,25.3,25.3,26.3,,30.0,3.0,19.0,4.0,2.0,,,1.0,,,18.0,,
