competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,onballengagement_count_total,onballengagement_count,onballengagement_count_directregain,onballengagement_pct_directregain,onballengagement_count_indirectregain,onballengagement_pct_indirectregain,onballengagement_count_directdisruption,onballengagement_pct_directdisruption,onballengagement_count_indirectdisruption,onballengagement_pct_indirectdisruption,onballengagement_count_abovehsr,onballengagement_count_forcedbackward,onballengagement_pct_forcedbackward,onballengagement_count_beatenbymovement,onballengagement_pct_beatenbymovement,onballengagement_count_beatenbypossession,onballengagement_pct_beatenbypossession,onballengagement_count_pressingchain,onballengagement_count_consecutive,onballengagement_count_forwardtrajectory,onballengagement_count_dangeroussituation,onballengagement_count_dangeroussituation_dangermitigated,onballengagement_pct_dangermitigated,onballengagement_count_linebreakaffected,onballengagement_pct_linebreakaffected
1215,1. HNL (HR),433,Aleksandar Trajkovski,A. Trajkovski,1992-09-05,61.32,15.75,17.47,9,8,1,301.0,37.62,0.38,1.0,5.0,13.29,0.0,0.0,2.0,5.31,3.62,2.5,6.64,0.12,0.33,0.25,0.66,15.0,5.0,9.62,3.25,0.12,0.44,5.12,13.62
1215,1. HNL (HR),903,Ante Rebić,A. Rebić,1993-09-21,74.67,22.68,16.71,26,25,1,865.0,34.6,0.88,2.54,5.16,14.91,0.48,1.39,1.8,5.2,9.0,2.8,8.09,0.08,0.23,0.2,0.58,14.88,6.12,10.0,2.68,0.56,2.26,2.84,8.21
1215,1. HNL (HR),2343,Dario Melnjak,D. Melnjak,1992-10-31,45.14,13.96,10.39,22,20,2,273.0,13.65,0.5,3.66,1.9,13.92,0.15,1.1,0.9,6.59,2.0,0.75,5.49,0.2,1.47,0.25,1.83,2.95,2.2,3.85,4.2,0.5,3.58,0.65,4.76
1215,1. HNL (HR),2882,Duje Čop,D. Čop,1990-02-01,41.79,11.1,10.15,25,25,0,596.0,23.84,0.32,1.34,3.16,13.25,0.16,0.67,1.08,4.53,4.88,1.08,4.53,0.0,0.0,0.04,0.17,11.48,3.64,6.92,1.6,0.16,1.79,2.24,9.4
1215,1. HNL (HR),3442,Filip Krovinović,F. Krovinović,1995-08-29,79.95,24.43,17.84,29,27,2,774.0,28.67,1.22,4.26,5.48,19.12,0.15,0.52,1.15,4.01,3.63,1.56,5.43,0.19,0.65,0.33,1.16,7.74,4.48,6.59,5.59,0.63,3.06,1.67,5.81
1215,1. HNL (HR),5483,Josip Posavec,J. Posavec,1996-03-10,98.09,26.7,25.42,32,31,1,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
1215,1. HNL (HR),5484,Josip Radošević,J. Radošević,1994-04-03,96.41,25.15,26.82,32,32,0,1552.0,48.5,2.78,5.73,7.34,15.14,0.62,1.29,1.38,2.84,5.94,2.31,4.77,0.34,0.71,1.0,2.06,12.22,7.75,11.28,16.69,2.31,5.16,3.59,7.41
1215,1. HNL (HR),6908,Mario Tičinović,M. Tičinović,1991-08-20,78.22,18.11,22.31,24,22,2,615.0,27.95,1.36,4.88,4.5,16.1,0.5,1.79,1.73,6.18,3.86,1.41,5.04,0.59,2.11,1.27,4.55,5.77,3.68,7.64,11.41,1.64,6.89,1.45,5.2
1215,1. HNL (HR),6975,Marko Livaja,M. Livaja,1993-08-26,73.07,22.28,17.44,26,25,1,640.0,25.6,0.2,0.78,3.92,15.31,0.04,0.16,1.08,4.22,7.28,1.24,4.84,0.0,0.0,0.04,0.16,12.96,2.48,7.88,0.84,0.08,1.12,2.24,8.75
1215,1. HNL (HR),9610,Scott McKenna,S. McKenna,1996-11-12,94.91,29.26,22.93,30,30,0,324.0,10.8,0.3,2.78,2.93,27.16,0.2,1.85,0.47,4.32,1.53,0.17,1.54,0.4,3.7,0.13,1.23,2.27,0.87,2.67,5.03,1.23,12.89,0.07,0.62
