competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count,offballrun_count_shotwithin10s,offballrun_count_goalwithin10s,offballrun_count_targeted,offballrun_count_received,offballrun_avgdistance,offballrun_count_abovehsr,offballrun_count_penaltyarea,offballrun_count_dangerous,offballrun_count_dangerous_targeted,offballrun_count_dangerous_received
1265,Primeira Liga (PT),38127,Luan Patrick Wiedthauper,Luan Patrick,2002-01-20,96.08,22.57,24.05,30,29,1,248.0,8.55,0.03,0.0,2.97,2.79,11.37,1.03,0.21,0.28,0.1,0.03
1265,Primeira Liga (PT),38128,Alfonso Trezza Hernández,A. Trezza,1999-06-22,79.09,20.34,20.55,32,31,1,759.0,24.48,1.16,0.16,9.06,5.84,14.51,8.71,3.19,8.87,3.0,1.48
1265,Primeira Liga (PT),38415,Diego Ariel Duarte Garcete,D. Duarte,2002-04-08,52.66,10.4,16.15,27,26,1,326.0,12.54,0.62,0.08,4.42,2.04,15.82,4.58,2.12,7.62,2.42,0.88
1265,Primeira Liga (PT),38984,Tiago Galletto López,T. Galletto,2002-05-11,42.11,8.02,12.68,16,15,1,108.0,7.2,0.2,0.0,1.67,1.27,16.34,1.93,0.47,1.67,0.33,0.13
1265,Primeira Liga (PT),38998,Jesús Andrés Ramírez Díaz,J. Ramírez,1998-05-04,95.94,20.87,25.21,33,29,4,705.0,24.31,1.0,0.21,9.69,4.1,14.47,7.69,5.1,14.28,5.66,2.07
1265,Primeira Liga (PT),39576,Nico Mantl,N. Mantl,2000-02-06,99.97,25.1,26.8,8,8,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),40367,Nile Omari Mckenzie John,Nile John,2003-03-06,59.05,15.33,15.98,14,12,2,212.0,17.67,0.75,0.08,4.92,3.67,11.85,1.67,0.5,3.58,0.92,0.58
1265,Primeira Liga (PT),40591,Alejandro Josè Marqués Méndez,Alejandro Marqués,2000-08-04,49.33,13.61,12.32,26,26,0,467.0,17.96,0.38,0.0,5.62,2.73,12.62,4.77,3.81,11.12,3.08,1.23
1265,Primeira Liga (PT),41244,Enzo Alan Tomás Barrenechea,E. Barrenechea,2001-05-22,74.7,22.1,16.98,26,25,1,368.0,14.72,0.16,0.04,4.76,4.6,11.75,0.92,0.16,0.48,0.16,0.08
1265,Primeira Liga (PT),41621,Patrick Gilmar Sequeira Mejías,P. Sequeira,1999-03-01,96.95,18.73,27.18,29,28,1,8.0,0.29,0.0,0.0,0.14,0.14,9.54,0.04,0.0,0.0,0.0,0.0
