competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count,offballrun_count_shotwithin10s,offballrun_count_goalwithin10s,offballrun_count_targeted,offballrun_count_received,offballrun_avgdistance,offballrun_count_abovehsr,offballrun_count_penaltyarea,offballrun_count_dangerous,offballrun_count_dangerous_targeted,offballrun_count_dangerous_received
1208,1. SNL (SI),1302,Benjamin Tetteh,B. Tetteh,1997-07-10,64.57,17.56,14.45,27,24,3,443.0,18.46,1.04,0.17,8.12,4.88,12.87,4.38,6.54,12.75,5.0,2.5
1208,1. SNL (SI),2587,Dejan Lazarević,D. Lazarević,1990-02-15,17.41,2.08,5.28,2,2,0,6.0,3.0,0.5,0.0,1.0,1.0,13.61,1.5,0.0,2.0,0.5,0.5
1208,1. SNL (SI),2990,Hillel El Arbi Soudani,H. Soudani,1987-11-25,50.17,13.12,11.92,29,27,2,368.0,13.63,0.89,0.15,5.11,3.37,15.25,3.85,3.7,7.89,2.44,1.3
1208,1. SNL (SI),3494,Florian  Hartherz,F. Hartherz,1993-05-29,72.0,22.16,17.17,16,13,3,254.0,19.54,0.31,0.23,6.69,6.0,15.61,7.92,1.62,4.15,1.46,1.31
1208,1. SNL (SI),4212,Haris Vučkič,H. Vučkič,1992-08-21,71.43,16.48,22.57,13,12,1,240.0,20.0,0.58,0.0,7.58,5.17,14.72,4.67,3.33,8.25,3.0,1.33
1208,1. SNL (SI),4757,Jasmin Kurtič,J. Kurtič,1989-01-10,28.9,7.0,7.12,10,9,1,54.0,6.0,0.11,0.0,2.0,1.78,13.31,0.44,0.89,1.78,0.44,0.33
1208,1. SNL (SI),5482,Josip Iličić,J. Iličić,1988-01-29,66.59,18.46,15.51,28,23,5,449.0,19.52,1.0,0.17,7.87,6.26,12.89,4.74,3.7,8.26,2.39,1.52
1208,1. SNL (SI),6459,Luka Krajnc,L. Krajnc,1994-09-19,81.77,24.19,16.66,14,13,1,108.0,8.31,0.31,0.0,2.77,2.46,13.63,1.23,0.23,0.54,0.31,0.15
1208,1. SNL (SI),9811,Sheyi Ojo,S. Ojo,1997-06-19,82.33,22.73,18.42,28,26,2,616.0,23.69,1.58,0.12,9.65,7.85,15.01,7.92,2.5,6.04,2.23,1.54
1208,1. SNL (SI),10497,Tomi Jurić,T. Jurić,1991-07-22,46.67,11.93,12.57,8,5,3,70.0,14.0,0.8,0.2,5.2,2.8,16.09,4.0,4.2,7.6,3.0,1.2
1208,1. SNL (SI),10594,Uroš Korun,U. Korun,1987-05-25,78.84,20.86,22.63,13,9,4,8.0,0.89,0.0,0.0,0.44,0.33,8.07,0.11,0.11,0.22,0.11,0.0
1208,1. SNL (SI),11165,Jean Michaël Seri,J. Seri,1991-07-19,58.02,17.71,11.83,14,13,1,112.0,8.62,0.23,0.08,3.15,3.0,11.51,0.54,0.15,1.15,0.46,0.38
1208,1. SNL (SI),11505,Jan Repas,J. Repas,1997-03-19,82.78,22.68,18.94,25,24,1,619.0,25.79,0.79,0.17,7.08,5.88,12.28,3.79,2.96,8.21,1.75,1.08
1208,1. SNL (SI),12240,Abdoulaye Dabo,A. Dabo,2001-03-04,29.17,9.36,6.57,5,5,0,45.0,9.0,0.0,0.0,3.0,2.4,11.17,0.6,0.4,1.4,0.6,0.0
1208,1. SNL (SI),13045,Rudi Požeg Vancaš,R. Požeg Vancaš,1994-03-15,41.98,14.75,8.13,17,16,1,342.0,21.38,0.88,0.19,7.25,5.56,13.16,7.19,6.56,12.0,3.56,2.56
1208,1. SNL (SI),13584,Antonio Marin,A. Marin,2001-01-09,57.63,16.13,14.0,26,25,1,588.0,23.52,0.84,0.16,6.4,4.76,12.99,5.52,4.6,12.28,3.0,1.76
1208,1. SNL (SI),13709,Macky Frank Bagnack Mouegni,M. Bagnack,1995-06-07,61.58,14.07,18.88,9,8,1,22.0,2.75,0.0,0.0,1.25,1.25,8.31,0.0,0.0,0.0,0.0,0.0
1208,1. SNL (SI),13724,Jan Gorenc,J. Gorenc,1999-07-26,79.89,22.08,19.46,23,22,1,211.0,9.59,0.09,0.05,3.32,3.14,10.46,0.68,0.59,0.82,0.23,0.09
1208,1. SNL (SI),14159,Rok Vodišek,R. Vodišek,1998-12-05,95.78,26.51,31.86,3,2,1,3.0,1.5,0.0,0.0,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0
1208,1. SNL (SI),15082,Stefanos Evangelou,S. Evangelou,1998-05-12,79.39,17.76,24.39,9,6,3,15.0,2.5,0.0,0.0,1.0,1.0,11.35,0.17,0.17,0.17,0.0,0.0
1208,1. SNL (SI),15359,Alexandros Parras,A. Parras,1998-05-12,48.62,10.26,14.79,11,11,0,135.0,12.27,0.09,0.0,4.91,4.09,14.69,4.45,1.0,2.55,0.91,0.55
1208,1. SNL (SI),15443,Ivan Borna Jelić Balta,I. Jelić Balta,1992-09-17,82.42,18.89,21.79,23,18,5,116.0,6.44,0.22,0.0,2.39,2.17,11.28,0.89,0.22,0.72,0.28,0.17
1208,1. SNL (SI),15742,Matija Boben,M. Boben,1994-02-26,89.18,23.34,22.09,15,12,3,88.0,7.33,0.08,0.0,2.0,1.83,12.3,1.17,0.25,0.42,0.08,0.08
1208,1. SNL (SI),16273,Toni Domgjoni,T. Domgjoni,1998-09-04,71.72,20.76,17.35,4,4,0,112.0,28.0,0.5,0.0,6.25,4.5,13.99,5.5,4.25,9.0,2.0,1.25
1208,1. SNL (SI),16575,Franko Kovačević,F. Kovačević,1999-08-08,66.41,23.92,12.05,14,14,0,323.0,23.07,1.14,0.29,7.0,3.0,12.28,7.0,11.14,19.29,6.0,2.57
1208,1. SNL (SI),16582,Simon Sluga,S. Sluga,1993-03-17,98.86,33.87,17.61,3,3,0,2.0,0.67,0.0,0.0,0.33,0.33,7.93,0.0,0.0,0.0,0.0,0.0
1208,1. SNL (SI),16876,Haris Dedič,H. Dedič,1997-07-06,67.67,19.18,15.33,5,4,1,18.0,4.5,0.0,0.0,1.5,1.25,13.36,0.25,0.25,0.0,0.0,0.0
1208,1. SNL (SI),16896,Tilen Klemenčič,T. Klemenčič,1995-08-21,88.64,21.73,24.47,30,27,3,439.0,16.26,0.48,0.04,6.33,5.7,13.93,4.33,0.56,1.15,0.37,0.26
1208,1. SNL (SI),16897,Jošt Urbančič,J. Urbančič,2001-04-12,84.83,22.34,21.45,23,22,1,560.0,25.45,0.82,0.09,8.73,7.86,15.11,9.5,1.45,4.5,1.14,0.77
1208,1. SNL (SI),16902,Gregor Sikošek,G. Sikošek,1994-02-13,81.09,18.49,22.94,8,7,1,132.0,18.86,0.43,0.0,5.86,5.57,13.18,3.29,1.0,3.29,0.43,0.43
1208,1. SNL (SI),16927,Luka Štor,L. Štor,1998-07-05,52.34,11.87,15.84,9,9,0,181.0,20.11,0.56,0.11,7.56,4.44,14.4,6.44,3.67,11.44,3.67,1.78
1208,1. SNL (SI),17040,Bogdan Vaštšuk,B. Vaštšuk,1995-10-04,16.41,4.13,3.72,4,3,1,13.0,4.33,0.0,0.0,1.67,1.33,9.04,0.67,0.67,1.33,0.67,0.33
