competition_edition,league,player_name,player_short_name,player_id,player_birthdate,minutes_full_all,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,psv99,psv99_top5,peak_velocity,peak_velocity_top3,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,timetohsrpostcod_top3,explacceltosprint_count_full_all,timetosprint_top3,timetosprintpostcod_top3,cod_count_full_all,timeto505around90_top3,timeto505around180_top3
1265,Primeira Liga (PT),Aderllan Leandro de Jesus Santos,A. Santos,223,1989-04-09,65.9,16,1,6504.88,98.7,724.94,245.62,22.62,57.0,3.5,302.62,26.12,27.11,28.8,28.23,30.8,66.19,3.62,53.25,9.31,2.06,0.66,0.71,0.62,1.7,1.93,13.38,2.19,2.73
1265,Primeira Liga (PT),André Geraldes de Barros,André Geraldes,728,1991-05-02,85.07,25,1,8548.0,100.49,1003.68,329.72,33.76,124.44,6.92,454.16,40.68,29.56,31.84,31.0,33.37,84.92,5.28,69.28,11.12,3.08,0.61,0.61,1.24,1.24,1.24,23.64,2.01,2.55
1265,Primeira Liga (PT),André Alexandre Carreira Sousa,André Sousa,751,1990-07-09,18.57,10,2,2244.7,120.88,450.8,145.2,11.7,18.9,1.4,164.1,13.1,25.86,27.16,27.02,28.87,26.9,1.3,20.7,3.7,0.5,0.94,,0.1,,,9.5,2.08,2.75
1265,Primeira Liga (PT),Bas Kuipers,B. Kuipers,1223,1994-08-17,86.8,17,0,9704.41,111.8,1517.29,707.65,60.88,234.47,12.18,942.12,73.06,28.47,29.44,29.98,31.03,114.41,7.59,91.53,19.88,5.53,0.61,0.74,1.0,1.46,1.77,37.65,2.01,2.71
1265,Primeira Liga (PT),Armindo Tué Na Bangna,Bruma,1484,1994-10-24,11.5,3,0,1252.67,108.93,189.33,56.67,6.33,15.0,1.67,71.67,8.0,26.73,26.73,27.23,27.23,16.33,0.67,12.67,1.67,0.0,,,0.0,,,7.0,,
1265,Primeira Liga (PT),Carlos dos Santos Rodrigues,Ponck,1652,1995-01-13,67.99,15,1,6594.0,96.98,664.4,234.4,22.4,97.33,4.53,331.73,26.93,27.91,30.76,29.05,32.37,71.2,3.47,59.27,7.13,1.6,0.74,,0.53,1.47,,12.27,2.42,2.81
1265,Primeira Liga (PT),David  Martins Simão,David Simão,2492,1990-05-15,56.78,11,1,6721.36,118.38,1248.55,317.27,23.64,28.36,2.18,345.64,25.82,25.46,27.14,26.96,29.07,76.27,2.27,63.27,7.55,1.18,0.75,0.75,0.36,2.23,,23.64,2.38,2.8
1265,Primeira Liga (PT),Dodi Lukébakio,D. Lukébakio,2803,1997-09-24,48.89,17,0,5002.65,102.32,633.41,299.59,33.12,150.0,7.47,449.59,40.59,29.82,31.82,31.29,33.37,59.06,5.41,44.71,13.0,4.24,0.63,0.69,1.82,1.1,1.22,23.53,2.02,2.76
1265,Primeira Liga (PT),Florian Grillitsch,F. Grillitsch,3493,1995-08-07,61.23,19,1,7405.63,120.96,1187.11,325.53,28.68,64.74,3.63,390.26,32.32,27.59,30.14,29.32,32.17,74.11,2.47,62.37,7.21,1.37,0.68,0.68,0.16,1.75,,25.84,2.01,2.78
1265,Primeira Liga (PT),Frederico André Ferrão Venâncio,Frederico Venâncio,3665,1993-02-04,94.26,20,2,9200.1,97.61,976.35,307.35,30.9,90.9,5.2,398.25,36.1,28.23,30.24,29.67,32.3,95.5,5.2,74.2,12.1,2.95,0.62,0.62,0.6,1.27,1.32,20.8,1.95,3.1
