competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_run_ahead_of_the_ball
1191,Czech Liga (CZ),574,4.35,Alexis Alégué Elandi,A. Alégué,5.45
1191,Czech Liga (CZ),5690,0.67,Kamil Vacek,K. Vacek,1.0
1191,Czech Liga (CZ),6467,3.28,Lukáš Haraslín,L. Haraslín,8.83
1191,Czech Liga (CZ),6472,0.0,Lukáš Mareček,L. Mareček,1.71
1191,Czech Liga (CZ),7118,5.5,Matěj Vydra,M. Vydra,5.81
1191,Czech Liga (CZ),7534,7.21,Mick van Buren,M. van Buren,8.42
1191,Czech Liga (CZ),8523,2.87,Pavel Kadeřábek,P. Kadeřábek,4.53
1191,Czech Liga (CZ),10603,2.81,Václav Pilař,V. Pilař,4.43
1191,Czech Liga (CZ),10762,1.95,Vladimír Darida,V. Darida,8.77
1191,Czech Liga (CZ),12651,2.11,Michal Sadílek,M. Sadílek,3.5
1191,Czech Liga (CZ),12704,3.54,Giannis-Fivos Botos,G. Botos,8.31
1191,Czech Liga (CZ),12715,0.0,David Lischka,D. Lischka,0.46
1191,Czech Liga (CZ),12716,0.33,Eduard Sobol,E. Sobol,1.0
1191,Czech Liga (CZ),12719,0.06,Tomáš Holeš,T. Holeš,0.69
1191,Czech Liga (CZ),12723,1.28,Lukáš Masopust,L. Masopust,1.78
1191,Czech Liga (CZ),12724,1.42,Michal Trávník,M. Trávník,6.42
1191,Czech Liga (CZ),12726,3.8,Dominik Pleštil,D. Pleštil,2.0
1191,Czech Liga (CZ),12730,6.17,Jan Chramosta,J. Chramosta,6.28
1191,Czech Liga (CZ),12797,0.33,Jan Bořil,J. Bořil,2.94
1191,Czech Liga (CZ),12804,0.08,Michal Frydrych,M. Frydrych,0.5
1191,Czech Liga (CZ),12806,0.4,Jaroslav Zelený,J. Zelený,2.73
1191,Czech Liga (CZ),12807,7.0,Jan Matoušek,J. Matoušek,6.14
1191,Czech Liga (CZ),12808,0.75,Matěj Valenta,M. Valenta,3.58
1191,Czech Liga (CZ),13222,4.0,Lukáš Hejda,L. Hejda,1.0
1191,Czech Liga (CZ),13228,2.72,Michael Krmenčík,M. Krmenčík,2.0
1191,Czech Liga (CZ),13229,0.25,Patrik Hrošovský,P. Hrošovský,2.75
1191,Czech Liga (CZ),13230,4.6,Jan Kovařík,J. Kovařík,3.13
1191,Czech Liga (CZ),13232,6.81,Tomáš Chorý,T. Chorý,6.62
1191,Czech Liga (CZ),13233,2.53,Milan Havel,M. Havel,3.93
1191,Czech Liga (CZ),13253,2.75,Milan Petržela,M. Petržela,4.31
1191,Czech Liga (CZ),13254,2.95,Aleš Čermák,A. Čermák,5.33
1191,Czech Liga (CZ),13514,1.29,Jan Suchan,J. Suchan,4.07
1191,Czech Liga (CZ),13530,0.0,Igoh Ogbu,I. Ogbu,0.33
1191,Czech Liga (CZ),13541,1.83,Alexander Munksgaard Nielsen,A. Munksgaard,5.08
1191,Czech Liga (CZ),13615,0.0,Jakub Jugas,J. Jugas,0.25
1191,Czech Liga (CZ),13620,0.86,Lukas Cerv,L. Cerv,2.73
1191,Czech Liga (CZ),13685,1.45,Vakhtang Chanturishvili,V. Tchanturishvili,6.95
1191,Czech Liga (CZ),13799,0.39,Vlasiy Sinyavskiy,V. Sinyavskiy,3.61
1191,Czech Liga (CZ),14050,1.92,Ladislav Krejčí,L. Krejčí,2.77
1191,Czech Liga (CZ),14326,2.83,Ondřej Mihálik,O. Mihálik,1.42
1191,Czech Liga (CZ),14532,0.0,Elias Cobbaut,E. Cobbaut,3.0
1191,Czech Liga (CZ),14810,0.3,Filip Novák,F. Novák,0.95
1191,Czech Liga (CZ),16461,0.25,Magnus Kofod Andersen,M. Kofod Andersen,3.0
1191,Czech Liga (CZ),16678,0.26,Václav Jemelka,V. Jemelka,1.47
1191,Czech Liga (CZ),16680,0.38,Michal Surzyn,M. Surzyn,1.88
1191,Czech Liga (CZ),16683,0.12,Jiří Sláma,J. Sláma,2.71
1191,Czech Liga (CZ),16690,1.09,Ondřej Zmrzlý,O. Zmrzlý,4.91
1191,Czech Liga (CZ),16691,0.17,Jiří Spáčil,J. Spáčil,1.17
1191,Czech Liga (CZ),16692,4.41,Tomáš Zlatohlávek,T. Zlatohlávek,3.65
1191,Czech Liga (CZ),16694,1.43,Juraj Chvátal,J. Chvátal,4.71
1191,Czech Liga (CZ),16707,3.37,Matěj Pulkrab,M. Pulkrab,3.47
1191,Czech Liga (CZ),16717,1.33,Srdjan Plavšić,S. Plavšić,4.11
1191,Czech Liga (CZ),16726,5.48,Václav Drchal,V. Drchal,5.24
1191,Czech Liga (CZ),16835,1.93,Jakub Kadák,J. Kadák,5.33
1191,Czech Liga (CZ),16841,3.59,Marián Pišoja,M. Pišoja,6.0
1191,Czech Liga (CZ),16842,3.0,Lukáš Letenay,L. Letenay,2.22
1191,Czech Liga (CZ),16850,0.0,Milan Rundić,M. Rundić,0.44
1191,Czech Liga (CZ),17203,0.0,Svetozar Marković,S. Marković,0.1
1191,Czech Liga (CZ),17205,1.74,Zlatan Šehović,Z. Šehović,5.11
1191,Czech Liga (CZ),17296,0.08,Tomáš Huk,T. Huk,0.17
1191,Czech Liga (CZ),17300,2.58,Ladislav Almási,L. Almási,1.08
1191,Czech Liga (CZ),17354,0.19,Nemanja Tekijaški,N. Tekijaški,0.71
1191,Czech Liga (CZ),18370,0.4,Christ Joël Tiéhi,C. Tiéhi,3.6
1191,Czech Liga (CZ),19066,4.5,Jan Kliment,J. Kliment,3.5
1191,Czech Liga (CZ),19339,0.14,Asger Sørensen,A. Sørensen,0.79
1191,Czech Liga (CZ),19399,6.52,Vasil Kušej,V. Kušej,5.95
1191,Czech Liga (CZ),22888,3.69,Marko Kvasina,M. Kvasina,3.92
1191,Czech Liga (CZ),23188,2.52,Abdulla Yusuf Helal,Abdulla Yusuf Helal,3.3
1191,Czech Liga (CZ),23832,4.0,Lukáš Provod,L. Provod,8.33
1191,Czech Liga (CZ),24323,0.0,Ladislav Takács,L. Takács,0.0
1191,Czech Liga (CZ),24401,1.64,Tihomir Kostadinov,T. Kostadinov,2.79
1191,Czech Liga (CZ),24975,0.75,Andy Irving,A. Irving,4.25
1191,Czech Liga (CZ),25111,0.06,Tomáš Petrášek,T. Petrášek,0.0
1191,Czech Liga (CZ),26100,4.0,Victor Oluyemi Olatunji,V. Olatunji,2.0
1191,Czech Liga (CZ),26482,2.87,Alan Nicolás Marinelli,A. Marinelli,3.87
1191,Czech Liga (CZ),27005,0.71,Daiki Hashioka,D. Hashioka,1.43
1191,Czech Liga (CZ),27757,1.0,Muhammed Cham Saracevic,M. Cham,3.64
1191,Czech Liga (CZ),29635,2.5,Tomáš Pekhart,T. Pekhart,2.0
1191,Czech Liga (CZ),29769,0.12,Louis Lurvink,L. Lurvink,0.31
1191,Czech Liga (CZ),30083,0.0,Georgios Kornezos,G. Kornezos,0.33
1191,Czech Liga (CZ),30524,0.05,Roman Macek,R. Macek,2.59
1191,Czech Liga (CZ),31029,0.77,Martin Koscelník,M. Koscelník,2.92
1191,Czech Liga (CZ),31030,1.92,Ivan Schranz,I. Schranz,1.83
1191,Czech Liga (CZ),31105,3.0,Jakub Pešek,J. Pešek,5.0
1191,Czech Liga (CZ),31107,1.59,Marek Havlík,M. Havlík,4.41
1191,Czech Liga (CZ),31110,0.0,Ondřej Karafiát,O. Karafiát,6.0
1191,Czech Liga (CZ),31111,0.25,Šimon Gabriel,Š. Gabriel,0.08
1191,Czech Liga (CZ),31113,0.21,Radim Breite,R. Breite,2.93
1191,Czech Liga (CZ),31115,1.33,Daniel Holzer,D. Holzer,5.58
1191,Czech Liga (CZ),31116,0.44,Tomáš Solil,T. Solil,2.22
1191,Czech Liga (CZ),31117,3.94,Jáchym Šíp,J. Šíp,5.94
1191,Czech Liga (CZ),31118,1.44,Antonín Růsek,A. Růsek,3.44
1191,Czech Liga (CZ),31459,1.6,Patrick Kpozo,P. Kpozo,6.0
1191,Czech Liga (CZ),31982,0.0,Nassim Innocenti,N. Innocenti,1.33
1191,Czech Liga (CZ),32418,2.36,Ángelo Smit Preciado Quiñónez,Á. Preciado,4.29
1191,Czech Liga (CZ),32549,3.44,Matěj Polidar,M. Polidar,4.11
1191,Czech Liga (CZ),32551,3.88,Vojtěch Patrák,V. Patrák,4.06
1191,Czech Liga (CZ),32572,0.0,Dominik Plechatý,D. Plechatý,0.85
1191,Czech Liga (CZ),32575,1.13,Robert Hrubý,R. Hrubý,2.4
1191,Czech Liga (CZ),32577,2.4,Tomáš Ladra,T. Ladra,6.85
1191,Czech Liga (CZ),32578,0.4,David Štěpánek,D. Štěpánek,0.2
1191,Czech Liga (CZ),32580,0.53,Jakub Martinec,J. Martinec,1.33
1191,Czech Liga (CZ),32583,0.62,Jan Fortelný,J. Fortelný,3.12
1191,Czech Liga (CZ),32588,8.35,Lamin Jawo,L. Jawo,6.5
1191,Czech Liga (CZ),32591,3.89,Tomáš Poznar,T. Poznar,3.0
1191,Czech Liga (CZ),32594,0.53,Martin Cedidla,M. Cedidla,3.21
1191,Czech Liga (CZ),32608,0.05,Lukáš  Hůlka,L. Hůlka,0.86
1191,Czech Liga (CZ),32633,1.17,Jakub Fulnek,J. Fulnek,3.17
1191,Czech Liga (CZ),32644,0.13,David Pech,D. Pech,4.73
1191,Czech Liga (CZ),32645,2.0,Ewerton Paixão Da Silva,Ewerton,7.0
1191,Czech Liga (CZ),32647,0.0,Dominik Hašek,D. Hašek,0.6
1191,Czech Liga (CZ),32648,3.6,Jiří Klíma,J. Klíma,3.27
1191,Czech Liga (CZ),32649,0.15,Antonín Křapka,A. Křapka,0.2
1191,Czech Liga (CZ),32651,10.84,Jan Kuchta,J. Kuchta,3.63
1191,Czech Liga (CZ),32652,0.0,Matěj Chaluš,M. Chaluš,0.6
1191,Czech Liga (CZ),32653,0.2,Matěj Hybš,M. Hybš,1.4
1191,Czech Liga (CZ),32655,0.44,Jan Mikula,J. Mikula,2.22
1191,Czech Liga (CZ),32656,0.0,Michal Beran,M. Beran,1.82
1191,Czech Liga (CZ),32659,0.62,Michal Fukala,M. Fukala,2.43
1191,Czech Liga (CZ),32660,1.07,Lukáš Bartošák,L. Bartošák,2.5
1191,Czech Liga (CZ),32672,0.1,Jan Řezníček,J. Řezníček,1.7
1191,Czech Liga (CZ),32685,0.9,Daniel Horák,D. Horák,5.33
1191,Czech Liga (CZ),32687,1.77,Michal Černák,M. Černák,4.0
1191,Czech Liga (CZ),32690,3.75,Lukáš Sadílek,L. Sadílek,4.88
1191,Czech Liga (CZ),32691,2.08,Jan Navrátil,J. Navrátil,1.77
1191,Czech Liga (CZ),32695,1.5,Jan Kalabiška,J. Kalabiška,2.06
1191,Czech Liga (CZ),32697,1.22,Vlastimil Daníček,V. Daníček,2.72
1191,Czech Liga (CZ),32700,3.24,Petr Reinberk,P. Reinberk,3.71
1191,Czech Liga (CZ),32701,13.0,Václav Jurečka,V. Jurečka,12.75
1191,Czech Liga (CZ),32702,2.75,Daniel Mareček,D. Mareček,5.6
1191,Czech Liga (CZ),32703,3.0,Michal Kohút,M. Kohút,6.1
1191,Czech Liga (CZ),32708,0.11,Samson Tijani,S. Tijani,0.94
1191,Czech Liga (CZ),34071,0.11,David Zima,D. Zima,1.39
1191,Czech Liga (CZ),34072,0.73,Oscar Murphy Dorley,O. Dorley,2.47
1191,Czech Liga (CZ),34106,0.1,Jakub Křišťan,J. Křišťan,1.3
1191,Czech Liga (CZ),34107,0.75,Tomáš Rigo,T. Rigo,1.25
1191,Czech Liga (CZ),34109,5.2,Denis Visinsky,D. Visinsky,8.2
1191,Czech Liga (CZ),34135,0.22,Marios Pourzitidis,M. Pourzitidis,1.28
1191,Czech Liga (CZ),34626,0.14,Jonathan Mulder,J. Mulder,1.86
1191,Czech Liga (CZ),37021,2.55,Milan Ristovski,M. Ristovski,3.36
1191,Czech Liga (CZ),37086,2.11,Cheick Oumar Souaré,C. Souaré,4.11
1191,Czech Liga (CZ),37275,0.18,Dominik Janošek,D. Janošek,2.09
1191,Czech Liga (CZ),37277,0.06,Jan Král,J. Král,0.18
1191,Czech Liga (CZ),37278,0.06,Daniel Souček,D. Souček,0.67
1191,Czech Liga (CZ),37284,1.25,Michal Hlavatý,M. Hlavatý,5.5
1191,Czech Liga (CZ),37401,0.0,Jakub Kolář,J. Kolář,0.5
1191,Czech Liga (CZ),37416,3.76,David Puškáč,D. Puškáč,2.43
1191,Czech Liga (CZ),37423,0.25,Joss Didiba Moudoumbou,J. Didiba,2.1
1191,Czech Liga (CZ),37430,0.05,Dalibor Večerka,D. Večerka,0.24
1191,Czech Liga (CZ),37432,1.47,David Douděra,D. Douděra,3.76
1191,Czech Liga (CZ),37434,0.17,David Šimek,D. Šimek,0.5
1191,Czech Liga (CZ),37435,10.14,Lukáš Mašek,L. Mašek,3.73
1191,Czech Liga (CZ),37437,6.5,Pavel Šulc,P. Šulc,7.5
1191,Czech Liga (CZ),37440,1.17,Josef Koželuh,J. Koželuh,3.25
1191,Czech Liga (CZ),37448,1.8,Dominik Kostka,D. Kostka,6.1
1191,Czech Liga (CZ),37456,1.76,Samuel Šimek,S. Šimek,3.62
