competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
1209,Niké Liga (SK),1445,Branislav Ňinaj,B. Ňinaj,1994-05-17,77.72,19.4,19.87,16,14,2,467.0,33.36,26.07,78.16,0.86,0.0,3.84,1.52,293.0,20.93,18.43,88.05,0.5,0.29,57.14,19.29,66.0,4.71,4.0,2.86,2.57,0.36,0.07,0.07,100.0,84.85,90.0,0.0,0.43,0.07,0.07,0.21,0.07,33.33,0.5,0.07,14.29,1.0,0.36,35.71,0.07,7.14
1209,Niké Liga (SK),4147,Guram Kashia,G. Kashia,1987-07-04,81.47,24.8,18.56,15,14,1,746.0,53.29,46.79,87.8,0.79,0.07,4.31,1.68,519.0,37.07,34.14,92.1,0.36,0.14,40.0,35.57,130.0,9.29,8.36,5.57,5.0,0.71,0.14,0.07,50.0,90.0,89.74,0.21,0.21,0.0,0.0,0.21,0.14,66.67,0.57,0.07,12.5,1.0,0.21,21.43,0.07,7.14
1209,Niké Liga (SK),5882,Kevin Wimmer,K. Wimmer,1992-11-15,68.24,23.24,14.96,15,15,0,733.0,48.87,38.87,79.54,1.47,0.27,4.11,1.39,528.0,35.2,28.53,81.06,0.87,0.47,53.85,33.07,104.0,6.93,5.6,4.47,3.47,1.47,1.2,0.8,66.67,80.77,77.61,0.0,1.47,0.0,0.4,1.0,0.67,66.67,1.6,0.13,8.34,1.93,0.67,34.48,0.13,6.9
1209,Niké Liga (SK),9107,Róbert Mak,R. Mak,1991-03-08,44.82,15.31,9.56,30,29,1,451.0,15.55,10.83,69.62,2.24,0.31,5.41,1.59,356.0,12.28,8.76,71.35,1.69,1.0,59.18,7.55,106.0,3.66,2.1,2.07,0.9,0.69,0.52,0.14,26.67,57.55,43.33,0.66,1.21,0.52,0.41,0.28,0.28,100.0,2.79,0.48,17.28,4.52,0.79,17.56,1.0,22.14
1209,Niké Liga (SK),9522,Samuel  Štefánik,S. Štefánik,1991-11-16,80.12,21.61,21.76,32,28,4,1013.0,36.18,26.0,71.87,3.43,0.46,5.54,1.77,637.0,22.75,16.5,72.53,1.64,0.93,56.52,18.32,236.0,8.43,5.82,3.75,2.36,1.5,0.93,0.43,46.15,69.07,62.86,1.32,1.43,0.18,0.39,0.57,0.25,43.75,2.29,0.39,17.19,4.36,1.0,22.95,0.68,15.57
1209,Niké Liga (SK),10767,Vladimír Weiss,V. Weiss,1989-11-30,54.54,17.79,11.82,27,26,1,853.0,32.81,24.42,74.44,2.12,0.23,6.9,2.31,671.0,25.81,19.96,77.35,1.73,0.81,46.67,21.46,235.0,9.04,6.58,4.12,2.88,1.12,0.77,0.54,70.0,72.77,70.1,0.27,2.69,0.38,0.54,1.04,0.65,62.96,2.5,0.58,23.08,4.08,0.54,13.21,0.27,6.6
1209,Niké Liga (SK),12281,Adam Jakubech,A. Jakubech,1997-01-02,90.74,24.37,22.18,9,8,1,204.0,25.5,14.5,56.86,0.0,0.0,3.93,3.01,110.0,13.75,9.12,66.36,0.0,0.0,,13.62,31.0,3.88,2.25,2.0,1.0,0.0,0.0,0.0,,58.06,50.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.25,0.12,50.0,0.25,0.0,0.0,0.0,0.0
1209,Niké Liga (SK),12567,Erik Sabo,E. Sabo,1991-11-22,89.09,24.69,20.17,28,26,2,1299.0,49.96,41.96,83.99,2.04,0.27,5.11,1.67,893.0,34.35,30.54,88.91,0.31,0.15,50.0,31.46,275.0,10.58,8.12,5.42,4.04,1.54,0.77,0.46,60.0,76.73,74.47,0.31,1.0,0.15,0.19,0.58,0.35,60.0,0.42,0.12,27.27,1.08,0.23,21.43,0.19,17.86
1209,Niké Liga (SK),12570,Michal Ďuriš,M. Ďuriš,1988-06-01,37.23,9.44,8.15,24,21,3,176.0,8.38,4.71,56.25,1.81,0.33,5.06,1.44,111.0,5.29,3.1,58.56,1.24,0.33,26.92,2.9,39.0,1.86,1.05,1.19,0.48,0.24,0.24,0.05,20.0,56.41,40.0,0.62,1.1,0.43,0.33,0.05,0.0,0.0,1.86,0.29,15.39,2.48,0.43,17.31,0.71,28.85
1209,Niké Liga (SK),12721,Miloš Kratochvíl,M. Kratochvíl,1996-04-26,84.94,23.54,19.21,22,20,2,846.0,42.3,31.9,75.41,3.45,0.25,3.43,1.22,565.0,28.25,23.0,81.42,1.35,0.95,70.37,22.3,102.0,5.1,3.75,2.05,1.35,0.65,0.4,0.3,75.0,73.53,65.85,1.0,0.7,0.25,0.05,0.35,0.15,42.86,2.6,0.45,17.31,4.1,0.55,13.41,0.75,18.29
