competition_edition,league,player_name,player_short_name,player_id,player_birthdate,minutes_full_all,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,psv99,psv99_top5,peak_velocity,peak_velocity_top3,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,timetohsrpostcod_top3,explacceltosprint_count_full_all,timetosprint_top3,timetosprintpostcod_top3,cod_count_full_all,timeto505around90_top3,timeto505around180_top3
1227,Bundesliga (AT),Aleksandar Dragović,A. Dragović,528,1991-03-06,94.09,28,0,9518.04,101.15,1065.04,306.57,29.39,85.36,4.93,391.93,34.32,28.24,30.34,29.64,31.87,97.14,4.46,74.96,12.21,2.61,0.67,0.82,0.39,1.76,1.89,18.75,2.12,2.87
1227,Bundesliga (AT),Andreas Weimann,A. Weimann,813,1991-08-05,82.64,17,0,8873.35,107.38,1308.71,681.24,62.53,240.12,12.47,921.35,75.0,28.88,30.54,30.38,31.87,92.65,8.24,77.76,12.76,6.41,0.67,0.68,1.94,1.36,1.42,37.59,1.8,2.69
1227,Bundesliga (AT),Karim Onisiwo,K. Onisiwo,5718,1992-03-17,32.31,21,0,3577.38,110.72,492.19,212.71,21.43,75.43,4.14,288.14,25.57,28.06,30.7,28.97,32.4,37.57,2.29,30.14,5.48,1.52,0.68,0.69,0.29,1.54,,12.86,2.11,2.72
1227,Bundesliga (AT),Lukas Hinterseer,L. Hinterseer,6468,1991-03-28,32.53,27,1,3667.0,112.73,561.67,260.93,21.85,59.44,3.93,320.37,25.78,27.19,30.1,28.2,31.43,39.3,2.89,32.85,6.07,1.89,0.7,0.75,0.33,1.51,,17.52,1.96,2.72
1227,Bundesliga (AT),Stefan Lainer,S. Lainer,11298,1992-08-27,90.04,25,0,10414.72,115.67,1509.72,652.44,62.32,222.84,13.4,875.28,75.72,28.93,30.16,30.54,31.93,110.56,7.36,92.48,18.96,5.72,0.58,0.61,1.8,1.26,1.34,41.48,1.83,2.59
1227,Bundesliga (AT),Valon Berisha,V. Berisha,11299,1993-02-07,64.14,9,0,8022.89,125.08,1461.22,545.11,49.89,90.44,6.89,635.56,56.78,27.28,27.92,29.03,30.1,92.44,4.56,75.44,16.44,2.89,0.76,0.81,0.78,1.73,1.83,34.44,1.96,2.7
1227,Bundesliga (AT),Jannes Horn,J. Horn,11536,1997-02-06,84.76,20,1,8982.15,105.97,1096.35,431.6,42.7,142.1,7.9,573.7,50.6,28.57,30.26,30.22,32.17,94.85,5.6,74.5,15.6,3.9,0.61,0.67,0.9,1.37,1.61,24.3,1.99,2.85
1227,Bundesliga (AT),Dominik Prokop,D. Prokop,11546,1997-06-02,33.73,11,3,3927.18,116.44,574.82,215.55,19.73,54.45,3.09,270.0,22.82,27.05,28.0,27.99,29.23,37.73,2.0,31.82,5.73,1.64,0.66,0.73,0.27,1.6,,13.09,2.3,2.91
1227,Bundesliga (AT),Alessandro Schöpf,A. Schöpf,12051,1994-02-07,78.15,25,0,10256.84,131.24,2212.44,597.64,50.08,92.04,6.72,689.68,56.8,26.64,27.92,28.86,30.2,102.28,2.76,90.12,14.12,1.76,0.71,0.84,0.32,1.79,,42.76,1.95,2.66
1227,Bundesliga (AT),Stefan Hierländer,S. Hierländer,12053,1991-02-03,22.34,13,0,2691.38,120.5,487.38,180.08,16.54,65.62,2.92,245.69,19.46,27.75,30.64,28.47,32.03,25.69,1.54,21.0,3.23,0.69,0.72,,0.23,,,12.0,2.05,2.84
1227,Bundesliga (AT),Jon Gorenc- tankovič,J. Gorenc Stankovič,12150,1996-01-14,93.89,28,1,10712.96,114.11,1656.86,456.54,35.82,71.29,4.11,527.82,39.93,26.36,27.94,28.21,30.3,94.82,2.54,83.86,7.75,1.14,0.79,0.91,0.11,,,21.75,2.02,2.82
1227,Bundesliga (AT),Aleksa Terzić,A. Terzić,12351,1999-08-17,53.94,21,0,6358.9,117.88,943.05,401.81,37.38,150.48,8.19,552.29,45.57,29.57,32.24,30.71,33.53,68.52,4.86,56.71,11.52,3.48,0.62,0.64,1.24,1.29,1.31,22.29,1.93,2.77
1227,Bundesliga (AT),Lenny Pintor,L. Pintor,12820,2000-08-05,9.93,2,0,1352.5,136.27,313.0,79.0,6.0,9.5,0.0,88.5,6.0,23.8,23.8,25.05,,15.5,1.0,11.5,2.0,0.0,,,0.0,,,7.0,,
1227,Bundesliga (AT),Jean Harisson Marcelin,J. Marcelin,13344,2000-02-12,62.9,2,0,6332.5,100.68,698.0,272.0,23.0,52.0,3.0,324.0,26.0,28.7,28.7,30.3,,69.5,3.0,55.5,7.5,2.5,,,0.0,,,11.5,,
