competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1396,Eliteserien (NO),1003935,Robin Dzabic,R. Dzabic,2001-04-03,14.77,4.17,3.22,9,9,0,184.0,20.44,4.56,4.33,0.56,0.0,5.89,5.56,3.22,3.67,17.67,2.78,2.11,0.33,0.0,0.0
1396,Eliteserien (NO),1004010,Salieu Drammeh,S. Drammeh,2003-03-28,88.31,26.54,24.48,12,12,0,1460.0,121.67,36.17,25.92,3.83,0.17,41.0,22.17,17.92,71.33,35.42,86.25,9.08,1.75,0.5,0.0
1396,Eliteserien (NO),1004011,Kristian Hemmingsen Lonnebu,K. Lonnebu,2006-02-18,88.88,22.32,28.85,15,15,0,1689.0,112.6,32.13,16.27,2.93,0.33,31.53,43.6,7.07,18.53,77.07,35.53,22.0,1.27,0.8,0.2
1396,Eliteserien (NO),1004026,Lukas Hjelleset Gausdal,L. Hjelleset Gausdal,2007-04-20,37.08,8.76,11.63,8,8,0,349.0,43.62,8.5,5.25,0.75,0.0,12.12,11.12,2.62,13.88,35.12,8.5,3.62,0.38,0.25,0.0
1396,Eliteserien (NO),1004380,Gabriel Wesseh,G. Wesseh,2008-05-06,47.89,12.22,16.83,4,3,1,235.0,78.33,16.33,13.67,2.0,0.0,20.33,9.33,8.67,26.33,57.0,21.33,2.33,0.0,0.0,0.0
1396,Eliteserien (NO),1005780,Marcus Reed,M. Reed,2008-02-14,68.08,17.28,22.07,6,6,0,581.0,96.83,20.83,10.17,2.5,0.17,26.83,36.17,3.17,16.83,77.83,19.0,17.0,1.33,0.67,0.0
1396,Eliteserien (NO),1006294,Abubacarr Sedi Kinteh,A. Sedi Kinteh,2006-11-30,74.34,23.92,20.66,9,9,0,1002.0,111.33,38.0,36.89,1.11,0.0,2.89,0.56,38.33,40.33,3.44,107.89,0.67,0.0,0.0,0.0
1396,Eliteserien (NO),1008204,Cheikh Mbacke Diop ,C. Mbacke Diop,2005-12-29,51.45,13.07,14.85,3,3,0,164.0,54.67,18.0,17.33,0.0,0.0,0.33,0.33,17.0,14.33,3.0,51.67,0.33,0.0,0.0,0.0
1396,Eliteserien (NO),1008268,Igor Fabian Gosik,I. Gosik,2008-07-02,41.16,7.63,16.38,2,2,0,66.0,33.0,9.5,3.5,0.0,0.0,7.0,11.5,0.5,2.5,26.5,6.5,4.0,0.0,0.0,0.0
1396,Eliteserien (NO),1009829,Mathias Svenningsen-Grønn,M. Svenningsen-Grønn,2008-09-02,17.34,3.78,6.16,2,2,0,33.0,16.5,3.5,1.5,0.0,0.0,3.5,4.5,1.5,4.0,15.5,1.0,1.5,0.0,0.0,0.0
