competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,onballengagement_count_total,onballengagement_count,onballengagement_count_directregain,onballengagement_pct_directregain,onballengagement_count_indirectregain,onballengagement_pct_indirectregain,onballengagement_count_directdisruption,onballengagement_pct_directdisruption,onballengagement_count_indirectdisruption,onballengagement_pct_indirectdisruption,onballengagement_count_abovehsr,onballengagement_count_forcedbackward,onballengagement_pct_forcedbackward,onballengagement_count_beatenbymovement,onballengagement_pct_beatenbymovement,onballengagement_count_beatenbypossession,onballengagement_pct_beatenbypossession,onballengagement_count_pressingchain,onballengagement_count_consecutive,onballengagement_count_forwardtrajectory,onballengagement_count_dangeroussituation,onballengagement_count_dangeroussituation_dangermitigated,onballengagement_pct_dangermitigated,onballengagement_count_linebreakaffected,onballengagement_pct_linebreakaffected
1230,Eredivisie (NL),90,Aaron Meijers,A. Meijers,1987-10-28,53.22,13.79,16.33,11,10,1,190.0,19.0,0.6,3.16,4.4,23.16,0.4,2.11,1.0,5.26,1.6,0.8,4.21,0.4,2.11,1.3,6.84,3.2,1.9,5.3,8.6,1.1,5.9,0.5,2.63
1230,Eredivisie (NL),348,Alassane Pléa,A. Pléa,1993-03-10,59.09,22.74,12.96,2,2,0,37.0,18.5,0.5,2.7,3.5,18.92,0.0,0.0,0.0,0.0,5.0,2.0,10.81,0.0,0.0,0.0,0.0,7.5,1.5,9.0,1.0,0.0,0.0,1.5,8.11
1230,Eredivisie (NL),442,Alen Halilović,A. Halilović,1996-06-18,10.83,3.29,2.16,5,5,0,15.0,3.0,0.4,13.33,0.6,20.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.6,0.2,22.22,0.0,0.0
1230,Eredivisie (NL),715,André Ayew,A. Ayew,1989-12-17,54.36,14.68,14.01,17,16,1,403.0,25.19,0.44,1.74,3.12,12.41,0.06,0.25,1.06,4.22,4.06,1.69,6.7,0.0,0.0,0.06,0.25,11.44,3.56,7.75,2.38,0.44,1.95,2.19,8.68
1230,Eredivisie (NL),1197,Bart Nieuwkoop,B. Nieuwkoop,1996-03-07,37.02,10.56,9.22,17,16,1,175.0,10.94,0.38,3.43,2.06,18.86,0.12,1.14,0.56,5.14,1.69,0.69,6.29,0.19,1.71,0.56,5.14,2.62,2.38,3.06,3.94,0.5,5.08,0.56,5.14
1230,Eredivisie (NL),1223,Bas Kuipers,B. Kuipers,1994-08-17,22.11,5.86,5.58,7,7,0,56.0,8.0,0.29,3.57,2.71,33.93,0.14,1.79,0.43,5.36,0.86,0.0,0.0,0.0,0.0,0.0,0.0,1.57,1.57,2.14,1.57,0.0,0.0,0.71,8.93
1230,Eredivisie (NL),1337,Bertrand Isidore Traoré,B. Traoré,1995-09-06,62.76,22.3,17.98,1,1,0,36.0,36.0,0.0,0.0,3.0,8.33,0.0,0.0,1.0,2.78,8.0,6.0,16.67,0.0,0.0,1.0,2.78,14.0,6.0,15.0,4.0,0.0,0.0,3.0,8.33
1230,Eredivisie (NL),1435,Bram Nuytinck,B. Nuytinck,1990-05-04,49.67,13.92,10.99,7,6,1,59.0,9.83,0.0,0.0,2.0,20.34,0.17,1.7,0.17,1.69,1.17,0.5,5.09,0.17,1.69,0.5,5.08,2.0,1.0,3.0,4.0,0.83,8.67,0.0,0.0
1230,Eredivisie (NL),1440,Brandley Kuwas,B. Kuwas,1992-09-19,68.87,17.99,21.13,31,30,1,1162.0,38.73,0.6,1.55,4.23,10.93,0.2,0.52,1.43,3.7,5.23,3.0,7.75,0.0,0.0,0.2,0.52,15.43,6.83,11.87,6.73,0.53,2.58,4.57,11.79
1230,Eredivisie (NL),1509,Bruno Martins Indi,B. Martins Indi,1992-02-08,87.97,23.71,27.06,25,25,0,429.0,17.16,0.64,3.73,3.28,19.11,0.24,1.4,0.88,5.13,2.2,0.32,1.86,0.88,5.13,0.48,2.8,3.08,1.8,3.84,10.68,2.72,16.91,0.28,1.63
